,SPTRE FP Equity_PX_LAST
2025-05-20,10.6908
2025-05-21,10.5695
2025-05-22,10.4947
2025-05-23,10.3305
2025-05-26,10.4439
2025-05-27,10.5
2025-05-28,10.5916
2025-05-29,10.5418
2025-05-30,10.5284
2025-06-02,10.4465
2025-06-03,10.5926
2025-06-04,10.6106
2025-06-05,10.6078
2025-06-06,10.6599
2025-06-09,10.6521
2025-06-10,10.6796
2025-06-11,10.684
2025-06-12,10.5595
2025-06-13,10.5387
2025-06-16,10.568
2025-06-17,10.5836
2025-06-18,10.5709
2025-06-19,10.4877
2025-06-20,10.509
2025-06-23,10.5236
2025-06-24,10.5989
2025-06-25,10.6326
2025-06-26,10.6286
2025-06-27,10.6854
2025-06-30,10.6755
2025-07-01,10.6666
2025-07-02,10.7
2025-07-03,10.8179
2025-07-04,10.7417
2025-07-07,10.7871
2025-07-08,10.7795
2025-07-09,10.81
2025-07-10,10.8884
2025-07-11,10.8431
2025-07-14,10.8636
2025-07-15,10.9527
2025-07-16,10.8184
2025-07-17,11.0011
2025-07-18,10.9558
2025-07-21,10.9243
2025-07-22,10.8919
2025-07-23,10.9351
2025-07-24,10.9967
2025-07-25,11.0295
2025-07-28,11.151
2025-07-29,11.2195
2025-07-30,11.2648
2025-07-31,11.3201
2025-08-01,10.964
2025-08-04,11.0693
2025-08-05,11.0357
2025-08-06,11.0407
2025-08-07,11.0594
2025-08-08,11.0982
2025-08-11,11.1807
2025-08-12,11.1633
2025-08-13,11.1835
2025-08-14,11.2436
2025-08-15,11.1853
2025-08-18,11.213
2025-08-19,11.1789
2025-08-20,11.1035
2025-08-21,11.1477
2025-08-22,11.2073
2025-08-25,11.2258
2025-08-26,11.2174
2025-08-27,11.3349
2025-08-28,11.2837
2025-08-29,11.2081
