,MTF FP Equity_DX_SI_QTY,MTF FP Equity_DX_SHORT_INTEREST_VALUE,MTF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MTF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MTF FP Equity_DX_SI_MV,MTF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MTF FP Equity_DX_SUPPLY_SI_QTY,MTF FP Equity_DX_BROKER_SI_QTY,MTF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MTF FP Equity_DX_BROKER_SI_MV_NEW_x,MTF FP Equity_DX_SUPPLY_SI_QTY_INC_x,MTF FP Equity_DX_BROKER_SI_MV_INC_x,MTF FP Equity_DX_BROKER_SI_QTY_ADD,MTF FP Equity_DX_BROKER_SI_QTY_NEW,MTF FP Equity_DX_SUPPLY_SI_MV_DEC,MTF FP Equity_DX_BROKER_SI_QTY_INC,MTF FP Equity_DX_SUPPLY_SI_QTY_DEC,MTF FP Equity_DX_BROKER_SI_MV_NEW_y,MTF FP Equity_DX_BROKER_SI_MV_INC_y,MTF FP Equity_DX_SUPPLY_SI_QTY_INC_y,MTF FP Equity_DX_BROKER_SI_MV_ADD,MTF FP Equity_DX_SUPPLY_SI_QTY_ADD,MTF FP Equity_DX_BROKER_SI_QTY_DEC,MTF FP Equity_DX_SUPPLY_SI_MV,MTF FP Equity_DX_BROKER_SI_MV_DEC,MTF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MTF FP Equity_DX_UTILIZATION_QUANTITY,MTF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MTF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MTF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MTF FP Equity_DX_ACTIVE_UTILIZATION_MV,MTF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MTF FP Equity_DX_BROKER_SI_CON_RATIO,MTF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MTF FP Equity_DX_DEMAND_SUPPLY_RATIO,MTF FP Equity_PX_LAST
2007-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.14
2007-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.68
2007-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43
2007-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.46
2007-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.91
2007-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.82
2007-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.65
2007-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.58
2007-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.65
2007-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.51
2007-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.44
2007-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.51
2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0
2007-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.45
2007-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
2007-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5
2007-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.75
2007-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.58
2007-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.94
2007-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.38
2007-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.13
2007-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.17
