,ALUVI FP Equity_DX_SI_QTY,ALUVI FP Equity_DX_SHORT_INTEREST_VALUE,ALUVI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALUVI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALUVI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALUVI FP Equity_DX_SI_MV,ALUVI FP Equity_DX_DSS,ALUVI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALUVI FP Equity_DX_SUPPLY_SI_QTY,ALUVI FP Equity_DX_BROKER_SI_QTY,ALUVI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALUVI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALUVI FP Equity_DX_BROKER_SI_MV_INC_x,ALUVI FP Equity_DX_BROKER_SI_QTY_ADD,ALUVI FP Equity_DX_SUPPLY_SI_MV_DEC,ALUVI FP Equity_DX_BROKER_SI_QTY_INC,ALUVI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALUVI FP Equity_DX_BROKER_SI_MV_INC_y,ALUVI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALUVI FP Equity_DX_BROKER_SI_MV_ADD,ALUVI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALUVI FP Equity_DX_BROKER_SI_QTY_DEC,ALUVI FP Equity_DX_SUPPLY_SI_MV,ALUVI FP Equity_DX_BROKER_SI_MV_DEC,ALUVI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALUVI FP Equity_DX_UTILIZATION_QUANTITY,ALUVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALUVI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALUVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALUVI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALUVI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALUVI FP Equity_DX_BROKER_SI_CON_RATIO,ALUVI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALUVI FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-05-27,800.0,8080.0,0.06,0.02,0.03,0.01,0.0,8080.0,0.0,800.0,0.0,,,800.0,,,,,,0.01,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-05-28,800.0,7520.0,0.06,0.02,0.03,0.01,0.0,7520.0,0.0,800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-05-29,800.0,6960.0,0.06,0.03,0.03,0.01,0.0,6960.0,0.0,800.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-01,1300.0,11570.0,0.1,0.04,0.05,0.01,0.0,11570.0,0.0,1300.0,0.0,,0.0,,,500.0,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-02,1025.0,9020.0,0.08,0.04,0.04,0.01,0.0,9020.0,0.0,1025.0,0.0,,,,,,,,,,,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-03,1025.0,8456.25,0.08,0.05,0.04,0.01,0.0,8456.25,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-04,1025.0,6713.75,0.08,0.05,0.04,0.01,0.0,6713.75,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-05,1025.0,7841.25,0.08,0.05,0.04,0.01,0.0,7841.25,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-08,1025.0,8456.25,0.08,0.05,0.04,0.01,0.0,8456.25,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-09,1025.0,8200.0,0.08,0.05,0.04,0.01,0.0,8200.0,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-10,1025.0,8200.0,0.08,0.05,0.04,0.01,0.0,8200.0,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-11,1025.0,8302.5,0.08,0.05,0.04,0.01,0.0,8302.5,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-12,1025.0,8200.0,0.08,0.06,0.04,0.01,0.0,8200.0,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-15,1025.0,8353.75,0.08,0.06,0.04,0.01,0.0,8353.75,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-16,1025.0,8866.25,0.08,0.07,0.04,0.01,0.0,8866.25,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-17,1025.0,10455.0,0.08,0.06,0.04,0.01,0.0,10455.0,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-18,1025.0,9635.0,0.08,0.06,0.04,0.01,0.0,9635.0,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-19,1025.0,9378.75,0.08,0.06,0.04,0.01,0.0,9378.75,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-22,1025.0,10096.25,0.08,0.06,0.04,0.01,0.0,10096.25,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-06-23,1025.0,10147.5,0.08,0.05,0.04,0.01,0.0,10147.5,0.0,1025.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
