,KRW FP Equity_DX_SI_QTY,KRW FP Equity_DX_SHORT_INTEREST_VALUE,KRW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,KRW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,KRW FP Equity_DX_SI_MV,KRW FP Equity_DX_DSS,KRW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,KRW FP Equity_DX_SUPPLY_SI_QTY,KRW FP Equity_DX_BROKER_SI_QTY,KRW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,KRW FP Equity_DX_BROKER_SI_MV_NEW_x,KRW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,KRW FP Equity_DX_SUPPLY_SI_QTY_INC_x,KRW FP Equity_DX_BROKER_SI_MV_INC_x,KRW FP Equity_DX_SUPPLY_SI_MV_NEW,KRW FP Equity_DX_BROKER_SI_QTY_ADD,KRW FP Equity_DX_BROKER_SI_QTY_NEW,KRW FP Equity_DX_SUPPLY_SI_MV_DEC,KRW FP Equity_DX_BROKER_SI_QTY_INC,KRW FP Equity_DX_SUPPLY_SI_QTY_DEC,KRW FP Equity_DX_BROKER_SI_MV_NEW_y,KRW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,KRW FP Equity_DX_BROKER_SI_MV_INC_y,KRW FP Equity_DX_SUPPLY_SI_QTY_INC_y,KRW FP Equity_DX_BROKER_SI_MV_ADD,KRW FP Equity_DX_SUPPLY_SI_QTY_ADD,KRW FP Equity_DX_BROKER_SI_QTY_DEC,KRW FP Equity_DX_SUPPLY_SI_MV,KRW FP Equity_DX_BROKER_SI_MV_DEC,KRW FP Equity_DX_SUPPLY_SI_MV_RMV,KRW FP Equity_DX_BROKER_SI_MV_RMV,KRW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,KRW FP Equity_DX_UTILIZATION_QUANTITY,KRW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,KRW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,KRW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,KRW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,KRW FP Equity_DX_ACTIVE_UTILIZATION_MV,KRW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,KRW FP Equity_DX_BROKER_SI_CON_RATIO,KRW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,KRW FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-10-17,13768.0,569169.12,0.83,0.86,0.58,,569169.12,0.0,13768.0,0.0,,,,,,13768.0,,,,,,,,,0.58,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-10-23,8203.0,331237.14,0.55,0.51,0.32,,331237.14,0.0,8203.0,0.0,,,,,,8203.0,,,,,,,,,0.32,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-10-24,8203.0,325084.89,0.52,0.51,0.32,,325084.89,0.0,8203.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-10-25,2503.0,102072.34,0.16,0.16,0.1,,102072.34,0.0,2503.0,0.0,,,,,,,,,,,,,,,,,5700.0,0.0,0.23,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-10-26,2503.0,106252.35,0.15,0.16,0.1,,106252.35,0.0,2503.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-10-29,428.0,18408.28,0.02,0.03,0.02,,18408.28,0.0,428.0,0.0,,,,,,,,,,,,,,,,,2075.0,0.0,0.08,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-10-30,428.0,18104.4,0.02,0.03,0.02,,18104.4,0.0,428.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-06,10000.0,421000.0,0.51,0.63,0.41,,421000.0,0.0,10000.0,0.0,,,,,,10000.0,,,,,,,,,0.41,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-07,10000.0,413200.0,0.51,0.63,0.42,,413200.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-11-08,10000.0,400700.0,0.5,0.63,0.41,,400700.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
