,EDEU FP Equity_DX_SI_QTY,EDEU FP Equity_DX_SHORT_INTEREST_VALUE,EDEU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EDEU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EDEU FP Equity_DX_SI_MV,EDEU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EDEU FP Equity_DX_SUPPLY_SI_QTY,EDEU FP Equity_DX_BROKER_SI_QTY,EDEU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EDEU FP Equity_DX_SUPPLY_SI_MV,EDEU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EDEU FP Equity_DX_UTILIZATION_QUANTITY,EDEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EDEU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EDEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EDEU FP Equity_DX_ACTIVE_UTILIZATION_MV,EDEU FP Equity_DX_BROKER_SI_CON_RATIO,EDEU FP Equity_DX_DEMAND_SUPPLY_RATIO,EDEU FP Equity_PX_LAST
2017-09-19,,,,,,,,,,,,,,,,,,,104.77
2017-09-20,,,,,,,,,,,,,,,,,,,104.87
2017-09-21,,,,,,,,,,,,,,,,,,,104.63
2017-09-22,,,,,,,,,,,,,,,,,,,104.72
2017-09-25,,,,,,,,,,,,,,,,,,,105.3
2017-09-26,,,,,,,,,,,,,,,,,,,105.22
2017-09-27,,,,,,,,,,,,,,,,,,,105.89
2017-09-28,,,,,,,,,,,,,,,,,,,105.8
2017-09-29,,,,,,,,,,,,,,,,,,,106.32
2017-10-02,,,,,,,,,,,,,,,,,,,106.68
2017-10-03,,,,,,,,,,,,,,,,,,,106.89
2017-10-04,,,,,,,,,,,,,,,,,,,106.49
2017-10-05,,,,,,,,,,,,,,,,,,,106.56
2017-10-06,,,,,,,,,,,,,,,,,,,106.15
2017-10-09,,,,,,,,,,,,,,,,,,,106.31
2017-10-10,,,,,,,,,,,,,,,,,,,106.41
2017-10-11,,,,,,,,,,,,,,,,,,,106.39
2017-10-12,,,,,,,,,,,,,,,,,,,106.47
2017-10-13,,,,,,,,,,,,,,,,,,,107.02
2017-10-16,,,,,,,,,,,,,,,,,,,106.9
2017-10-17,,,,,,,,,,,,,,,,,,,106.65
2017-10-18,,,,,,,,,,,,,,,,,,,107.47
2017-10-19,,,,,,,,,,,,,,,,,,,106.73
2017-10-20,,,,,,,,,,,,,,,,,,,107.0
2017-10-23,,,,,,,,,,,,,,,,,,,107.12
2017-10-24,,,,,,,,,,,,,,,,,,,106.76
2017-10-25,,,,,,,,,,,,,,,,,,,106.54
2017-10-26,,,,,,,,,,,,,,,,,,,107.2
2017-10-27,,,,,,,,,,,,,,,,,,,107.27
2017-10-30,,,,,,,,,,,,,,,,,,,108.05
2017-10-31,,,,,,,,,,,,,,,,,,,108.3
2017-11-01,,,,,,,,,,,,,,,,,,,108.67
2017-11-02,,,,,,,,,,,,,,,,,,,107.71
2017-11-03,,,,,,,,,,,,,,,,,,,107.91
2017-11-06,,,,,,,,,,,,,,,,,,,108.43
2017-11-07,,,,,,,,,,,,,,,,,,,107.9
2017-11-08,,,,,,,,,,,,,,,,,,,107.67
2017-11-09,,,,,,,,,,,,,,,,,,,106.33
2017-11-10,,,,,,,,,,,,,,,,,,,106.09
2017-11-13,,,,,,,,,,,,,,,,,,,105.34
2017-11-14,,,,,,,,,,,,,,,,,,,105.1
2017-11-15,,,,,,,,,,,,,,,,,,,104.43
2017-11-16,,,,,,,,,,,,,,,,,,,105.59
2017-11-17,,,,,,,,,,,,,,,,,,,105.15
2017-11-20,,,,,,,,,,,,,,,,,,,105.91
2017-11-21,,,,,,,,,,,,,,,,,,,106.22
2017-11-22,,,,,,,,,,,,,,,,,,,106.37
2017-11-23,,,,,,,,,,,,,,,,,,,106.0
2017-11-24,,,,,,,,,,,,,,,,,,,105.29
2017-11-27,,,,,,,,,,,,,,,,,,,105.01
2017-11-28,,,,,,,,,,,,,,,,,,,105.61
2017-11-29,,,,,,,,,,,,,,,,,,,107.06
2017-11-30,,,,,,,,,,,,,,,,,,,106.91
2017-12-01,,,,,,,,,,,,,,,,,,,106.2
2017-12-04,,,,,,,,,,,,,,,,,,,107.44
2017-12-05,,,,,,,,,,,,,,,,,,,107.45
2017-12-06,,,,,,,,,,,,,,,,,,,107.27
2017-12-07,,,,,,,,,,,,,,,,,,,107.89
2017-12-08,,,,,,,,,,,,,,,,,,,108.81
2017-12-11,,,,,,,,,,,,,,,,,,,108.41
2017-12-12,,,,,,,,,,,,,,,,,,,108.83
2017-12-13,,,,,,,,,,,,,,,,,,,108.29
2017-12-14,,,,,,,,,,,,,,,,,,,108.24
2017-12-15,,,,,,,,,,,,,,,,,,,107.6
2017-12-18,,,,,,,,,,,,,,,,,,,108.97
2017-12-19,,,,,,,,,,,,,,,,,,,108.57
2017-12-20,,,,,,,,,,,,,,,,,,,108.4
2017-12-21,,,,,,,,,,,,,,,,,,,108.82
2017-12-22,,,,,,,,,,,,,,,,,,,109.15
2017-12-27,,,,,,,,,,,,,,,,,,,109.15
2017-12-28,,,,,,,,,,,,,,,,,,,108.9
2017-12-29,,,,,,,,,,,,,,,,,,,108.9
2018-01-02,,,,,,,,,,,,,,,,,,,109.32
2018-01-03,,,,,,,,,,,,,,,,,,,109.52
2018-01-04,,,,,,,,,,,,,,,,,,,110.28
2018-01-05,,,,,,,,,,,,,,,,,,,111.7
2018-01-08,,,,,,,,,,,,,,,,,,,111.88
2018-01-09,,,,,,,,,,,,,,,,,,,112.22
2018-01-10,,,,,,,,,,,,,,,,,,,111.2
2018-01-11,,,,,,,,,,,,,,,,,,,110.22
2018-01-12,,,,,,,,,,,,,,,,,,,111.0
2018-01-15,,,,,,,,,,,,,,,,,,,110.6
2018-01-16,,,,,,,,,,,,,,,,,,,111.56
2018-01-17,,,,,,,,,,,,,,,,,,,110.96
2018-01-18,,,,,,,,,,,,,,,,,,,110.98
