,ALSPT FP Equity_DX_SI_QTY,ALSPT FP Equity_DX_SHORT_INTEREST_VALUE,ALSPT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSPT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSPT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSPT FP Equity_DX_SI_MV,ALSPT FP Equity_DX_DSS,ALSPT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSPT FP Equity_DX_SUPPLY_SI_QTY,ALSPT FP Equity_DX_BROKER_SI_QTY,ALSPT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSPT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSPT FP Equity_DX_BROKER_SI_MV_INC_x,ALSPT FP Equity_DX_BROKER_SI_QTY_ADD,ALSPT FP Equity_DX_SUPPLY_SI_MV_DEC,ALSPT FP Equity_DX_BROKER_SI_QTY_INC,ALSPT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSPT FP Equity_DX_BROKER_SI_MV_INC_y,ALSPT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSPT FP Equity_DX_BROKER_SI_MV_ADD,ALSPT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSPT FP Equity_DX_BROKER_SI_QTY_DEC,ALSPT FP Equity_DX_SUPPLY_SI_MV,ALSPT FP Equity_DX_BROKER_SI_MV_DEC,ALSPT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSPT FP Equity_DX_UTILIZATION_QUANTITY,ALSPT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSPT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSPT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSPT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSPT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSPT FP Equity_DX_BROKER_SI_CON_RATIO,ALSPT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSPT FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-07-07,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,9000.0,58410.0,0.06,0.0,,0.0,,0.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,78887.0,499354.71,0.51,0.0,,0.0,,0.0
2021-07-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,90887.0,575314.71,0.58,0.0,,0.0,,0.0
2021-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,86902.0,553565.74,0.55,0.0,,0.0,,0.0
2021-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,84387.0,538389.06,0.54,0.0,,0.0,,0.0
2021-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,84252.0,538370.28,0.54,0.0,,0.0,,0.0
2021-07-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,84206.0,538076.34,0.54,0.0,,0.0,,0.0
2021-07-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,81887.0,532265.5,0.52,0.0,,0.0,,0.0
2021-07-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,81887.0,532265.5,0.53,0.0,,0.0,,0.0
2021-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,81887.0,533903.24,0.53,0.0,,0.0,,0.0
2021-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,556737.0,3635492.61,3.63,0.0,,0.0,,0.0
2021-07-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,556737.0,3635492.61,3.64,0.0,,0.0,,0.0
2021-07-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,556737.0,3641059.98,3.64,0.0,,0.0,,0.0
2021-07-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,556737.0,3624357.87,3.64,0.0,,0.0,,0.0
2021-07-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,556737.0,3629925.24,3.63,0.0,,0.0,,0.0
2021-07-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,556737.0,3629925.24,3.63,0.0,,0.0,,0.0
