,CNB FP Equity_DX_SI_QTY,CNB FP Equity_DX_SHORT_INTEREST_VALUE,CNB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CNB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CNB FP Equity_DX_SI_MV,CNB FP Equity_DX_DSS,CNB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CNB FP Equity_DX_SUPPLY_SI_QTY,CNB FP Equity_DX_BROKER_SI_QTY,CNB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CNB FP Equity_DX_BROKER_SI_MV_INC_x,CNB FP Equity_DX_BROKER_SI_QTY_ADD,CNB FP Equity_DX_BROKER_SI_QTY_INC,CNB FP Equity_DX_BROKER_SI_MV_INC_y,CNB FP Equity_DX_BROKER_SI_MV_ADD,CNB FP Equity_DX_BROKER_SI_QTY_DEC,CNB FP Equity_DX_SUPPLY_SI_MV,CNB FP Equity_DX_BROKER_SI_MV_DEC,CNB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CNB FP Equity_DX_UTILIZATION_QUANTITY,CNB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CNB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CNB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CNB FP Equity_DX_ACTIVE_UTILIZATION_MV,CNB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CNB FP Equity_DX_BROKER_SI_CON_RATIO,CNB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CNB FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-03-19,7900.0,817966.0,5.74,1.58,0.82,,817966.0,0.0,7900.0,0.0,,7900.0,,,0.82,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-03-22,7900.0,820336.0,5.62,1.58,0.82,,820336.0,0.0,7900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-03-23,9900.0,1029006.0,6.95,1.98,1.03,,1029006.0,0.0,9900.0,0.0,,2000.0,,,0.21,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.16,0.678,79.84,0.0
2010-03-24,9900.0,1027917.0,8.58,1.98,1.03,,1027917.0,0.0,9900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.15,0.6782,79.85,0.0
2010-03-25,9900.0,1024749.0,8.25,1.98,1.03,,1024749.0,0.0,9900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.15,0.6782,79.85,0.0
2010-03-26,9900.0,1024650.0,8.09,1.98,1.02,,1024650.0,0.0,9900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.15,0.6782,79.85,0.0
2010-03-29,7900.0,818282.0,6.41,1.58,0.82,,818282.0,0.0,7900.0,0.0,,,,,,2000.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-03-30,7900.0,820099.0,7.45,1.58,0.82,,820099.0,0.0,7900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-03-31,7900.0,820889.0,7.45,1.58,0.82,,820889.0,0.0,7900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-04-01,7900.0,820494.0,7.16,1.58,0.82,,820494.0,0.0,7900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-04-02,7900.0,820494.0,6.8,1.58,0.82,,820494.0,0.0,7900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-04-05,7900.0,820494.0,6.8,1.58,0.82,,820494.0,0.0,7900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-04-06,7900.0,818993.0,6.8,1.58,0.82,,818993.0,0.0,7900.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-09-14,70.0,7506.1,0.02,0.01,0.01,,7506.1,0.0,70.0,0.0,,70.0,,,0.01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-09-15,70.0,7480.9,0.02,0.01,0.01,,7480.9,0.0,70.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-08,143.0,15331.03,0.06,0.01,0.02,,15331.03,0.0,143.0,0.0,,143.0,,,0.02,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-11,143.0,15325.31,0.1,0.01,0.02,,15325.31,0.0,143.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-12,143.0,15351.05,0.1,0.01,0.02,,15351.05,0.0,143.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-13,143.0,15343.9,0.1,0.01,0.02,,15343.9,0.0,143.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-14,20.0,2143.8,0.01,0.0,0.0,,2143.8,0.0,20.0,0.0,,,,,,123.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-15,20.0,2140.2,0.02,0.0,0.0,,2140.2,0.0,20.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-18,20.0,2135.8,0.03,0.0,0.0,,2135.8,0.0,20.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-10-19,20.0,2133.2,0.03,0.0,0.0,,2133.2,0.0,20.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-03-25,10000.0,1046500.0,4.61,1.0,1.11,,1046500.0,0.0,10000.0,0.0,,10000.0,,,1.11,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-03-28,10000.0,1045300.0,4.67,1.0,1.1,,1045300.0,0.0,10000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-03-29,20000.0,2089000.0,9.31,2.0,2.14,,2089000.0,0.0,20000.0,0.0,,10000.0,,,1.04,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.61,0.5004,51.39,0.0
2011-03-30,20000.0,2090400.0,9.3,2.0,2.13,,2090400.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.72,0.5003,51.28,0.0
2011-03-31,20000.0,2089000.0,9.46,2.0,2.13,,2089000.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.72,0.5003,51.28,0.0
2011-04-01,20000.0,2086600.0,9.51,2.0,2.13,,2086600.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.71,0.5003,51.29,0.0
2011-04-04,20000.0,2089400.0,10.04,2.0,2.13,,2089400.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,48.77,0.5003,51.23,0.0
2011-04-05,20000.0,2086400.0,10.72,2.0,2.19,,2086400.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.95,0.5,50.05,0.0
2011-04-06,20000.0,2085600.0,10.54,2.0,2.18,,2085600.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.77,0.5,50.23,0.0
2011-04-07,20000.0,2086200.0,8.95,2.0,2.19,,2086200.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.92,0.5,50.08,0.0
2011-04-08,20000.0,2080000.0,9.75,2.0,2.18,,2080000.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.5,50.3,0.0
2011-04-11,10000.0,1039700.0,3.7,1.0,1.09,,1039700.0,0.0,10000.0,0.0,,,,,,10000.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-06-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,44710.0,4762062.1,4.75,0.0,,0.0,,0.0
2011-06-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,44710.0,4766980.2,4.75,0.0,,0.0,,0.0
2011-06-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,44710.0,4754908.5,4.72,0.0,,0.0,,0.0
2011-06-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,44710.0,4754014.3,4.72,0.0,,0.0,,0.0
2011-06-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,44710.0,4751331.7,4.7,0.0,,0.0,,0.0
2011-06-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,44710.0,4758932.4,4.65,0.0,,0.0,,0.0
2011-06-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,44710.0,4776816.4,4.7,0.0,,0.0,,0.0
2011-07-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5015333.1,5.02,0.0,,0.0,,0.0
2011-07-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5016279.3,5.02,0.0,,0.0,,0.0
2011-07-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5015806.2,4.99,0.0,,0.0,,0.0
2011-07-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5029999.2,5.02,0.0,,0.0,,0.0
2011-07-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5021010.3,5.04,0.0,,0.0,,0.0
2011-07-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5047030.8,5.04,0.0,,0.0,,0.0
2011-07-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5065954.8,5.05,0.0,,0.0,,0.0
2011-07-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5050815.6,5.03,0.0,,0.0,,0.0
2011-07-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5048450.1,5.07,0.0,,0.0,,0.0
2011-07-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5048923.2,5.04,0.0,,0.0,,0.0
2011-07-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5055073.5,5.06,0.0,,0.0,,0.0
2011-07-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5053654.2,5.07,0.0,,0.0,,0.0
2011-07-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5051288.7,5.04,0.0,,0.0,,0.0
2011-07-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5040407.4,5.06,0.0,,0.0,,0.0
2011-07-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5025268.2,5.06,0.0,,0.0,,0.0
2011-07-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5047977.0,5.04,0.0,,0.0,,0.0
2011-07-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5056492.8,5.06,0.0,,0.0,,0.0
2011-07-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,47310.0,5056965.9,5.06,0.0,,0.0,,0.0
2011-07-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,55600.0,5963100.0,5.96,0.0,,0.0,,0.0
2011-07-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,55600.0,5963656.0,5.96,0.0,,0.0,,0.0
2011-07-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,55600.0,5982004.0,5.98,0.0,,0.0,,0.0
