,AUSSD FP Equity_PX_LAST
2024-09-03,10.6891
2024-09-04,10.568
2024-09-05,10.5292
2024-09-06,10.4116
2024-09-09,10.449
2024-09-10,10.5295
2024-09-11,10.4349
2024-09-12,10.679
2024-09-13,10.8189
2024-09-16,10.8156
2024-09-17,10.8911
2024-09-18,10.8289
2024-09-19,10.955
2024-09-20,10.9009
2024-09-23,10.9682
2024-09-24,10.9763
2024-09-25,10.9763
2024-09-26,10.9763
2024-09-27,11.0531
2024-09-30,10.9997
2024-10-01,11.6189
2024-10-02,10.9122
2024-10-03,10.8649
2024-10-04,10.9521
2024-10-07,10.9857
2024-10-08,10.9968
2024-10-09,11.0787
2024-10-10,11.075
2024-10-11,11.1399
2024-10-14,11.1986
2024-10-15,11.2177
2024-10-16,11.1746
2024-10-17,11.2413
2024-10-18,11.2456
2024-10-21,11.1999
2024-10-22,11.1857
2024-10-23,11.1404
2024-10-24,11.1228
2024-10-25,11.2011
2024-10-28,11.1755
2024-10-29,11.1835
2024-10-30,11.1935
2024-10-31,10.9498
2024-11-01,10.9405
2024-11-04,10.9632
2024-11-05,11.0111
2024-11-06,11.2587
2024-11-07,11.3915
2024-11-08,11.462
2024-11-11,11.493
2024-11-12,11.449
2024-11-13,11.4561
2024-11-14,11.4305
2024-11-15,11.2331
2024-11-18,11.2756
2024-11-19,11.2656
2024-11-20,11.2135
2024-11-21,11.3234
2024-11-22,11.3665
2024-11-25,11.4579
2024-11-26,11.4706
2024-11-27,11.4064
2024-11-28,11.5041
2024-11-29,11.5363
2024-12-02,11.5581
2024-12-03,11.5863
2024-12-04,11.6164
2024-12-05,11.6325
2024-12-06,11.6598
2024-12-09,11.6171
2024-12-10,11.5942
2024-12-11,11.6438
2024-12-12,11.6264
2024-12-13,11.5824
2024-12-16,11.6401
2024-12-17,11.6028
2024-12-18,11.5959
2024-12-19,11.3385
2024-12-20,11.3997
2024-12-23,11.3657
2024-12-24,11.3657
2024-12-27,11.4326
2024-12-30,11.3133
2024-12-31,11.3619
2025-01-02,11.299
2025-01-03,11.3228
2025-01-06,11.5151
2025-01-07,11.3957
2025-01-08,11.3103
2025-01-09,11.2998
2025-01-10,11.1434
2025-01-13,11.0803
2025-01-14,11.17
2025-01-15,11.3541
2025-01-16,11.3944
2025-01-17,11.4935
2025-01-20,11.5197
2025-01-21,11.5279
2025-01-22,11.6419
2025-01-23,11.6528
2025-01-24,11.6947
2025-01-27,11.4426
2025-01-28,11.5399
2025-01-29,11.5606
2025-01-30,11.5641
2025-01-31,11.6836
2025-02-03,11.4638
2025-02-04,11.5181
2025-02-05,11.496
2025-02-06,11.596
2025-02-07,11.5345
2025-02-10,11.5487
2025-02-11,11.5523
2025-02-12,11.4662
2025-02-13,11.6094
2025-02-14,11.6509
2025-02-17,11.6558
2025-02-18,11.6471
2025-02-19,11.6597
2025-02-20,11.6209
2025-02-21,11.5961
2025-02-24,11.4554
2025-02-25,11.2968
2025-02-26,11.4421
2025-02-27,11.3593
2025-02-28,11.2097
2025-03-03,11.3347
2025-03-04,10.9462
2025-03-05,10.9847
2025-03-06,11.0575
2025-03-07,10.8487
2025-03-10,10.7587
2025-03-11,10.5975
2025-03-12,10.6602
2025-03-13,10.5136
2025-03-14,10.6566
2025-03-17,10.7198
2025-03-18,10.6655
2025-03-19,10.7483
2025-03-20,10.7528
2025-03-21,10.7035
2025-03-24,10.9105
2025-03-25,10.9316
2025-03-26,10.8515
2025-03-27,10.814
2025-03-28,10.6013
2025-03-31,10.5098
2025-04-01,10.6807
2025-04-02,10.7243
2025-04-03,10.3222
2025-04-04,9.8689
2025-04-07,9.4293
2025-04-08,9.7959
2025-04-09,9.4906
2025-04-10,9.9867
2025-04-11,9.9532
2025-04-14,10.264
2025-04-15,10.291
2025-04-16,10.1716
2025-04-17,10.0151
2025-04-22,9.9889
2025-04-23,10.2442
2025-04-24,10.3133
2025-04-25,10.3929
2025-04-28,10.4055
2025-04-29,10.4924
2025-04-30,10.4415
2025-05-02,10.7319
2025-05-05,10.7627
2025-05-06,10.7017
2025-05-07,10.6669
2025-05-08,10.7954
2025-05-09,10.758
2025-05-12,11.0352
2025-05-13,11.2019
2025-05-14,11.1942
2025-05-15,11.2182
2025-05-16,11.2612
2025-05-19,11.3016
2025-05-20,11.3246
2025-05-21,11.2962
2025-05-22,11.1259
2025-05-23,11.0334
2025-05-26,11.1617
2025-05-27,11.2323
2025-05-28,11.2572
2025-05-29,11.2722
2025-05-30,11.2403
2025-06-02,11.2322
2025-06-03,11.3471
2025-06-04,11.4016
2025-06-05,11.421
2025-06-06,11.4195
2025-06-09,11.4236
2025-06-10,11.4534
2025-06-11,11.5145
2025-06-12,11.4716
2025-06-13,11.4313
2025-06-16,11.4992
2025-06-17,11.4315
2025-06-18,11.4217
2025-06-19,11.2594
2025-06-20,11.3598
2025-06-23,11.3881
2025-06-24,11.5583
2025-06-25,11.5906
2025-06-26,11.6536
2025-06-27,11.7474
2025-06-30,11.7667
2025-07-01,11.7898
2025-07-02,11.8164
2025-07-03,11.9478
2025-07-04,11.8658
2025-07-07,11.8801
2025-07-08,11.837
2025-07-09,11.8548
2025-07-10,11.9258
2025-07-11,11.888
2025-07-14,11.8917
2025-07-15,11.919
2025-07-16,11.8396
2025-07-17,11.9536
2025-07-18,11.9792
2025-07-21,12.0466
2025-07-22,11.9875
2025-07-23,12.0498
2025-07-24,12.1354
2025-07-25,12.1466
2025-07-28,12.1443
2025-07-29,12.1375
2025-07-30,12.1266
2025-07-31,12.1539
2025-08-01,11.8687
2025-08-04,12.0254
2025-08-05,11.9997
2025-08-06,12.0672
2025-08-07,12.0708
2025-08-08,12.1467
2025-08-11,12.172
2025-08-12,12.2354
2025-08-13,12.3015
2025-08-14,12.2903
2025-08-15,12.2842
2025-08-18,12.2676
2025-08-19,12.2572
2025-08-20,12.166
2025-08-21,12.1615
2025-08-22,12.3373
2025-08-25,12.311
2025-08-26,12.2596
2025-08-27,12.3325
2025-08-28,12.3266
2025-08-29,12.2815
