,ALPAU FP Equity_DX_SI_QTY,ALPAU FP Equity_DX_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPAU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPAU FP Equity_DX_SI_MV,ALPAU FP Equity_DX_DSS,ALPAU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SUPPLY_SI_QTY,ALPAU FP Equity_DX_BROKER_SI_QTY,ALPAU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPAU FP Equity_DX_BROKER_SI_QTY_ADD,ALPAU FP Equity_DX_SUPPLY_SI_MV_DEC,ALPAU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPAU FP Equity_DX_BROKER_SI_MV_ADD,ALPAU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPAU FP Equity_DX_BROKER_SI_QTY_DEC,ALPAU FP Equity_DX_SUPPLY_SI_MV,ALPAU FP Equity_DX_BROKER_SI_MV_DEC,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPAU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPAU FP Equity_DX_BROKER_SI_CON_RATIO,ALPAU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPAU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPAU FP Equity_PX_LAST
2021-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2021-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2021-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2021-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2021-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2021-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45
2021-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35
2021-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.24
2021-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2021-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2021-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54
2021-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.35
2021-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2021-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2021-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3
2021-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2021-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2021-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2021-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.92
2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88
2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.28
2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.26
2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2021-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.68
2021-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2021-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62
2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2021-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2021-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84
2021-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2021-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.88
2021-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94
2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98
2021-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84
2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2021-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2021-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2021-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
2021-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2021-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56
2021-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74
2021-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2021-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54
2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.56
2021-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2021-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2021-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44
2021-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38
2021-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.92
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.48
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.06
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.76
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.66
2021-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.58
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.96
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.04
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14
2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.64
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.94
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.75
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.68
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2021-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2021-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.19
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.16
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.98
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2022-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.96
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2022-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66
2022-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.845
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.59
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2022-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2022-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2022-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
2022-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.345
2022-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2022-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21
2022-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2022-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2022-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2022-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2022-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2022-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2022-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.985
2022-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2022-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2022-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2022-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2022-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2022-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2022-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84
2022-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.835
2022-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.795
2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05
2022-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18
2022-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3
2022-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2022-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.285
2022-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.335
2022-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.335
2022-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.335
2022-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2022-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.305
2022-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.305
