,ALROC FP Equity_DX_SI_QTY,ALROC FP Equity_DX_SHORT_INTEREST_VALUE,ALROC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALROC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALROC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALROC FP Equity_DX_SI_MV,ALROC FP Equity_DX_DSS,ALROC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALROC FP Equity_DX_SUPPLY_SI_QTY,ALROC FP Equity_DX_BROKER_SI_QTY,ALROC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALROC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALROC FP Equity_DX_BROKER_SI_MV_INC_x,ALROC FP Equity_DX_BROKER_SI_QTY_ADD,ALROC FP Equity_DX_SUPPLY_SI_MV_DEC,ALROC FP Equity_DX_BROKER_SI_QTY_INC,ALROC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALROC FP Equity_DX_BROKER_SI_MV_INC_y,ALROC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALROC FP Equity_DX_BROKER_SI_MV_ADD,ALROC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALROC FP Equity_DX_BROKER_SI_QTY_DEC,ALROC FP Equity_DX_SUPPLY_SI_MV,ALROC FP Equity_DX_BROKER_SI_MV_DEC,ALROC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALROC FP Equity_DX_UTILIZATION_QUANTITY,ALROC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALROC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALROC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALROC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALROC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALROC FP Equity_DX_BROKER_SI_CON_RATIO,ALROC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALROC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALROC FP Equity_PX_LAST
2008-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4
2008-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83
2008-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2008-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2008-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2008-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2008-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2008-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2008-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2008-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2008-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2008-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
2008-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79
2008-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62
2008-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2008-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
2008-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2008-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2008-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2008-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2008-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
2008-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2008-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.51
2008-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.51
2008-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53
2008-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2008-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2008-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
2008-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
2008-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2008-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.17
2008-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2008-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
