,DEEZR FP Equity_DX_SI_QTY,DEEZR FP Equity_DX_SHORT_INTEREST_VALUE,DEEZR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DEEZR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DEEZR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DEEZR FP Equity_DX_SI_MV,DEEZR FP Equity_DX_DSS,DEEZR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DEEZR FP Equity_DX_SUPPLY_SI_QTY,DEEZR FP Equity_DX_BROKER_SI_QTY,DEEZR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DEEZR FP Equity_DX_BROKER_SI_MV_NEW_x,DEEZR FP Equity_DX_SUPPLY_SI_QTY_INC_x,DEEZR FP Equity_DX_BROKER_SI_MV_INC_x,DEEZR FP Equity_DX_BROKER_SI_QTY_ADD,DEEZR FP Equity_DX_BROKER_SI_QTY_NEW,DEEZR FP Equity_DX_SUPPLY_SI_MV_DEC,DEEZR FP Equity_DX_BROKER_SI_QTY_INC,DEEZR FP Equity_DX_SUPPLY_SI_QTY_DEC,DEEZR FP Equity_DX_BROKER_SI_MV_NEW_y,DEEZR FP Equity_DX_BROKER_SI_MV_INC_y,DEEZR FP Equity_DX_SUPPLY_SI_QTY_INC_y,DEEZR FP Equity_DX_BROKER_SI_MV_ADD,DEEZR FP Equity_DX_SUPPLY_SI_QTY_ADD,DEEZR FP Equity_DX_BROKER_SI_QTY_DEC,DEEZR FP Equity_DX_SUPPLY_SI_MV,DEEZR FP Equity_DX_BROKER_SI_MV_DEC,DEEZR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DEEZR FP Equity_DX_UTILIZATION_QUANTITY,DEEZR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DEEZR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DEEZR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DEEZR FP Equity_DX_ACTIVE_UTILIZATION_MV,DEEZR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DEEZR FP Equity_DX_BROKER_SI_CON_RATIO,DEEZR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DEEZR FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-08-17,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2757990.15,2.76,0.0,,0.0,,0.0
2021-08-18,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2757990.15,2.76,0.0,,0.0,,0.0
2021-08-19,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2757990.15,2.76,0.0,,0.0,,0.0
2021-08-20,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2757990.15,2.76,0.0,,0.0,,0.0
2021-08-23,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2797190.01,2.76,0.0,,0.0,,0.0
2021-08-24,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2707590.33,2.76,0.0,,0.0,,0.0
2021-08-25,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2707590.33,2.71,0.0,,0.0,,0.0
2021-08-26,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2707590.33,2.71,0.0,,0.0,,0.0
2021-08-27,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2707590.33,2.71,0.0,,0.0,,0.0
2021-08-30,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2794390.02,2.71,0.0,,0.0,,0.0
2021-08-31,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,279999.0,2757990.15,2.71,0.0,,0.0,,0.0
