,ALDEV FP Equity_DX_SI_QTY,ALDEV FP Equity_DX_SHORT_INTEREST_VALUE,ALDEV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALDEV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALDEV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALDEV FP Equity_DX_SI_MV,ALDEV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALDEV FP Equity_DX_SUPPLY_SI_QTY,ALDEV FP Equity_DX_BROKER_SI_QTY,ALDEV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALDEV FP Equity_DX_SUPPLY_SI_MV,ALDEV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALDEV FP Equity_DX_UTILIZATION_QUANTITY,ALDEV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALDEV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALDEV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALDEV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALDEV FP Equity_DX_BROKER_SI_CON_RATIO,ALDEV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALDEV FP Equity_PX_LAST
1992-02-25,,,,,,,,,,,,,,,,,,,,37.5025
1992-02-28,,,,,,,,,,,,,,,,,,,,38.1123
1992-03-06,,,,,,,,,,,,,,,,,,,,40.4142
1992-03-10,,,,,,,,,,,,,,,,,,,,44.9725
1992-03-11,,,,,,,,,,,,,,,,,,,,45.7347
1992-03-12,,,,,,,,,,,,,,,,,,,,47.5641
1992-03-13,,,,,,,,,,,,,,,,,,,,49.5459
1992-03-16,,,,,,,,,,,,,,,,,,,,49.5459
1992-03-17,,,,,,,,,,,,,,,,,,,,49.3173
1992-03-18,,,,,,,,,,,,,,,,,,,,49.3935
1992-03-19,,,,,,,,,,,,,,,,,,,,49.241
1992-03-20,,,,,,,,,,,,,,,,,,,,48.6312
1992-03-23,,,,,,,,,,,,,,,,,,,,48.7837
1992-03-25,,,,,,,,,,,,,,,,,,,,51.8479
1992-03-26,,,,,,,,,,,,,,,,,,,,52.5949
1992-03-27,,,,,,,,,,,,,,,,,,,,51.8479
1992-04-02,,,,,,,,,,,,,,,,,,,,48.1739
1992-04-03,,,,,,,,,,,,,,,,,,,,46.9543
1992-04-08,,,,,,,,,,,,,,,,,,,,44.9725
1992-04-09,,,,,,,,,,,,,,,,,,,,45.7347
1992-04-10,,,,,,,,,,,,,,,,,,,,44.2102
1992-04-13,,,,,,,,,,,,,,,,,,,,42.6857
1992-04-14,,,,,,,,,,,,,,,,,,,,43.2955
1992-04-15,,,,,,,,,,,,,,,,,,,,43.9053
1992-04-16,,,,,,,,,,,,,,,,,,,,44.3627
1992-04-21,,,,,,,,,,,,,,,,,,,,45.7347
1992-04-22,,,,,,,,,,,,,,,,,,,,45.8872
1992-04-23,,,,,,,,,,,,,,,,,,,,45.7347
1992-04-24,,,,,,,,,,,,,,,,,,,,46.0396
1992-04-27,,,,,,,,,,,,,,,,,,,,45.7347
1992-04-28,,,,,,,,,,,,,,,,,,,,45.8872
1992-04-29,,,,,,,,,,,,,,,,,,,,45.8872
1992-04-30,,,,,,,,,,,,,,,,,,,,45.8872
1992-05-04,,,,,,,,,,,,,,,,,,,,45.8872
1992-05-05,,,,,,,,,,,,,,,,,,,,45.8872
1992-05-06,,,,,,,,,,,,,,,,,,,,45.5823
1992-05-07,,,,,,,,,,,,,,,,,,,,44.5151
1992-05-11,,,,,,,,,,,,,,,,,,,,45.2774
1992-05-12,,,,,,,,,,,,,,,,,,,,45.2774
1992-05-13,,,,,,,,,,,,,,,,,,,,45.5823
1992-05-14,,,,,,,,,,,,,,,,,,,,47.2592
1992-05-15,,,,,,,,,,,,,,,,,,,,48.7837
1992-05-18,,,,,,,,,,,,,,,,,,,,51.8327
1992-05-19,,,,,,,,,,,,,,,,,,,,50.4606
1992-05-20,,,,,,,,,,,,,,,,,,,,48.3263
1992-05-21,,,,,,,,,,,,,,,,,,,,50.3082
1992-05-22,,,,,,,,,,,,,,,,,,,,50.3082
