,ASY FP Equity_DX_SI_QTY,ASY FP Equity_DX_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ASY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ASY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ASY FP Equity_DX_SI_MV,ASY FP Equity_DX_DSS,ASY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY,ASY FP Equity_DX_BROKER_SI_QTY,ASY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ASY FP Equity_DX_BROKER_SI_MV_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_x,ASY FP Equity_DX_BROKER_SI_MV_INC_x,ASY FP Equity_DX_SUPPLY_SI_MV_NEW,ASY FP Equity_DX_BROKER_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_NEW,ASY FP Equity_DX_SUPPLY_SI_MV_DEC,ASY FP Equity_DX_BROKER_SI_QTY_INC,ASY FP Equity_DX_SUPPLY_SI_QTY_DEC,ASY FP Equity_DX_BROKER_SI_MV_NEW_y,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ASY FP Equity_DX_BROKER_SI_MV_INC_y,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_y,ASY FP Equity_DX_BROKER_SI_MV_ADD,ASY FP Equity_DX_SUPPLY_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_DEC,ASY FP Equity_DX_SUPPLY_SI_MV,ASY FP Equity_DX_BROKER_SI_MV_DEC,ASY FP Equity_DX_SUPPLY_SI_MV_RMV,ASY FP Equity_DX_BROKER_SI_MV_RMV,ASY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ASY FP Equity_DX_UTILIZATION_QUANTITY,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ASY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ASY FP Equity_DX_ACTIVE_UTILIZATION_MV,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ASY FP Equity_DX_BROKER_SI_CON_RATIO,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ASY FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,158710.0,2297535.94,1.14,5.11,0.84,3.12,0.0,1658681.69,45523.0,114579.0,659005.28,0.24,,,,,,11000.0,0.01,,438.0,0.24,,,,,,5127.0,0.92,0.1,,,6.3,6.3,677389.0,9806096.48,,13.74,6.25,17.24,0.1946,34.86,0.2195
2006-01-11,160978.0,2439263.93,1.15,3.47,0.85,3.31,0.0,1683913.09,52461.0,111129.0,794929.9,,,6938.0,0.08,,,,,3137.0,,,,0.08,6938.0,,,6587.0,1.12,0.11,,,7.94,7.94,607973.0,9212480.04,,13.06,7.93,21.02,0.1852,31.32,0.2437
2006-01-18,161700.0,2373635.36,1.16,3.56,0.86,3.31,0.0,1714639.61,47760.0,116807.0,701081.17,,,307.0,0.36,,,,0.11,16683.0,5008.0,,,0.36,307.0,,,11005.0,1.01,0.25,,,7.28,7.28,608173.0,8927525.89,,12.91,7.29,17.43,0.2169,37.6,0.2465
2006-01-25,91561.0,1353337.82,0.66,1.89,0.49,1.99,0.0,710494.59,46151.0,48069.0,682145.17,,,,,,,,0.01,,1609.0,,,,,,,68737.0,1.0,1.3,,,7.38,7.38,579030.0,8558482.27,,12.59,7.37,23.7,0.2048,29.62,0.1465
2006-02-01,90145.0,1311065.39,0.65,1.84,0.48,1.94,0.0,676977.76,45182.0,46547.0,657125.26,,,,,,,,0.02,,970.0,,,,,,,1522.0,0.97,0.04,,,7.65,7.65,545506.0,7933818.12,,11.73,7.65,24.1,0.2097,30.12,0.1526
2006-02-08,90381.0,1331616.8,0.65,1.64,0.48,1.91,0.0,755394.66,39110.0,51271.0,576222.14,,,339.0,0.12,,13668.0,,0.14,5776.0,6411.0,,,0.12,339.0,0.26,,14720.0,0.84,0.32,,,6.26,6.26,585220.0,8622263.36,,12.56,6.25,24.79,0.189,24.79,0.1448
2006-02-15,175067.0,2605380.86,1.25,3.05,0.93,4.07,0.0,1411501.59,80222.0,94845.0,1193879.28,,,4120.0,0.11,,45986.0,,0.0,5033.0,716.0,,,0.11,4120.0,1.19,37707.0,7445.0,1.84,0.14,,,11.26,11.26,632337.0,9410561.21,,14.21,11.44,11.13,0.3517,55.84,0.2457
2006-02-22,165783.0,2818231.93,1.17,2.84,0.87,3.95,0.0,1531946.02,75666.0,90117.0,1286285.91,,,2092.0,0.01,,,,0.15,305.0,6648.0,,,0.01,2092.0,,,5033.0,1.79,0.11,,,11.2,11.2,600069.0,10200886.81,,14.38,11.07,11.7,0.3627,56.95,0.2453
2006-03-01,168513.0,2825883.06,1.19,1.85,0.89,4.14,0.0,1519101.01,77925.0,90587.0,1306765.28,,,2260.0,0.02,,,,,470.0,,,,0.02,2260.0,,,,1.92,,,,8.19,8.19,873861.0,14654234.36,,21.55,8.18,11.98,0.3573,56.36,0.177
2006-03-08,156902.0,2609944.41,1.1,1.78,0.82,3.91,0.0,1323718.98,77324.0,79578.0,1286225.42,,,,,,,,0.0,,602.0,,,,,,,11009.0,1.93,0.24,,,7.99,7.99,889848.0,14801938.86,,22.11,8.01,12.73,0.3974,59.77,0.1622
2006-03-15,138119.0,2242378.47,0.97,1.51,0.73,3.48,0.0,1195294.44,64495.0,73624.0,1047084.03,,,,,,,,0.31,,12829.0,,,,,,,5954.0,1.61,0.11,,,6.86,6.86,875610.0,14215633.01,,21.69,6.9,14.01,0.4871,66.84,0.1469
2006-03-22,138864.0,2337137.67,0.98,1.59,0.73,3.52,0.0,1240350.52,65167.0,73697.0,1096787.15,,,672.0,0.0,,,,,73.0,,,,0.0,672.0,,,,1.64,,,,10.61,6.72,548828.0,9236998.75,,0.0,329.93,14.15,0.4841,66.56,0.1432
2006-03-29,167961.0,2721185.94,1.11,1.88,0.88,4.23,0.0,1509879.81,74765.0,93195.0,1211289.92,,,10000.0,0.59,,,,0.02,23879.0,402.0,,,0.59,10000.0,,,4381.0,1.86,0.11,,,7.66,7.66,900964.0,14596784.78,,22.37,7.69,17.39,0.3732,55.35,0.1721
2006-04-05,170018.0,2863772.4,1.12,2.15,0.89,4.37,0.0,1341181.6,90394.0,79624.0,1522590.8,,,11625.0,0.01,,,,,429.0,,,,0.01,11625.0,,4004.0,14000.0,2.31,0.35,,,8.82,8.82,934497.0,15740608.14,,23.83,8.84,24.38,0.3922,56.01,0.1659
2006-04-12,194104.0,3329875.4,1.28,3.74,1.02,4.98,1.0,1843522.39,87842.0,107462.0,1506939.14,0.43,,253.0,0.25,,1252.0,17000.0,0.1,10000.0,4004.0,0.43,,0.25,253.0,0.03,1199.0,415.0,2.25,0.01,,,8.77,8.77,913819.0,15676665.13,,23.37,8.77,21.61,0.308,48.07,0.1938
2006-04-19,166525.0,2816201.33,1.1,3.08,0.88,4.29,0.0,1529348.26,77292.0,90432.0,1307130.06,,,,,,,,0.27,,10549.0,,,,,,,17030.0,1.97,0.43,,,7.82,7.82,911573.0,15416142.31,,23.24,7.82,18.99,0.3787,55.86,0.1684
2006-04-26,166185.0,2810451.39,1.09,3.28,0.87,4.3,0.0,1529196.06,76962.0,90423.0,1301549.24,,,,,,,,0.0,,330.0,,,,,,,9.0,1.97,0.0,,,7.97,7.97,888941.0,15033399.36,,22.73,7.98,18.89,0.3804,56.07,0.1721
2006-05-03,178198.0,3043746.34,1.17,3.56,0.94,4.6,0.0,1708531.05,79370.0,100027.0,1355695.05,,,,0.25,,,,0.02,9604.0,564.0,,,0.25,,,2972.0,,2.02,,,,8.22,8.22,886071.0,15134711.75,,22.61,8.2,23.18,0.3642,53.25,0.1846
2006-05-10,166825.0,2932997.29,1.1,3.63,0.88,4.39,0.0,1554132.54,78428.0,88397.0,1378864.75,,,257.0,0.06,,,,0.03,2167.0,1199.0,,,0.06,257.0,,,13797.0,2.03,0.34,,,8.05,8.05,896071.0,15754076.51,,23.21,8.06,19.82,0.3862,56.84,0.1712
2006-05-17,230415.0,3943442.55,1.52,4.16,1.21,5.43,1.0,1986208.72,114361.0,116054.0,1957233.83,,,80367.0,0.37,,,,1.17,34346.0,44434.0,,,0.37,80367.0,,,6689.0,2.89,0.17,,,13.39,9.92,739949.0,12663873.32,,2.17,57.07,30.83,0.3861,52.82,0.2
