,CS9 FP Equity_DX_SI_QTY,CS9 FP Equity_DX_SHORT_INTEREST_VALUE,CS9 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CS9 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CS9 FP Equity_DX_SI_MV,CS9 FP Equity_DX_DSS,CS9 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CS9 FP Equity_DX_SUPPLY_SI_QTY,CS9 FP Equity_DX_BROKER_SI_QTY,CS9 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CS9 FP Equity_DX_BROKER_SI_MV_NEW_x,CS9 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CS9 FP Equity_DX_BROKER_SI_MV_INC_x,CS9 FP Equity_DX_BROKER_SI_QTY_ADD,CS9 FP Equity_DX_BROKER_SI_QTY_NEW,CS9 FP Equity_DX_SUPPLY_SI_MV_DEC,CS9 FP Equity_DX_BROKER_SI_QTY_INC,CS9 FP Equity_DX_SUPPLY_SI_QTY_DEC,CS9 FP Equity_DX_BROKER_SI_MV_NEW_y,CS9 FP Equity_DX_BROKER_SI_MV_INC_y,CS9 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CS9 FP Equity_DX_BROKER_SI_MV_ADD,CS9 FP Equity_DX_SUPPLY_SI_QTY_ADD,CS9 FP Equity_DX_BROKER_SI_QTY_DEC,CS9 FP Equity_DX_SUPPLY_SI_MV,CS9 FP Equity_DX_BROKER_SI_MV_DEC,CS9 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CS9 FP Equity_DX_UTILIZATION_QUANTITY,CS9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CS9 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CS9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CS9 FP Equity_DX_ACTIVE_UTILIZATION_MV,CS9 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CS9 FP Equity_DX_BROKER_SI_CON_RATIO,CS9 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CS9 FP Equity_DX_DEMAND_SUPPLY_RATIO,CS9 FP Equity_PX_LAST
2010-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.69
2010-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.51
2010-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.56
2010-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.72
2010-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.49
2010-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.45
2010-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.56
2010-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.48
2010-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.43
2010-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.03
2010-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.32
2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.86
2010-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.94
2010-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.05
2010-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.88
2010-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.83
2010-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.26
2010-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.05
2010-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.37
2010-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.01
2010-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.42
2010-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.97
2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.17
