,BUR FP Equity_DX_SI_QTY,BUR FP Equity_DX_SHORT_INTEREST_VALUE,BUR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BUR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BUR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BUR FP Equity_DX_SI_MV,BUR FP Equity_DX_DSS,BUR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BUR FP Equity_DX_SUPPLY_SI_QTY,BUR FP Equity_DX_BROKER_SI_QTY,BUR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BUR FP Equity_DX_BROKER_SI_MV_NEW_x,BUR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BUR FP Equity_DX_SUPPLY_SI_QTY_INC_x,BUR FP Equity_DX_BROKER_SI_MV_INC_x,BUR FP Equity_DX_SUPPLY_SI_MV_NEW,BUR FP Equity_DX_BROKER_SI_QTY_ADD,BUR FP Equity_DX_BROKER_SI_QTY_NEW,BUR FP Equity_DX_SUPPLY_SI_MV_DEC,BUR FP Equity_DX_BROKER_SI_QTY_INC,BUR FP Equity_DX_SUPPLY_SI_QTY_DEC,BUR FP Equity_DX_BROKER_SI_MV_NEW_y,BUR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BUR FP Equity_DX_BROKER_SI_MV_INC_y,BUR FP Equity_DX_SUPPLY_SI_QTY_INC_y,BUR FP Equity_DX_BROKER_SI_MV_ADD,BUR FP Equity_DX_SUPPLY_SI_QTY_ADD,BUR FP Equity_DX_BROKER_SI_QTY_DEC,BUR FP Equity_DX_SUPPLY_SI_MV,BUR FP Equity_DX_BROKER_SI_MV_DEC,BUR FP Equity_DX_SUPPLY_SI_MV_RMV,BUR FP Equity_DX_BROKER_SI_MV_RMV,BUR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BUR FP Equity_DX_UTILIZATION_QUANTITY,BUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BUR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BUR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BUR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BUR FP Equity_DX_ACTIVE_UTILIZATION_MV,BUR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BUR FP Equity_DX_BROKER_SI_CON_RATIO,BUR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BUR FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,1.84,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,1.84,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,1.89,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.03,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.01,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.03,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.0,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.01,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.01,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,2.01,0.0,,0.0,,0.0
