,ALKLH FP Equity_DX_SI_QTY,ALKLH FP Equity_DX_SHORT_INTEREST_VALUE,ALKLH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALKLH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALKLH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALKLH FP Equity_DX_SI_MV,ALKLH FP Equity_DX_DSS,ALKLH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALKLH FP Equity_DX_SUPPLY_SI_QTY,ALKLH FP Equity_DX_BROKER_SI_QTY,ALKLH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALKLH FP Equity_DX_BROKER_SI_MV_NEW_x,ALKLH FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALKLH FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALKLH FP Equity_DX_BROKER_SI_MV_INC_x,ALKLH FP Equity_DX_SUPPLY_SI_MV_NEW,ALKLH FP Equity_DX_BROKER_SI_QTY_ADD,ALKLH FP Equity_DX_BROKER_SI_QTY_NEW,ALKLH FP Equity_DX_SUPPLY_SI_MV_DEC,ALKLH FP Equity_DX_BROKER_SI_QTY_INC,ALKLH FP Equity_DX_SUPPLY_SI_QTY_DEC,ALKLH FP Equity_DX_BROKER_SI_MV_NEW_y,ALKLH FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALKLH FP Equity_DX_BROKER_SI_MV_INC_y,ALKLH FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALKLH FP Equity_DX_BROKER_SI_MV_ADD,ALKLH FP Equity_DX_SUPPLY_SI_QTY_ADD,ALKLH FP Equity_DX_BROKER_SI_QTY_DEC,ALKLH FP Equity_DX_SUPPLY_SI_MV,ALKLH FP Equity_DX_BROKER_SI_MV_DEC,ALKLH FP Equity_DX_SUPPLY_SI_MV_RMV,ALKLH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALKLH FP Equity_DX_UTILIZATION_QUANTITY,ALKLH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALKLH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALKLH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALKLH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALKLH FP Equity_DX_ACTIVE_UTILIZATION_MV,ALKLH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALKLH FP Equity_DX_BROKER_SI_CON_RATIO,ALKLH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALKLH FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-07-11,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,3430.0,25313.4,,0.03,0.0,,0.0,,0.0
2011-07-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,3430.0,25690.7,,0.03,0.0,,0.0,,0.0
2011-07-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,3430.0,25039.0,,0.03,0.0,,0.0,,0.0
2011-07-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,3430.0,24867.5,,0.03,0.0,,0.0,,0.0
2015-08-27,100.0,320.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,100.0,0.0,,,,,,100.0,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2015-08-28,100.0,324.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2015-08-31,100.0,323.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2015-09-01,100.0,307.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2015-09-02,100.0,306.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2015-09-03,100.0,318.0,0.0,0.0,0.0,0.0,0.0,318.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2015-09-04,100.0,312.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2016-05-23,40000.0,107600.0,0.36,0.18,0.36,0.11,0.0,53800.0,20000.0,20000.0,53800.0,,,,,,20000.0,,,,,,,,,0.06,20000.0,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,,1.0,100.0,2.0
2016-05-24,40400.0,114332.0,0.36,0.17,0.36,0.11,0.0,56600.0,20400.0,20000.0,57732.0,,,400.0,,,,,,,,,,,400.0,,,,0.05,,,100.0,100.0,0.0,0.0,,0.0,100.0,0.99,0.9804,99.01,1.9804
2016-05-25,40400.0,119988.0,0.36,0.19,0.36,0.11,0.0,59400.0,20400.0,20000.0,60588.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,0.99,0.9804,99.01,1.9804
2016-05-26,40400.0,115948.0,0.36,0.16,0.36,0.12,0.0,57400.0,20400.0,20000.0,58548.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,0.99,0.9804,99.01,1.9804
2016-05-27,40400.0,115544.0,0.36,0.17,0.36,0.12,0.0,57200.0,20400.0,20000.0,58344.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,100.0,0.0,0.0,,0.0,100.0,0.99,0.9804,99.01,1.9804
2016-05-30,40400.0,113524.0,0.36,0.17,0.36,0.12,0.0,56200.0,20400.0,20000.0,57324.0,,,,,,,,,,,,,,,,,,0.06,,,100.0,95.33,0.0,0.0,,0.0,100.0,0.99,0.9804,99.01,1.8879
2016-05-31,60400.0,172140.0,0.53,0.26,0.53,0.17,0.0,114000.0,20400.0,40000.0,58140.0,,,,,,20000.0,,,,,,,,,0.06,,,0.06,,,100.0,95.33,0.0,0.0,,0.0,100.0,34.27,0.541,65.07,2.8224
