,CHM FP Equity_PX_LAST
2024-06-21,165.024
2024-06-24,166.59
2024-06-25,166.379
2024-06-26,165.436
2024-06-27,164.376
2024-06-28,163.356
2024-07-01,163.864
2024-07-02,163.123
2024-07-03,165.767
2024-07-04,166.356
2024-07-05,165.315
2024-07-08,164.899
2024-07-09,163.7
2024-07-10,163.873
2024-07-11,164.818
2024-07-12,166.347
2024-07-15,163.5
2024-07-16,162.118
2024-07-17,162.711
2024-07-18,162.253
2024-07-19,159.248
2024-07-22,160.564
2024-07-23,158.826
2024-07-24,159.327
2024-07-25,159.067
2024-07-26,159.988
2024-07-29,158.991
2024-07-30,158.418
2024-07-31,160.512
2024-08-01,157.883
2024-08-02,154.425
2024-08-05,151.542
2024-08-06,151.139
2024-08-07,153.575
2024-08-08,152.945
2024-08-09,153.591
2024-08-12,153.485
2024-08-13,153.25
2024-08-14,152.5
2024-08-15,154.645
2024-08-16,154.813
2024-08-19,156.802
2024-08-20,156.077
2024-08-21,157.559
2024-08-22,156.616
2024-08-23,157.877
2024-08-26,158.569
2024-08-27,158.821
2024-08-28,158.852
2024-08-29,160.038
2024-08-30,159.996
2024-09-02,159.802
2024-09-03,156.986
2024-09-04,156.28
2024-09-05,155.221
2024-09-06,152.641
2024-09-09,154.164
2024-09-10,153.629
2024-09-11,154.209
2024-09-12,155.872
2024-09-13,157.538
2024-09-16,157.418
2024-09-17,158.839
2024-09-18,158.13
2024-09-19,161.725
2024-09-20,158.352
2024-09-23,159.251
2024-09-24,163.414
2024-09-25,163.625
2024-09-26,167.533
2024-09-27,170.574
2024-09-30,169.414
2024-10-01,168.701
2024-10-02,169.388
2024-10-03,166.643
2024-10-04,168.057
2024-10-07,168.095
2024-10-08,164.062
2024-10-09,165.057
2024-10-10,164.989
2024-10-11,165.805
2024-10-14,165.386
2024-10-15,163.36
2024-10-16,162.784
2024-10-17,162.542
2024-10-18,164.145
2024-10-21,162.839
2024-10-22,163.021
2024-10-23,161.1
2024-10-24,160.804
2024-10-25,161.912
2024-10-28,163.212
2024-10-29,162.38
2024-10-30,160.044
2024-10-31,158.3
2024-11-01,160.024
2024-11-04,159.562
2024-11-05,159.908
2024-11-06,158.394
2024-11-07,161.616
2024-11-08,157.022
2024-11-11,157.466
2024-11-12,152.031
2024-11-13,151.994
2024-11-14,152.891
2024-11-15,153.633
2024-11-18,153.632
2024-11-19,153.314
2024-11-20,153.374
2024-11-21,153.626
2024-11-22,154.647
2024-11-25,155.598
2024-11-26,152.935
2024-11-27,152.484
2024-11-28,152.762
2024-11-29,153.979
2024-12-02,155.682
2024-12-03,156.768
2024-12-04,156.625
2024-12-05,156.891
2024-12-06,156.706
2024-12-09,159.822
2024-12-10,158.893
2024-12-11,159.308
2024-12-12,157.718
2024-12-13,155.325
2024-12-16,154.428
2024-12-17,153.609
2024-12-18,152.391
2024-12-19,149.708
2024-12-20,149.52
2024-12-23,148.979
2024-12-24,150.01
2024-12-27,150.641
2024-12-30,149.429
2024-12-31,150.603
2025-01-02,151.83
2025-01-03,149.667
2025-01-06,151.591
2025-01-07,151.192
2025-01-08,150.08
2025-01-09,151.561
2025-01-10,149.936
2025-01-13,150.907
2025-01-14,150.72
2025-01-15,152.912
2025-01-16,153.196
2025-01-17,155.931
2025-01-20,157.455
2025-01-21,157.197
2025-01-22,155.647
2025-01-23,155.765
2025-01-24,157.106
2025-01-27,156.837
2025-01-28,156.454
2025-01-29,156.08
2025-01-30,158.518
2025-01-31,157.145
2025-02-03,155.123
2025-02-04,156.197
2025-02-05,155.448
2025-02-06,160.888
2025-02-07,159.609
2025-02-10,160.255
2025-02-11,158.435
2025-02-12,159.392
2025-02-13,162.966
2025-02-14,163.771
2025-02-17,164.555
2025-02-18,164.274
2025-02-19,160.133
2025-02-20,160.604
2025-02-21,162.447
2025-02-24,161.176
2025-02-25,159.651
2025-02-26,161.959
2025-02-27,159.817
2025-02-28,159.964
2025-03-03,162.082
2025-03-04,158.18
2025-03-05,162.94
2025-03-06,165.502
2025-03-07,163.595
2025-03-10,162.391
2025-03-11,159.179
2025-03-12,159.532
2025-03-13,159.647
2025-03-14,161.665
2025-03-17,162.404
2025-03-18,163.225
2025-03-19,162.841
2025-03-20,160.91
2025-03-21,158.058
2025-03-24,158.611
2025-03-25,159.416
2025-03-26,158.176
2025-03-27,155.992
2025-03-28,154.49
2025-03-31,151.008
2025-04-01,152.761
2025-04-02,151.905
2025-04-03,146.246
2025-04-04,140.435
2025-04-07,133.882
2025-04-08,136.356
2025-04-09,132.833
2025-04-10,137.649
2025-04-11,138.375
2025-04-14,141.28
2025-04-15,142.795
2025-04-16,142.231
2025-04-17,142.92
2025-04-22,144.164
2025-04-23,146.608
2025-04-24,148.344
2025-04-25,148.39
2025-04-28,148.727
2025-04-29,149.514
2025-04-30,148.55
2025-05-02,150.949
2025-05-05,150.737
2025-05-06,148.94
2025-05-07,149.836
2025-05-08,150.187
2025-05-09,151.187
2025-05-12,154.546
2025-05-13,155.698
2025-05-14,155.005
2025-05-15,155.927
2025-05-16,154.858
2025-05-19,154.78
2025-05-20,156.171
2025-05-21,155.908
2025-05-22,154.761
2025-05-23,154.17
2025-05-26,156.313
2025-05-27,156.293
2025-05-28,154.792
2025-05-29,154.774
2025-05-30,154.85
2025-06-02,154.99
2025-06-03,153.624
2025-06-04,155.534
2025-06-05,156.141
2025-06-06,154.43
2025-06-09,154.68
2025-06-10,156.002
2025-06-11,155.321
2025-06-12,153.555
2025-06-13,152.167
2025-06-16,152.906
2025-06-17,152.03
2025-06-18,150.98
2025-06-19,149.027
2025-06-20,148.988
2025-06-23,147.993
2025-06-24,149.396
2025-06-25,147.3
2025-06-26,149.924
2025-06-27,151.175
2025-06-30,149.243
2025-07-01,149.645
2025-07-02,152.659
2025-07-03,151.738
2025-07-04,150.257
2025-07-07,150.07
2025-07-08,151.623
2025-07-09,151.74
2025-07-10,154.592
2025-07-11,152.983
2025-07-14,151.797
2025-07-15,151.342
2025-07-16,150.224
2025-07-17,150.793
2025-07-18,150.632
2025-07-21,152.958
2025-07-22,153.178
2025-07-23,154.913
2025-07-24,154.304
2025-07-25,153.633
2025-07-28,152.555
2025-07-29,152.003
2025-07-30,151.026
2025-07-31,148.112
2025-08-01,146.092
2025-08-04,146.238
2025-08-05,147.358
2025-08-06,146.8
2025-08-07,149.105
2025-08-08,150.726
2025-08-11,149.687
2025-08-12,150.804
2025-08-13,151.514
2025-08-14,151.357
2025-08-15,152.635
2025-08-18,151.415
2025-08-19,154.181
2025-08-20,154.733
2025-08-21,153.966
2025-08-22,155.836
2025-08-25,154.861
2025-08-26,154.032
2025-08-27,153.275
2025-08-28,153.762
2025-08-29,153.547
