,LI FP Equity_DX_SI_QTY,LI FP Equity_DX_SHORT_INTEREST_VALUE,LI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LI FP Equity_DX_SI_MV,LI FP Equity_DX_DSS,LI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LI FP Equity_DX_SUPPLY_SI_QTY,LI FP Equity_DX_BROKER_SI_QTY,LI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LI FP Equity_DX_BROKER_SI_MV_NEW_x,LI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LI FP Equity_DX_SUPPLY_SI_QTY_INC_x,LI FP Equity_DX_BROKER_SI_MV_INC_x,LI FP Equity_DX_SUPPLY_SI_MV_NEW,LI FP Equity_DX_BROKER_SI_QTY_ADD,LI FP Equity_DX_BROKER_SI_QTY_NEW,LI FP Equity_DX_SUPPLY_SI_MV_DEC,LI FP Equity_DX_BROKER_SI_QTY_INC,LI FP Equity_DX_SUPPLY_SI_QTY_DEC,LI FP Equity_DX_BROKER_SI_MV_NEW_y,LI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LI FP Equity_DX_BROKER_SI_MV_INC_y,LI FP Equity_DX_SUPPLY_SI_QTY_INC_y,LI FP Equity_DX_BROKER_SI_MV_ADD,LI FP Equity_DX_SUPPLY_SI_QTY_ADD,LI FP Equity_DX_BROKER_SI_QTY_DEC,LI FP Equity_DX_SUPPLY_SI_MV,LI FP Equity_DX_BROKER_SI_MV_DEC,LI FP Equity_DX_SUPPLY_SI_MV_RMV,LI FP Equity_DX_BROKER_SI_MV_RMV,LI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LI FP Equity_DX_UTILIZATION_QUANTITY,LI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LI FP Equity_DX_ACTIVE_UTILIZATION_MV,LI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LI FP Equity_DX_BROKER_SI_CON_RATIO,LI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LI FP Equity_DX_DEMAND_SUPPLY_RATIO,LI FP Equity_PX_LAST
1989-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9102
1989-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9102
1989-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.2823
1989-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4347
1989-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.6725
1989-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6543
1989-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6543
1989-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4347
1989-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4347
1989-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9102
1989-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.3857
1989-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5382
1989-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.7578
1989-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4529
1989-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.2515
1989-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.6235
1989-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.6053
1989-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.2823
1989-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9102
1989-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9284
1989-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8613
1989-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9284
1989-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.9284
1989-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.9102
1989-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4347
