,RS2K FP Equity_DX_SI_QTY,RS2K FP Equity_DX_SHORT_INTEREST_VALUE,RS2K FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RS2K FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RS2K FP Equity_DX_SI_MV,RS2K FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RS2K FP Equity_DX_SUPPLY_SI_QTY,RS2K FP Equity_DX_BROKER_SI_QTY,RS2K FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RS2K FP Equity_DX_SUPPLY_SI_QTY_INC_x,RS2K FP Equity_DX_BROKER_SI_MV_INC_x,RS2K FP Equity_DX_BROKER_SI_QTY_ADD,RS2K FP Equity_DX_SUPPLY_SI_MV_DEC,RS2K FP Equity_DX_BROKER_SI_QTY_INC,RS2K FP Equity_DX_SUPPLY_SI_QTY_DEC,RS2K FP Equity_DX_BROKER_SI_MV_INC_y,RS2K FP Equity_DX_SUPPLY_SI_QTY_INC_y,RS2K FP Equity_DX_BROKER_SI_MV_ADD,RS2K FP Equity_DX_SUPPLY_SI_QTY_ADD,RS2K FP Equity_DX_BROKER_SI_QTY_DEC,RS2K FP Equity_DX_SUPPLY_SI_MV,RS2K FP Equity_DX_BROKER_SI_MV_DEC,RS2K FP Equity_DX_BROKER_SI_MV_RMV,RS2K FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RS2K FP Equity_DX_UTILIZATION_QUANTITY,RS2K FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RS2K FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RS2K FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RS2K FP Equity_DX_ACTIVE_UTILIZATION_MV,RS2K FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RS2K FP Equity_DX_BROKER_SI_CON_RATIO,RS2K FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RS2K FP Equity_DX_DEMAND_SUPPLY_RATIO,RS2K FP Equity_PX_LAST
2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.3
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.96
2014-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.26
2014-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.81
2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.68
2014-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1
2014-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.7
2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.5
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.85
2014-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.52
2014-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.75
2014-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.46
2014-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.79
2014-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.01
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.65
2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.59
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.07
2014-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.2
2014-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.69
2014-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.09
2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.83
2014-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.8
2014-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.72
