,COSE FP Equity_PX_LAST
2024-02-06,10.0
2024-02-07,8.152
2024-02-08,8.145
2024-02-09,8.05
2024-02-12,8.044
2024-02-13,8.057
2024-02-14,8.018
2024-02-15,8.027
2024-02-16,8.05
2024-02-19,8.056
2024-02-20,8.116
2024-02-21,9.995
2024-02-22,10.363
2024-02-23,10.487
2024-02-26,10.431
2024-02-27,10.385
2024-02-28,10.408
2024-02-29,10.408
2024-03-01,10.329
2024-03-04,10.328
2024-03-05,10.389
2024-03-06,10.397
2024-03-07,10.389
2024-03-08,10.322
2024-03-11,10.355
2024-03-12,10.438
2024-03-13,10.443
2024-03-14,10.442
2024-03-15,10.403
2024-03-18,10.539
2024-03-19,10.552
2024-03-20,10.574
2024-03-21,10.642
2024-03-22,10.656
2024-03-25,10.57
2024-03-26,10.618
2024-03-27,10.683
2024-03-28,10.75
2024-04-02,10.642
2024-04-03,10.486
2024-04-04,10.46
2024-04-05,10.447
2024-04-08,10.414
2024-04-09,10.398
2024-04-10,10.478
2024-04-11,10.486
2024-04-12,10.531
2024-04-15,10.504
2024-04-16,10.465
2024-04-17,10.456
2024-04-18,10.521
2024-04-19,10.553
2024-04-22,10.717
2024-04-23,10.677
2024-04-24,10.733
2024-04-25,10.78
2024-04-26,10.805
2024-04-29,10.743
2024-04-30,10.776
2024-05-02,10.746
2024-05-03,10.671
2024-05-06,10.687
2024-05-07,10.814
2024-05-08,10.8
2024-05-09,10.772
2024-05-10,10.848
2024-05-13,10.892
2024-05-14,10.769
2024-05-15,10.838
2024-05-16,10.904
2024-05-17,10.807
2024-05-20,10.878
2024-05-21,10.863
2024-05-22,10.77
2024-05-23,10.84
2024-05-24,10.648
2024-05-27,10.684
2024-05-28,10.453
2024-05-29,10.477
2024-05-30,10.553
2024-05-31,10.572
2024-06-03,10.54
2024-06-04,10.703
2024-06-05,10.714
2024-06-06,10.78
2024-06-07,10.811
2024-06-10,10.726
2024-06-11,10.749
2024-06-12,10.583
2024-06-13,10.622
2024-06-14,10.702
2024-06-17,10.742
2024-06-18,10.778
2024-06-19,10.73
2024-06-20,10.787
2024-06-21,10.861
2024-06-24,10.938
2024-06-25,10.888
2024-06-26,10.869
2024-06-27,10.824
2024-06-28,10.725
2024-07-01,10.657
2024-07-02,10.612
2024-07-03,10.572
2024-07-04,10.622
2024-07-05,10.609
2024-07-08,10.645
2024-07-09,10.648
2024-07-10,10.624
2024-07-11,10.607
2024-07-12,10.661
2024-07-15,10.602
2024-07-16,10.635
2024-07-17,10.651
2024-07-18,10.905
2024-07-19,10.791
2024-07-22,10.735
2024-07-23,10.77
2024-07-24,10.723
2024-07-25,10.931
2024-07-26,10.873
2024-07-29,10.987
2024-07-30,10.84
2024-07-31,10.974
2024-08-01,10.913
2024-08-02,10.818
2024-08-05,10.788
2024-08-06,10.9
2024-08-07,10.944
2024-08-08,10.86
2024-08-09,10.9
2024-08-12,10.841
2024-08-13,10.811
2024-08-14,10.874
2024-08-15,11.026
2024-08-16,11.041
2024-08-19,11.008
2024-08-20,11.016
2024-08-21,10.995
2024-08-22,11.117
2024-08-23,11.012
2024-08-26,11.154
2024-08-27,11.162
2024-08-28,11.208
2024-08-29,11.196
2024-08-30,11.243
2024-09-02,11.309
2024-09-03,11.343
2024-09-04,11.481
2024-09-05,11.41
2024-09-06,11.408
2024-09-09,11.609
2024-09-10,11.67
2024-09-11,11.389
2024-09-12,11.396
2024-09-13,11.466
2024-09-16,11.558
2024-09-17,11.506
2024-09-18,11.313
2024-09-19,11.265
2024-09-20,11.373
2024-09-23,11.524
2024-09-24,11.366
2024-09-25,11.343
2024-09-26,11.338
2024-09-27,11.475
2024-09-30,11.341
2024-10-01,11.359
2024-10-02,11.345
2024-10-03,11.289
2024-10-04,11.232
2024-10-07,11.256
2024-10-08,11.226
2024-10-09,11.433
2024-10-10,11.364
2024-10-11,11.366
2024-10-14,11.43
2024-10-15,11.705
2024-10-16,11.527
2024-10-17,11.563
2024-10-18,11.466
2024-10-21,11.476
2024-10-22,11.412
2024-10-23,11.396
2024-10-24,11.471
2024-10-25,11.397
2024-10-28,11.371
2024-10-29,11.305
2024-10-30,11.201
2024-10-31,11.13
2024-11-01,11.104
2024-11-04,11.04
2024-11-05,11.165
2024-11-06,11.113
2024-11-07,11.081
2024-11-08,11.222
2024-11-11,11.297
2024-11-12,11.225
2024-11-13,11.443
2024-11-14,11.375
2024-11-15,11.332
2024-11-18,11.358
2024-11-19,11.308
2024-11-20,11.381
2024-11-21,11.48
2024-11-22,11.735
2024-11-25,11.67
2024-11-26,11.725
2024-11-27,11.667
2024-11-28,11.743
2024-11-29,11.745
2024-12-02,11.933
2024-12-03,11.851
2024-12-04,11.681
2024-12-05,11.751
2024-12-06,11.631
2024-12-09,11.723
2024-12-10,11.828
2024-12-11,11.914
2024-12-12,11.684
2024-12-13,11.773
2024-12-16,11.823
2024-12-17,11.662
2024-12-18,11.766
2024-12-19,11.632
2024-12-20,11.568
2024-12-23,11.242
2024-12-24,11.443
2024-12-27,11.496
2024-12-30,11.515
2024-12-31,11.391
2025-01-02,11.557
2025-01-03,11.633
2025-01-06,11.345
2025-01-07,11.375
2025-01-08,11.35
2025-01-09,11.346
2025-01-10,11.348
2025-01-13,11.435
2025-01-14,11.245
2025-01-15,11.161
2025-01-16,11.237
2025-01-17,11.407
2025-01-20,11.303
2025-01-21,11.381
2025-01-22,11.32
2025-01-23,11.36
2025-01-24,11.36
2025-01-27,11.483
2025-01-28,11.622
2025-01-29,11.585
2025-01-30,11.719
2025-01-31,11.624
2025-02-03,11.707
2025-02-04,11.511
2025-02-05,11.635
2025-02-06,11.736
2025-02-07,11.78
2025-02-10,11.708
2025-02-11,11.871
2025-02-12,11.75
2025-02-13,11.951
2025-02-14,11.754
2025-02-17,11.763
2025-02-18,11.804
2025-02-19,11.785
2025-02-20,11.8
2025-02-21,11.846
2025-02-24,11.814
2025-02-25,12.021
2025-02-26,11.732
2025-02-27,11.958
2025-02-28,11.94
2025-03-03,11.998
2025-03-04,11.965
2025-03-05,11.536
2025-03-06,11.5
2025-03-07,11.579
2025-03-10,11.564
2025-03-11,11.195
2025-03-12,10.934
2025-03-13,10.846
2025-03-14,10.83
2025-03-17,10.947
2025-03-18,10.87
2025-03-19,10.824
2025-03-20,10.874
2025-03-21,10.876
2025-03-24,10.943
2025-03-25,10.798
2025-03-26,10.939
2025-03-27,11.085
2025-03-28,11.037
2025-03-31,11.197
2025-04-01,11.248
2025-04-02,11.197
2025-04-03,11.075
2025-04-04,10.9
2025-04-07,10.608
2025-04-08,10.639
2025-04-09,10.268
2025-04-10,10.581
2025-04-11,10.505
2025-04-14,10.747
2025-04-15,10.81
2025-04-16,10.638
2025-04-17,10.662
2025-04-22,10.701
2025-04-23,10.669
2025-04-24,10.586
2025-04-25,10.485
2025-04-28,10.541
2025-04-29,10.524
2025-04-30,10.686
2025-05-02,10.633
2025-05-05,10.724
2025-05-06,10.688
2025-05-07,10.623
2025-05-08,10.704
2025-05-09,10.625
2025-05-12,10.649
2025-05-13,10.539
2025-05-14,10.447
2025-05-15,10.573
2025-05-16,10.759
2025-05-19,10.674
2025-05-20,10.703
2025-05-21,10.578
2025-05-22,10.491
2025-05-23,10.37
2025-05-26,10.509
2025-05-27,10.564
2025-05-28,10.57
2025-05-29,10.538
2025-05-30,10.64
2025-06-02,10.549
2025-06-03,10.56
2025-06-04,10.602
2025-06-05,10.445
2025-06-06,10.455
2025-06-09,10.487
2025-06-10,10.523
2025-06-11,10.441
2025-06-12,10.28
2025-06-13,10.326
2025-06-16,10.201
2025-06-17,10.235
2025-06-18,10.205
2025-06-19,10.197
2025-06-20,10.289
2025-06-23,10.253
2025-06-24,10.28
2025-06-25,10.216
2025-06-26,10.121
2025-06-27,10.136
2025-06-30,10.155
2025-07-01,10.391
2025-07-02,10.297
2025-07-03,10.335
2025-07-04,10.311
2025-07-07,10.34
2025-07-08,10.294
2025-07-09,10.181
2025-07-10,10.221
2025-07-11,10.135
2025-07-14,10.167
2025-07-15,10.157
2025-07-16,10.072
2025-07-17,10.256
2025-07-18,10.23
2025-07-21,10.194
2025-07-22,10.226
2025-07-23,10.183
2025-07-24,10.224
2025-07-25,10.199
2025-07-28,10.324
2025-07-29,10.466
2025-07-30,10.366
2025-07-31,10.31
2025-08-01,10.222
2025-08-04,10.164
2025-08-05,10.159
2025-08-06,10.231
2025-08-07,10.219
2025-08-08,10.301
2025-08-11,10.281
2025-08-12,10.276
2025-08-13,10.238
2025-08-14,10.21
2025-08-15,10.092
2025-08-18,10.169
2025-08-19,10.236
2025-08-20,10.365
2025-08-21,10.186
2025-08-22,10.12
2025-08-25,9.975
2025-08-26,9.864
2025-08-27,9.866
2025-08-28,9.833
2025-08-29,9.799
