,OVH FP Equity_DX_SI_QTY,OVH FP Equity_DX_SHORT_INTEREST_VALUE,OVH FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,OVH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,OVH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,OVH FP Equity_DX_SI_MV,OVH FP Equity_DX_DSS,OVH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,OVH FP Equity_DX_SUPPLY_SI_QTY,OVH FP Equity_DX_BROKER_SI_QTY,OVH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,OVH FP Equity_DX_BROKER_SI_MV_NEW_x,OVH FP Equity_DX_SUPPLY_SI_QTY_NEW_x,OVH FP Equity_DX_SUPPLY_SI_QTY_INC_x,OVH FP Equity_DX_BROKER_SI_MV_INC_x,OVH FP Equity_DX_SUPPLY_SI_MV_NEW,OVH FP Equity_DX_BROKER_SI_QTY_ADD,OVH FP Equity_DX_BROKER_SI_QTY_NEW,OVH FP Equity_DX_SUPPLY_SI_MV_DEC,OVH FP Equity_DX_BROKER_SI_QTY_INC,OVH FP Equity_DX_SUPPLY_SI_QTY_DEC,OVH FP Equity_DX_BROKER_SI_MV_NEW_y,OVH FP Equity_DX_SUPPLY_SI_QTY_NEW_y,OVH FP Equity_DX_BROKER_SI_MV_INC_y,OVH FP Equity_DX_SUPPLY_SI_QTY_INC_y,OVH FP Equity_DX_BROKER_SI_MV_ADD,OVH FP Equity_DX_SUPPLY_SI_QTY_ADD,OVH FP Equity_DX_BROKER_SI_QTY_DEC,OVH FP Equity_DX_SUPPLY_SI_MV,OVH FP Equity_DX_BROKER_SI_MV_DEC,OVH FP Equity_DX_SUPPLY_SI_MV_RMV,OVH FP Equity_DX_BROKER_SI_MV_RMV,OVH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,OVH FP Equity_DX_UTILIZATION_QUANTITY,OVH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,OVH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,OVH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,OVH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,OVH FP Equity_DX_ACTIVE_UTILIZATION_MV,OVH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,OVH FP Equity_DX_BROKER_SI_CON_RATIO,OVH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,OVH FP Equity_DX_DEMAND_SUPPLY_RATIO,OVH FP Equity_PX_LAST
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.704
2021-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,386078.0,8451247.42,,7.61,0.0,,0.0,,0.0,21.89
2021-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1093717.0,22645410.49,,22.83,0.0,,0.0,,0.0,20.705
2021-10-20,192802.0,4199227.56,0.34,0.98,0.1,4.17,0.0,3375900.0,167399.0,155000.0,3645950.22,,,,,,155000.0,,,,,,,,,3.38,167399.0,,3.62,,,,6.39,6.39,2453336.0,53433658.08,,51.61,6.55,7.18,0.8668,92.82,0.0736,21.78
2021-10-21,4565.0,99927.85,0.01,0.02,0.0,0.09,0.0,99927.85,0.0,4565.0,0.0,,,,,,4565.0,,3.62,,167399.0,,,,,0.09,,155000.0,0.0,3.38,,,0.0,0.0,3081228.0,67448080.92,,67.26,0.0,8.21,1.0,100.0,0.0015,21.89
2021-10-22,66775.0,1459033.75,0.12,0.31,0.04,1.46,0.0,1240533.75,10000.0,56775.0,218500.0,,,,,,52210.0,,,,,,,,,1.14,10000.0,,0.22,,,,0.32,0.32,3071228.0,67106331.8,,67.19,0.32,14.99,0.6379,78.15,0.0217,21.85
2021-10-25,26764.0,568735.0,0.05,0.12,0.01,0.58,0.0,356235.0,10000.0,16764.0,212500.0,,,,,,,,,,,,,,,,,40011.0,0.21,0.87,,,0.32,0.32,3071228.0,65263595.0,,66.72,0.32,36.63,0.3765,46.09,0.0087,21.25
2021-10-26,18820.0,409335.0,0.03,0.08,0.01,0.41,0.0,191835.0,10000.0,8820.0,217500.0,,,,,,,,,,,,,,,,,7944.0,0.22,0.18,,,0.32,0.32,3071107.0,66796577.25,,65.72,0.33,46.35,0.5027,53.65,0.0061,21.75
2021-10-27,24472.0,516971.0,0.04,0.1,0.01,0.52,0.0,305721.0,10000.0,14472.0,211250.0,,,,0.12,,,,,5652.0,,,,0.12,,,,,0.21,,,,0.33,0.33,3035979.0,64135056.38,,65.51,0.32,40.36,0.5186,59.64,0.008,21.125
