,MLBON FP Equity_DX_SI_QTY,MLBON FP Equity_DX_SHORT_INTEREST_VALUE,MLBON FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLBON FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLBON FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLBON FP Equity_DX_SI_MV,MLBON FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLBON FP Equity_DX_SUPPLY_SI_QTY,MLBON FP Equity_DX_BROKER_SI_QTY,MLBON FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLBON FP Equity_DX_SUPPLY_SI_MV,MLBON FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLBON FP Equity_DX_UTILIZATION_QUANTITY,MLBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLBON FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLBON FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLBON FP Equity_DX_ACTIVE_UTILIZATION_MV,MLBON FP Equity_DX_BROKER_SI_CON_RATIO,MLBON FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,6520.0,0.01,0.0,0.0,0.0
2024-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1620.0,0.0,0.0,0.0,0.0
2024-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3260.0,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1580.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1580.0,0.0,0.0,0.0,0.0
2024-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,8350.0,0.01,0.0,0.0,0.0
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,5010.0,0.01,0.0,0.0,0.0
2025-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1820.0,0.0,0.0,0.0,0.0
2025-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1820.0,0.0,0.0,0.0,0.0
