,JBEM FP Equity_DX_SI_QTY,JBEM FP Equity_DX_SHORT_INTEREST_VALUE,JBEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JBEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JBEM FP Equity_DX_SI_MV,JBEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JBEM FP Equity_DX_SUPPLY_SI_QTY,JBEM FP Equity_DX_BROKER_SI_QTY,JBEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JBEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,JBEM FP Equity_DX_BROKER_SI_MV_INC_x,JBEM FP Equity_DX_BROKER_SI_QTY_ADD,JBEM FP Equity_DX_SUPPLY_SI_MV_DEC,JBEM FP Equity_DX_BROKER_SI_QTY_INC,JBEM FP Equity_DX_SUPPLY_SI_QTY_DEC,JBEM FP Equity_DX_BROKER_SI_MV_INC_y,JBEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,JBEM FP Equity_DX_BROKER_SI_MV_ADD,JBEM FP Equity_DX_SUPPLY_SI_QTY_ADD,JBEM FP Equity_DX_BROKER_SI_QTY_DEC,JBEM FP Equity_DX_SUPPLY_SI_MV,JBEM FP Equity_DX_BROKER_SI_MV_DEC,JBEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JBEM FP Equity_DX_UTILIZATION_QUANTITY,JBEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JBEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JBEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JBEM FP Equity_DX_ACTIVE_UTILIZATION_MV,JBEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JBEM FP Equity_DX_BROKER_SI_CON_RATIO,JBEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JBEM FP Equity_DX_DEMAND_SUPPLY_RATIO,JBEM FP Equity_PX_LAST
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.72
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.54
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.61
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.01
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.97
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.54
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.02
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.33
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.33
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.79
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.25
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.32
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.77
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.29
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.97
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.25
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.09
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.19
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.47
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.23
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.61
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.1
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.03
