,GJAJ FP Equity_DX_SI_QTY,GJAJ FP Equity_DX_SHORT_INTEREST_VALUE,GJAJ FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GJAJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GJAJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GJAJ FP Equity_DX_SI_MV,GJAJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GJAJ FP Equity_DX_SUPPLY_SI_QTY,GJAJ FP Equity_DX_BROKER_SI_QTY,GJAJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GJAJ FP Equity_DX_SUPPLY_SI_MV,GJAJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GJAJ FP Equity_DX_UTILIZATION_QUANTITY,GJAJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GJAJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GJAJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GJAJ FP Equity_DX_ACTIVE_UTILIZATION_MV,GJAJ FP Equity_DX_BROKER_SI_CON_RATIO,GJAJ FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11220.0,0.01,0.0,0.0,0.0
2011-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,10800.0,0.01,0.0,0.0,0.0
2011-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11580.0,0.01,0.0,0.0,0.0
2011-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11580.0,0.01,0.0,0.0,0.0
2011-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11340.0,0.01,0.0,0.0,0.0
2011-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11640.0,0.01,0.0,0.0,0.0
2011-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11400.0,0.01,0.0,0.0,0.0
2011-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11640.0,0.01,0.0,0.0,0.0
2011-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11640.0,0.01,0.0,0.0,0.0
2011-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11640.0,0.01,0.0,0.0,0.0
2011-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11640.0,0.01,0.0,0.0,0.0
2011-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11640.0,0.01,0.0,0.0,0.0
2011-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,11640.0,0.01,0.0,0.0,0.0
