,ALKLA FP Equity_DX_SI_QTY,ALKLA FP Equity_DX_SHORT_INTEREST_VALUE,ALKLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALKLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALKLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALKLA FP Equity_DX_SI_MV,ALKLA FP Equity_DX_DSS,ALKLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALKLA FP Equity_DX_SUPPLY_SI_QTY,ALKLA FP Equity_DX_BROKER_SI_QTY,ALKLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALKLA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALKLA FP Equity_DX_BROKER_SI_MV_INC_x,ALKLA FP Equity_DX_BROKER_SI_QTY_ADD,ALKLA FP Equity_DX_SUPPLY_SI_MV_DEC,ALKLA FP Equity_DX_BROKER_SI_QTY_INC,ALKLA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALKLA FP Equity_DX_BROKER_SI_MV_INC_y,ALKLA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALKLA FP Equity_DX_BROKER_SI_MV_ADD,ALKLA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALKLA FP Equity_DX_BROKER_SI_QTY_DEC,ALKLA FP Equity_DX_SUPPLY_SI_MV,ALKLA FP Equity_DX_BROKER_SI_MV_DEC,ALKLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALKLA FP Equity_DX_UTILIZATION_QUANTITY,ALKLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALKLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALKLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALKLA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALKLA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALKLA FP Equity_DX_BROKER_SI_CON_RATIO,ALKLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALKLA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALKLA FP Equity_PX_LAST
2011-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2011-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2011-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2011-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.48
2011-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39
2011-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
2011-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98
2011-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45
2011-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3
2011-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.37
2011-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2011-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.28
2011-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.27
2011-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2011-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2011-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2011-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7
2011-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2011-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.49
2011-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
