,MLSJA FP Equity_PX_LAST
2025-07-25,10.074
2025-07-28,10.074
2025-07-29,10.074
2025-07-30,10.074
2025-07-31,10.074
2025-08-01,10.074
2025-08-04,10.074
2025-08-05,10.074
2025-08-06,10.074
2025-08-07,10.074
2025-08-08,10.074
2025-08-11,10.074
2025-08-12,10.074
2025-08-13,10.074
2025-08-14,10.074
2025-08-15,10.074
2025-08-18,10.074
2025-08-19,10.074
2025-08-20,10.074
2025-08-21,10.074
2025-08-22,10.074
2025-08-25,10.074
2025-08-26,10.074
2025-08-27,10.074
2025-08-28,10.074
2025-08-29,10.074
