,ALBOA FP Equity_DX_SI_QTY,ALBOA FP Equity_DX_SHORT_INTEREST_VALUE,ALBOA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBOA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBOA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBOA FP Equity_DX_SI_MV,ALBOA FP Equity_DX_DSS,ALBOA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBOA FP Equity_DX_SUPPLY_SI_QTY,ALBOA FP Equity_DX_BROKER_SI_QTY,ALBOA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBOA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBOA FP Equity_DX_BROKER_SI_MV_INC_x,ALBOA FP Equity_DX_BROKER_SI_QTY_ADD,ALBOA FP Equity_DX_SUPPLY_SI_MV_DEC,ALBOA FP Equity_DX_BROKER_SI_QTY_INC,ALBOA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBOA FP Equity_DX_BROKER_SI_MV_INC_y,ALBOA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBOA FP Equity_DX_BROKER_SI_MV_ADD,ALBOA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBOA FP Equity_DX_BROKER_SI_QTY_DEC,ALBOA FP Equity_DX_SUPPLY_SI_MV,ALBOA FP Equity_DX_BROKER_SI_MV_DEC,ALBOA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBOA FP Equity_DX_UTILIZATION_QUANTITY,ALBOA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBOA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBOA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBOA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBOA FP Equity_DX_BROKER_SI_CON_RATIO,ALBOA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBOA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBOA FP Equity_PX_LAST
2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.62
2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.68
2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.82
2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.56
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.44
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.22
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.58
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.88
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.36
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.18
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
