,ALAFY FP Equity_DX_SI_QTY,ALAFY FP Equity_DX_SHORT_INTEREST_VALUE,ALAFY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAFY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAFY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAFY FP Equity_DX_SI_MV,ALAFY FP Equity_DX_DSS,ALAFY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAFY FP Equity_DX_SUPPLY_SI_QTY,ALAFY FP Equity_DX_BROKER_SI_QTY,ALAFY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAFY FP Equity_DX_BROKER_SI_MV_NEW_x,ALAFY FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALAFY FP Equity_DX_BROKER_SI_MV_INC_x,ALAFY FP Equity_DX_BROKER_SI_QTY_ADD,ALAFY FP Equity_DX_BROKER_SI_QTY_NEW,ALAFY FP Equity_DX_SUPPLY_SI_MV_DEC,ALAFY FP Equity_DX_BROKER_SI_QTY_INC,ALAFY FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAFY FP Equity_DX_BROKER_SI_MV_NEW_y,ALAFY FP Equity_DX_BROKER_SI_MV_INC_y,ALAFY FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALAFY FP Equity_DX_BROKER_SI_MV_ADD,ALAFY FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAFY FP Equity_DX_BROKER_SI_QTY_DEC,ALAFY FP Equity_DX_SUPPLY_SI_MV,ALAFY FP Equity_DX_BROKER_SI_MV_DEC,ALAFY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAFY FP Equity_DX_UTILIZATION_QUANTITY,ALAFY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAFY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAFY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAFY FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAFY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALAFY FP Equity_DX_BROKER_SI_CON_RATIO,ALAFY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAFY FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-11-09,6500.0,54145.0,0.03,0.34,0.03,0.05,0.0,54145.0,0.0,6500.0,0.0,,,,6500.0,,,,,,,,0.05,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-10,6500.0,55185.0,0.03,0.34,0.03,0.05,0.0,55185.0,0.0,6500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-11,6500.0,56550.0,0.03,0.34,0.03,0.06,0.0,56550.0,0.0,6500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-12,6500.0,58435.0,0.03,0.33,0.03,0.06,0.0,58435.0,0.0,6500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-15,4300.0,38700.0,0.02,0.29,0.02,0.04,0.0,38700.0,0.0,4300.0,0.0,,,,,,,,,,,,,,2200.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-16,3300.0,29403.0,0.01,0.24,0.01,0.03,0.0,29403.0,0.0,3300.0,0.0,,,,,,,,,,,,,,1000.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-17,3300.0,30360.0,0.01,0.26,0.01,0.03,0.0,30360.0,0.0,3300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-18,3300.0,30063.0,0.01,0.28,0.01,0.03,0.0,30063.0,0.0,3300.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-11-19,1500.0,13545.0,0.01,0.13,0.01,0.01,0.0,13545.0,0.0,1500.0,0.0,,,,,,,,,,,,,,1800.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.8773
2021-11-22,1500.0,14025.0,0.01,0.13,0.01,0.01,0.0,14025.0,0.0,1500.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,1.8773
2021-11-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,1500.0,0.0,0.01,0.0,0.0,799.0,7366.78,0.01,0.0,,0.0,,0.0
2021-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,17527.77,0.02,0.0,,0.0,,0.0
2021-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1799.0,15651.3,0.02,0.0,,0.0,,0.0
2021-11-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,799.0,7167.03,0.01,0.0,,0.0,,0.0
2021-11-29,2200.0,20438.0,0.01,0.23,0.01,0.02,0.0,10219.0,1100.0,1100.0,10219.0,,,,1100.0,,,,,,,,0.01,1100.0,,0.01,,100.0,36.68,0.0,0.0,0.0,100.0,,1.0,100.0,0.7336
2021-11-30,2200.0,20086.0,0.01,0.24,0.01,0.02,0.0,10043.0,1100.0,1100.0,10043.0,,,,,,,,,,,,,,,0.01,,100.0,36.68,0.0,0.0,0.0,100.0,,1.0,100.0,0.7336
2021-12-01,2200.0,20350.0,0.01,0.25,0.01,0.02,0.0,10175.0,1100.0,1100.0,10175.0,,,,,,,,,,,,,,,0.01,,100.0,36.68,0.0,0.0,0.0,100.0,,1.0,100.0,0.7336
2021-12-02,2200.0,20064.0,0.01,0.27,0.01,0.02,0.0,10032.0,1100.0,1100.0,10032.0,,,,,,,,,,,,,,,0.01,,100.0,36.68,0.0,0.0,0.0,100.0,,1.0,100.0,0.7336
2021-12-03,2200.0,20086.0,0.01,0.27,0.01,0.02,0.0,10043.0,1100.0,1100.0,10043.0,,,,,,,,,,,,,,,0.01,,100.0,36.68,0.0,0.0,0.0,100.0,,1.0,100.0,0.7336
2021-12-06,2200.0,19954.0,0.01,0.27,0.01,0.02,0.0,9977.0,1100.0,1100.0,9977.0,,,,,,,,,,,,,,,0.01,,100.0,36.68,0.0,0.0,0.0,100.0,,1.0,100.0,0.7336
2021-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.01,,1100.0,,,,,,1100.0,0.0,0.01,0.0,0.0,1899.0,17223.93,0.02,0.0,,0.0,,0.0
2021-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,17261.91,0.02,0.0,,0.0,,0.0
2021-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,16958.07,0.02,0.0,,0.0,,0.0
2021-12-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,16996.05,0.02,0.0,,0.0,,0.0
2021-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,16996.05,0.02,0.0,,0.0,,0.0
2021-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1799.0,16155.02,0.02,0.0,,0.0,,0.0
2021-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,17053.02,0.02,0.0,,0.0,,0.0
2021-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,16977.06,0.02,0.0,,0.0,,0.0
2021-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,1899.0,16806.15,0.02,0.0,,0.0,,0.0
