,JBOG FP Equity_DX_SI_QTY,JBOG FP Equity_DX_SHORT_INTEREST_VALUE,JBOG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,JBOG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JBOG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JBOG FP Equity_DX_SI_MV,JBOG FP Equity_DX_DSS,JBOG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JBOG FP Equity_DX_SUPPLY_SI_QTY,JBOG FP Equity_DX_BROKER_SI_QTY,JBOG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JBOG FP Equity_DX_SUPPLY_SI_QTY_INC_x,JBOG FP Equity_DX_BROKER_SI_MV_INC_x,JBOG FP Equity_DX_BROKER_SI_QTY_ADD,JBOG FP Equity_DX_SUPPLY_SI_MV_DEC,JBOG FP Equity_DX_BROKER_SI_QTY_INC,JBOG FP Equity_DX_SUPPLY_SI_QTY_DEC,JBOG FP Equity_DX_BROKER_SI_MV_INC_y,JBOG FP Equity_DX_SUPPLY_SI_QTY_INC_y,JBOG FP Equity_DX_BROKER_SI_MV_ADD,JBOG FP Equity_DX_SUPPLY_SI_QTY_ADD,JBOG FP Equity_DX_BROKER_SI_QTY_DEC,JBOG FP Equity_DX_SUPPLY_SI_MV,JBOG FP Equity_DX_BROKER_SI_MV_DEC,JBOG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JBOG FP Equity_DX_UTILIZATION_QUANTITY,JBOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JBOG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JBOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JBOG FP Equity_DX_ACTIVE_UTILIZATION_MV,JBOG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JBOG FP Equity_DX_BROKER_SI_CON_RATIO,JBOG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JBOG FP Equity_DX_DEMAND_SUPPLY_RATIO,JBOG FP Equity_PX_LAST
1989-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.435
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.588
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.588
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.637
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.704
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.399
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.399
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.399
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.637
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.13
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.758
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.386
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.472
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.032
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.728
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.575
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.728
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.88
1989-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.709
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.795
1989-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.777
1989-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.081
