,FR FP Equity_DX_SI_QTY,FR FP Equity_DX_SHORT_INTEREST_VALUE,FR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FR FP Equity_DX_SI_MV,FR FP Equity_DX_DSS,FR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FR FP Equity_DX_SUPPLY_SI_QTY,FR FP Equity_DX_BROKER_SI_QTY,FR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FR FP Equity_DX_BROKER_SI_MV_NEW_x,FR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,FR FP Equity_DX_SUPPLY_SI_QTY_INC_x,FR FP Equity_DX_BROKER_SI_MV_INC_x,FR FP Equity_DX_SUPPLY_SI_MV_NEW,FR FP Equity_DX_BROKER_SI_QTY_ADD,FR FP Equity_DX_BROKER_SI_QTY_NEW,FR FP Equity_DX_SUPPLY_SI_MV_DEC,FR FP Equity_DX_BROKER_SI_QTY_INC,FR FP Equity_DX_SUPPLY_SI_QTY_DEC,FR FP Equity_DX_BROKER_SI_MV_NEW_y,FR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,FR FP Equity_DX_BROKER_SI_MV_INC_y,FR FP Equity_DX_SUPPLY_SI_QTY_INC_y,FR FP Equity_DX_BROKER_SI_MV_ADD,FR FP Equity_DX_SUPPLY_SI_QTY_ADD,FR FP Equity_DX_BROKER_SI_QTY_DEC,FR FP Equity_DX_SUPPLY_SI_MV,FR FP Equity_DX_BROKER_SI_MV_DEC,FR FP Equity_DX_SUPPLY_SI_MV_RMV,FR FP Equity_DX_BROKER_SI_MV_RMV,FR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FR FP Equity_DX_UTILIZATION_QUANTITY,FR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,FR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FR FP Equity_DX_ACTIVE_UTILIZATION_MV,FR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,FR FP Equity_DX_BROKER_SI_CON_RATIO,FR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,FR FP Equity_DX_DEMAND_SUPPLY_RATIO,FR FP Equity_PX_LAST
1989-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6306
1989-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.3929
1989-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.1551
1989-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7286
1989-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7286
1989-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.9664
1989-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.4782
1989-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3257
1989-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.3929
1989-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.9592
1989-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.7886
1989-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.9592
1989-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.2459
1989-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.1425
1989-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.5508
1989-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6543
1989-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0627
1989-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.7633
1989-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2206
1989-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6417
1989-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.8613
1989-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0137
1989-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.3549
1989-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1843
1989-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.7759
1989-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.6725
1989-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.4347
1989-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.4166
