,FCMC FP Equity_DX_SI_QTY,FCMC FP Equity_DX_SHORT_INTEREST_VALUE,FCMC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,FCMC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,FCMC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,FCMC FP Equity_DX_SI_MV,FCMC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,FCMC FP Equity_DX_SUPPLY_SI_QTY,FCMC FP Equity_DX_BROKER_SI_QTY,FCMC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,FCMC FP Equity_DX_SUPPLY_SI_MV,FCMC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,FCMC FP Equity_DX_UTILIZATION_QUANTITY,FCMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,FCMC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,FCMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,FCMC FP Equity_DX_ACTIVE_UTILIZATION_MV,FCMC FP Equity_DX_BROKER_SI_CON_RATIO,FCMC FP Equity_DX_DEMAND_SUPPLY_RATIO,FCMC FP Equity_PX_LAST
1991-12-18,,,,,,,,,,,,,,,,,,,,522.595
1992-03-16,,,,,,,,,,,,,,,,,,,,506.131
1992-03-19,,,,,,,,,,,,,,,,,,,,518.327
1992-04-06,,,,,,,,,,,,,,,,,,,,609.644
1992-04-08,,,,,,,,,,,,,,,,,,,,586.929
1992-04-10,,,,,,,,,,,,,,,,,,,,609.339
1992-04-13,,,,,,,,,,,,,,,,,,,,608.119
1992-04-21,,,,,,,,,,,,,,,,,,,,548.969
1992-04-22,,,,,,,,,,,,,,,,,,,,605.223
1992-04-23,,,,,,,,,,,,,,,,,,,,548.816
1992-04-24,,,,,,,,,,,,,,,,,,,,548.816
1992-04-28,,,,,,,,,,,,,,,,,,,,548.816
1992-05-05,,,,,,,,,,,,,,,,,,,,521.376
1992-05-07,,,,,,,,,,,,,,,,,,,,512.229
1992-05-13,,,,,,,,,,,,,,,,,,,,515.278
1992-05-15,,,,,,,,,,,,,,,,,,,,513.753
1992-05-18,,,,,,,,,,,,,,,,,,,,510.704
1992-05-20,,,,,,,,,,,,,,,,,,,,506.741
1992-05-21,,,,,,,,,,,,,,,,,,,,506.741
1992-05-22,,,,,,,,,,,,,,,,,,,,506.893
1992-05-25,,,,,,,,,,,,,,,,,,,,506.893
1992-05-27,,,,,,,,,,,,,,,,,,,,504.606
1992-06-01,,,,,,,,,,,,,,,,,,,,503.082
1992-06-03,,,,,,,,,,,,,,,,,,,,480.214
1992-06-05,,,,,,,,,,,,,,,,,,,,457.5
1992-06-12,,,,,,,,,,,,,,,,,,,,473.354
1992-06-15,,,,,,,,,,,,,,,,,,,,472.592
1992-06-17,,,,,,,,,,,,,,,,,,,,472.592
1992-06-18,,,,,,,,,,,,,,,,,,,,510.704
1992-06-19,,,,,,,,,,,,,,,,,,,,461.006
1992-06-22,,,,,,,,,,,,,,,,,,,,457.5
1992-06-23,,,,,,,,,,,,,,,,,,,,434.48
1992-06-24,,,,,,,,,,,,,,,,,,,,457.5
1992-06-25,,,,,,,,,,,,,,,,,,,,454.298
