,MDM FP Equity_DX_SI_QTY,MDM FP Equity_DX_SHORT_INTEREST_VALUE,MDM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MDM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MDM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MDM FP Equity_DX_SI_MV,MDM FP Equity_DX_DSS,MDM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MDM FP Equity_DX_SUPPLY_SI_QTY,MDM FP Equity_DX_BROKER_SI_QTY,MDM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MDM FP Equity_DX_BROKER_SI_MV_NEW_x,MDM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MDM FP Equity_DX_SUPPLY_SI_QTY_INC_x,MDM FP Equity_DX_BROKER_SI_MV_INC_x,MDM FP Equity_DX_SUPPLY_SI_MV_NEW,MDM FP Equity_DX_BROKER_SI_QTY_ADD,MDM FP Equity_DX_BROKER_SI_QTY_NEW,MDM FP Equity_DX_SUPPLY_SI_MV_DEC,MDM FP Equity_DX_BROKER_SI_QTY_INC,MDM FP Equity_DX_SUPPLY_SI_QTY_DEC,MDM FP Equity_DX_BROKER_SI_MV_NEW_y,MDM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MDM FP Equity_DX_BROKER_SI_MV_INC_y,MDM FP Equity_DX_SUPPLY_SI_QTY_INC_y,MDM FP Equity_DX_BROKER_SI_MV_ADD,MDM FP Equity_DX_SUPPLY_SI_QTY_ADD,MDM FP Equity_DX_BROKER_SI_QTY_DEC,MDM FP Equity_DX_SUPPLY_SI_MV,MDM FP Equity_DX_BROKER_SI_MV_DEC,MDM FP Equity_DX_SUPPLY_SI_MV_RMV,MDM FP Equity_DX_BROKER_SI_MV_RMV,MDM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MDM FP Equity_DX_UTILIZATION_QUANTITY,MDM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MDM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MDM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MDM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MDM FP Equity_DX_ACTIVE_UTILIZATION_MV,MDM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MDM FP Equity_DX_BROKER_SI_CON_RATIO,MDM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MDM FP Equity_DX_DEMAND_SUPPLY_RATIO
2016-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15000.0,269954.7,,0.27,0.0,0.0,0.0,0.0,0.0
2016-05-31,78620.0,1404020.56,0.17,0.75,0.17,1.43,0.0,0.0,78620.0,0.0,1404020.56,,,,,,,,,,,,,,,,78620.0,,1.43,,,,4.37,4.37,1720282.0,30721334.29,,30.73,4.45,,1.0,100.0,0.0437
2016-06-01,248643.0,4432956.24,0.55,2.19,0.55,4.46,0.0,0.0,248643.0,0.0,4432956.24,,,170023.0,,,,,,,,,,,170023.0,,,,4.46,,,,10.45,10.45,2130158.0,37977731.94,,37.68,10.58,31.62,0.5399,66.29,0.1045
2016-06-02,164833.0,2955067.73,0.36,1.41,0.36,2.97,0.0,0.0,164833.0,0.0,2955067.73,,,,,,,,1.49,,83810.0,,,,,,,,2.97,,,,6.44,6.44,2396406.0,42961919.33,,42.49,6.54,,1.0,100.0,0.0644
2016-06-03,240181.0,4377248.21,0.53,2.01,0.53,4.29,0.0,0.0,240181.0,0.0,4377248.21,,,,,,,,,,,,,,,,75348.0,,4.29,,,,8.11,8.11,2721251.0,49594227.14,,47.88,8.23,31.77,0.5664,68.23,0.0811
2016-06-06,240181.0,4412932.3,0.53,2.0,0.53,4.41,0.0,0.0,240181.0,0.0,4412932.3,,,,,,,,,,,,,,,,,,4.41,,,,8.18,8.18,2695404.0,49523631.64,,48.72,8.31,31.41,0.5691,68.59,0.0818
2016-06-07,390181.0,7149613.22,0.86,3.17,0.86,7.24,0.0,0.0,390181.0,0.0,7149613.22,,,,,,,,,,,,,,,,150000.0,,7.24,,,,13.15,13.15,2577006.0,47220639.05,,46.4,13.5,38.45,0.3636,42.25,0.1315
2016-06-08,390181.0,7188259.78,0.86,3.12,0.86,7.2,0.0,0.0,390181.0,0.0,7188259.78,,,,,,,,,,,,,,,,,,7.2,,,,13.15,13.15,2577006.0,47475885.75,,46.16,13.49,38.42,0.3633,42.22,0.1315
2016-06-09,225348.0,4240841.21,0.5,1.78,0.5,4.21,0.0,0.0,225348.0,0.0,4240841.21,,,,,,,,3.04,,164833.0,,,,,,,,4.21,,,,7.58,7.58,2747536.0,51706089.62,,49.96,7.77,33.29,0.5559,66.71,0.0758
2016-06-10,188774.0,3599296.42,0.42,1.47,0.42,3.61,0.0,0.0,188774.0,0.0,3599296.42,,,,,,,,0.79,,43205.0,,,,,,6631.0,,3.61,,,,6.34,6.34,2786627.0,53131769.11,,51.69,6.52,20.48,0.6743,79.52,0.0634
