,SPEA FP Equity_PX_LAST
2025-06-04,5.0244
2025-06-05,5.0239
2025-06-06,5.0589
2025-06-09,5.0482
2025-06-10,5.0626
2025-06-11,5.0659
2025-06-12,5.0055
2025-06-13,4.9933
2025-06-16,5.0125
2025-06-17,5.0177
2025-06-18,5.0203
2025-06-19,5.0052
2025-06-20,5.0045
2025-06-23,4.9856
2025-06-24,5.0241
2025-06-25,5.0407
2025-06-26,5.0328
2025-06-27,5.0637
2025-06-30,5.0675
2025-07-01,5.0562
2025-07-02,5.0712
2025-07-03,5.1257
2025-07-04,5.0895
2025-07-07,5.1289
2025-07-08,5.111
2025-07-09,5.1237
2025-07-10,5.1623
2025-07-11,5.143
2025-07-14,5.1495
2025-07-15,5.1945
2025-07-16,5.1249
2025-07-17,5.2117
2025-07-18,5.1929
2025-07-21,5.1944
2025-07-22,5.1591
2025-07-23,5.1831
2025-07-24,5.205
2025-07-25,5.2245
2025-07-28,5.2884
2025-07-29,5.3144
2025-07-30,5.3337
2025-07-31,5.3639
2025-08-01,5.191
2025-08-04,5.2467
2025-08-05,5.2313
2025-08-06,5.2333
2025-08-07,5.2412
2025-08-08,5.2554
2025-08-11,5.2937
2025-08-12,5.2864
2025-08-13,5.2962
2025-08-14,5.325
2025-08-15,5.2971
2025-08-18,5.3133
2025-08-19,5.2984
2025-08-20,5.2597
2025-08-21,5.282
2025-08-22,5.3099
2025-08-25,5.3204
2025-08-26,5.3189
2025-08-27,5.3686
2025-08-28,5.3435
2025-08-29,5.3097
