,MLNOX FP Equity_PX_LAST
2024-12-19,9.49
2024-12-20,9.49
2024-12-23,9.49
2024-12-24,9.49
2024-12-27,9.49
2024-12-30,9.49
2024-12-31,9.49
2025-01-02,9.49
2025-01-03,9.49
2025-01-06,9.49
2025-01-07,9.49
2025-01-08,9.49
2025-01-09,9.49
2025-01-10,9.49
2025-01-13,9.49
2025-01-14,9.49
2025-01-15,9.49
2025-01-16,9.49
2025-01-17,9.49
2025-01-20,9.49
2025-01-21,9.49
2025-01-22,9.49
2025-01-23,9.49
2025-01-24,9.49
2025-01-27,9.49
2025-01-28,9.49
2025-01-29,9.49
2025-01-30,9.49
2025-01-31,9.49
2025-02-03,9.49
2025-02-04,9.49
2025-02-05,9.49
2025-02-06,9.49
2025-02-07,9.49
2025-02-10,9.49
2025-02-11,9.49
2025-02-12,9.49
2025-02-13,9.5
2025-02-14,9.5
2025-02-17,9.5
2025-02-18,9.5
2025-02-19,9.5
2025-02-20,9.5
2025-02-21,9.5
2025-02-24,9.5
2025-02-25,9.5
2025-02-26,9.5
2025-02-27,9.5
2025-02-28,9.5
2025-03-03,9.5
2025-03-04,9.5
2025-03-05,9.5
2025-03-06,9.5
2025-03-07,9.5
2025-03-10,9.5
2025-03-11,9.5
2025-03-12,9.5
2025-03-13,9.5
2025-03-14,9.5
2025-03-17,9.5
2025-03-18,9.5
2025-03-19,9.5
2025-03-20,9.5
2025-03-21,9.5
2025-03-24,9.5
2025-03-25,9.5
2025-03-26,9.5
2025-03-27,9.5
2025-03-28,9.5
2025-03-31,9.5
2025-04-01,9.5
2025-04-02,9.5
2025-04-03,9.5
2025-04-04,9.5
2025-04-07,9.5
2025-04-08,9.5
2025-04-09,9.5
2025-04-10,9.5
2025-04-11,9.5
2025-04-14,9.5
2025-04-15,9.5
2025-04-16,9.5
2025-04-17,9.5
2025-04-22,9.5
2025-04-23,9.5
2025-04-24,9.5
2025-04-25,9.5
2025-04-28,9.5
2025-04-29,9.5
2025-04-30,9.5
2025-05-02,9.5
2025-05-05,9.5
2025-05-06,9.5
2025-05-07,9.5
2025-05-08,9.5
2025-05-09,9.5
2025-05-12,9.5
2025-05-13,9.5
2025-05-14,9.5
2025-05-15,9.5
2025-05-16,9.5
2025-05-19,9.5
2025-05-20,9.5
2025-05-21,9.5
2025-05-22,9.5
2025-05-23,9.5
2025-05-26,9.5
2025-05-27,9.5
2025-05-28,9.5
2025-05-29,9.5
2025-05-30,9.5
2025-06-02,9.5
2025-06-03,9.5
2025-06-04,9.5
2025-06-05,9.5
2025-06-06,9.5
2025-06-09,9.5
2025-06-10,9.5
2025-06-11,9.5
2025-06-12,9.5
2025-06-13,9.5
2025-06-16,9.5
2025-06-17,9.5
2025-06-18,9.5
2025-06-19,9.5
2025-06-20,9.5
2025-06-23,9.5
2025-06-24,9.5
2025-06-25,9.5
2025-06-26,9.5
2025-06-27,9.5
2025-06-30,9.5
2025-07-01,9.5
2025-07-02,9.5
2025-07-03,9.5
2025-07-04,9.5
2025-07-07,9.5
2025-07-08,9.5
2025-07-09,9.5
2025-07-10,9.5
2025-07-11,9.5
2025-07-14,9.5
2025-07-15,9.5
2025-07-16,9.5
2025-07-17,9.5
2025-07-18,9.5
2025-07-21,9.5
2025-07-22,9.5
2025-07-23,9.5
2025-07-24,9.5
2025-07-25,9.5
2025-07-28,9.5
2025-07-29,9.5
2025-07-30,9.5
2025-07-31,9.5
2025-08-01,9.5
2025-08-04,9.5
2025-08-05,9.5
2025-08-06,9.5
2025-08-07,9.5
2025-08-08,9.5
2025-08-11,9.5
2025-08-12,9.5
2025-08-13,9.5
2025-08-14,9.5
2025-08-15,9.5
2025-08-18,9.5
2025-08-19,9.5
2025-08-20,9.5
2025-08-21,9.5
2025-08-22,9.5
2025-08-25,9.5
2025-08-26,9.5
2025-08-27,9.5
2025-08-28,9.5
2025-08-29,9.5
