,LAT FP Equity_DX_SI_QTY,LAT FP Equity_DX_SHORT_INTEREST_VALUE,LAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LAT FP Equity_DX_SI_MV,LAT FP Equity_DX_DSS,LAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LAT FP Equity_DX_SUPPLY_SI_QTY,LAT FP Equity_DX_BROKER_SI_QTY,LAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LAT FP Equity_DX_BROKER_SI_MV_NEW_x,LAT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,LAT FP Equity_DX_BROKER_SI_MV_INC_x,LAT FP Equity_DX_SUPPLY_SI_MV_NEW,LAT FP Equity_DX_BROKER_SI_QTY_ADD,LAT FP Equity_DX_BROKER_SI_QTY_NEW,LAT FP Equity_DX_SUPPLY_SI_MV_DEC,LAT FP Equity_DX_BROKER_SI_QTY_INC,LAT FP Equity_DX_SUPPLY_SI_QTY_DEC,LAT FP Equity_DX_BROKER_SI_MV_NEW_y,LAT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LAT FP Equity_DX_BROKER_SI_MV_INC_y,LAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,LAT FP Equity_DX_BROKER_SI_MV_ADD,LAT FP Equity_DX_SUPPLY_SI_QTY_ADD,LAT FP Equity_DX_BROKER_SI_QTY_DEC,LAT FP Equity_DX_SUPPLY_SI_MV,LAT FP Equity_DX_BROKER_SI_MV_DEC,LAT FP Equity_DX_SUPPLY_SI_MV_RMV,LAT FP Equity_DX_BROKER_SI_MV_RMV,LAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LAT FP Equity_DX_UTILIZATION_QUANTITY,LAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LAT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LAT FP Equity_DX_ACTIVE_UTILIZATION_MV,LAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LAT FP Equity_DX_BROKER_SI_CON_RATIO,LAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LAT FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,87668.0,3192582.59,1.16,3.6,1.05,3.3,1.0,2063372.38,41008.0,56660.0,1493377.6,0.39,,342.0,0.08,,,10000.0,0.0,2049.0,31.0,0.39,,0.08,342.0,,,,1.56,,,,6.75,6.75,566173.0,20618173.85,,21.69,6.71,15.71,0.4726,65.89,0.1444
2006-01-11,87677.0,3270264.36,1.16,3.81,1.05,3.33,1.0,2113100.21,41025.0,56653.0,1530191.44,,,63.0,,,,,0.0,,47.0,,,,63.0,,,7.0,1.6,0.0,,,6.77,6.77,565293.0,21084863.19,,22.14,6.72,15.93,0.4664,65.33,0.1446
2006-01-18,96321.0,3552898.9,1.28,4.47,1.15,3.66,1.0,2409395.21,43139.0,65320.0,1591226.27,,,2145.0,0.34,,,,0.0,8667.0,31.0,,,0.34,2145.0,,,,1.67,,,,7.12,7.12,563097.0,20770410.55,,21.89,7.08,13.89,0.4448,63.74,0.1589
2006-01-25,46915.0,1716857.59,0.62,2.3,0.56,1.83,0.0,607697.69,32447.0,16606.0,1187400.15,,,,0.06,,,,0.4,1600.0,10692.0,,,0.06,,,,50314.0,1.27,1.88,,,5.59,5.59,547729.0,20044179.71,,21.35,5.59,25.38,0.3191,45.52,0.0809
2006-02-01,51048.0,1652978.27,0.68,1.64,0.61,1.77,0.0,581981.24,35213.0,17973.0,1140227.31,,,2766.0,0.0,,,,,1367.0,,,,0.0,2766.0,,,,1.22,,,,6.02,6.02,549746.0,17801249.62,,19.13,5.98,22.7,0.3069,44.93,0.0873
2006-02-08,191421.0,6437329.0,2.54,4.43,2.29,6.88,1.0,5776414.96,121791.0,171768.0,4095730.02,,,107786.0,3.19,,65486.0,,0.73,88500.0,21208.0,,,3.19,107786.0,2.37,,191.0,4.36,0.0,,,25.04,25.04,364645.0,12262708.03,,13.07,25.03,34.71,0.4073,53.1,0.3935
2006-02-15,141481.0,4753904.62,1.88,3.13,1.69,5.09,1.0,2762238.3,119104.0,82207.0,4002014.8,1.94,,,0.12,,4003.0,54249.0,0.1,3411.0,2687.0,1.94,,0.12,,0.14,,50000.0,4.26,1.79,,3.63,24.22,24.22,372737.0,12524340.0,,13.36,24.2,33.82,0.2851,38.57,0.2877
2006-02-22,147477.0,4913850.79,1.96,3.27,1.76,5.27,1.0,2939374.2,119090.0,88218.0,3968011.89,,,,0.21,,,,0.0,6039.0,15.0,,,0.21,,,,29.0,4.23,0.0,,,24.15,24.15,374091.0,12464501.95,,13.31,24.11,32.38,0.2725,36.93,0.299
2006-03-01,138922.0,4514060.83,1.85,2.98,1.66,4.87,1.0,2644807.75,119861.0,81395.0,3894702.39,,,773.0,0.08,,,,0.0,2440.0,2.0,,,0.08,773.0,,,9263.0,4.19,0.34,,,21.68,21.68,433090.0,14072606.26,,15.06,21.78,34.53,0.2958,38.98,0.2512
2006-03-08,149348.0,4935540.88,1.98,3.12,1.79,5.29,1.0,2690046.25,130283.0,81400.0,4305495.03,,,10423.0,0.0,,,,0.0,4.0,1.0,,,0.0,10423.0,,,,4.59,,,,23.16,23.16,432313.0,14286756.32,,15.22,23.15,36.5,0.3064,39.01,0.2655
2006-03-15,146982.0,4706981.51,1.95,4.03,1.76,5.05,1.0,2531096.99,130280.0,79037.0,4172113.26,,,,0.0,,,,0.0,75.0,3.0,,,0.0,,,,2438.0,4.45,0.09,,,23.65,23.65,420693.0,13472358.32,,14.38,23.62,37.0,0.3119,39.55,0.2668
2006-03-22,143807.0,4602605.19,1.91,5.69,1.72,4.94,1.0,2427131.95,127158.0,75835.0,4069746.74,,,26.0,,,,,0.11,,3148.0,,,,26.0,,,3202.0,4.34,0.11,,,23.11,23.11,423030.0,13539257.97,,14.45,23.08,35.63,0.3098,40.43,0.2614
2006-03-29,146915.0,4524198.87,1.95,5.52,1.76,4.88,1.0,2432193.79,128897.0,78981.0,3969340.51,,,1777.0,0.09,,,,0.0,3146.0,38.0,,,0.09,1777.0,,,,4.23,,,,23.74,23.74,414102.0,12752134.23,,13.63,23.68,34.72,0.299,39.4,0.2706
2006-04-05,126446.0,3917598.61,1.68,4.68,1.51,4.23,1.0,2553599.12,108479.0,82421.0,3360938.1,,,,0.12,,,,0.65,3440.0,20418.0,,,0.12,,,,,3.58,,,,20.2,20.2,428480.0,13275332.17,,14.17,20.17,26.9,0.2727,40.35,0.2355
2006-04-12,123782.0,3532996.71,1.64,4.26,1.48,3.86,1.0,2275746.28,105785.0,79733.0,3019324.75,,,24.0,0.0,,,,0.36,30.0,2718.0,,,0.0,24.0,,,2718.0,3.22,0.22,,,19.34,19.34,441304.0,12595737.5,,13.51,19.24,27.14,0.2639,38.55,0.2263
2006-04-19,95645.0,2706567.76,1.27,3.24,1.14,3.08,1.0,1462811.52,78389.0,51693.0,2218256.47,,,,,,,,0.85,,27396.0,,,,,,,28040.0,2.37,0.77,,,14.52,14.52,461462.0,13058478.47,,13.97,14.48,23.56,0.2341,33.79,0.1772
2006-04-26,93157.0,2850377.7,1.24,3.32,1.11,3.1,1.0,1505186.19,75400.0,49193.0,2307056.67,,,12.0,0.04,,,,0.0,501.0,3001.0,,,0.04,12.0,,,3001.0,2.46,0.13,,,14.82,14.82,433384.0,13260496.67,,14.15,14.81,19.29,0.2382,36.34,0.1831
2006-05-03,89975.0,2774128.32,1.2,3.09,1.08,3.01,1.0,1416740.17,75460.0,45950.0,2326598.76,,,60.0,0.0,,,,,86.0,,,,0.0,60.0,,,3329.0,2.48,0.12,,,19.37,19.37,314100.0,9684397.95,,10.34,19.35,20.1,0.2446,37.86,0.231
