,DOTVA FP Equity_PX_LAST
2022-04-07,18.12
2022-04-08,18.73
2022-04-11,16.28
2022-04-12,16.33
2022-04-13,16.75
2022-04-14,16.49
2022-04-19,17.18
2022-04-20,17.44
2022-04-21,17.74
2022-04-25,16.4
2022-04-26,16.12
2022-04-27,15.99
2022-04-28,16.1
2022-04-29,15.66
2022-05-02,14.15
2022-05-03,14.22
2022-05-04,14.12
2022-05-05,15.17
2022-05-06,13.49
2022-05-09,10.8
2022-05-10,10.97
2022-05-11,10.03
2022-05-16,10.04
2022-05-17,10.17
2022-05-18,9.33
2022-05-19,9.34
2022-05-20,9.05
2022-05-25,9.21
2022-05-26,8.94
2022-05-27,8.86
2022-05-30,9.48
2022-05-31,9.43
2022-06-01,9.45
2022-06-02,8.89
2022-06-03,8.59
2022-06-06,8.99
2022-06-07,8.43
2022-06-08,8.46
2022-06-09,8.6
2022-06-10,8.34
2022-06-13,6.52
2022-06-14,7.03
2022-06-15,6.85
2022-06-16,7.01
2022-06-17,6.86
2022-06-21,7.65
2022-06-22,7.14
2022-06-23,7.06
2022-06-24,7.37
2022-06-27,7.4
2022-06-28,7.18
2022-06-29,6.79
2022-06-30,6.46
2022-07-01,6.38
2022-07-04,6.64
2022-07-05,6.47
2022-07-06,6.695
2022-07-07,6.927
2022-07-08,6.957
2022-07-11,6.668
2022-07-12,6.427
2022-07-13,6.135
2022-07-14,6.381
2022-07-15,6.739
2022-07-18,7.399
2022-07-19,7.495
2022-07-20,7.736
2022-07-21,7.133
2022-07-22,7.321
2022-07-25,6.844
2022-07-26,6.427
2022-07-27,6.655
2022-07-29,7.941
2022-08-01,8.178
2022-08-02,7.718
2022-08-03,8.022
2022-08-04,7.864
2022-08-05,8.181
2022-08-09,8.466
2022-08-10,9.197
2022-08-11,8.968
2022-08-12,9.094
2022-08-16,8.537
2022-08-17,8.187
2022-08-18,8.288
2022-08-19,7.378
2022-08-22,7.156
2022-08-23,7.498
2022-08-24,7.577
2022-08-25,7.433
2022-08-26,7.133
2022-08-29,7.151
2022-08-30,6.922
2022-08-31,6.954
2022-09-01,6.945
2022-09-02,7.391
2022-09-05,7.5
2022-09-06,7.58
2022-09-07,7.076
2022-09-08,7.242
2022-09-09,7.706
2022-09-12,7.705
2022-09-13,7.172
2022-09-14,7.117
2022-09-15,7.062
2022-09-16,6.757
2022-09-19,6.278
2022-09-20,6.242
2022-09-21,6.293
2022-09-22,6.397
2022-09-23,6.453
2022-09-26,6.68
2022-09-27,6.859
2022-09-28,6.536
2022-09-29,6.414
2022-09-30,6.56
2022-10-03,6.353
2022-10-04,6.391
2022-10-05,6.332
2022-10-06,6.423
2022-10-07,6.315
2022-10-10,6.41
2022-10-11,6.261
2022-10-12,6.232
2022-10-13,5.975
2022-10-14,6.153
