,ALMCE FP Equity_DX_SI_QTY,ALMCE FP Equity_DX_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMCE FP Equity_DX_SI_MV,ALMCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SUPPLY_SI_QTY,ALMCE FP Equity_DX_BROKER_SI_QTY,ALMCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMCE FP Equity_DX_SUPPLY_SI_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMCE FP Equity_DX_BROKER_SI_CON_RATIO,ALMCE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMCE FP Equity_PX_LAST
2024-04-02,,,,,,,,,,,,,,,,,,,,8.18
2024-04-03,,,,,,,,,,,,,,,,,,,,8.18
2024-04-04,,,,,,,,,,,,,,,,,,,,8.06
2024-04-05,,,,,,,,,,,,,,,,,,,,8.06
2024-04-08,,,,,,,,,,,,,,,,,,,,8.04
2024-04-09,,,,,,,,,,,,,,,,,,,,7.94
2024-04-10,,,,,,,,,,,,,,,,,,,,7.9
2024-04-11,,,,,,,,,,,,,,,,,,,,8.16
2024-04-12,,,,,,,,,,,,,,,,,,,,8.16
2024-04-15,,,,,,,,,,,,,,,,,,,,8.18
2024-04-16,,,,,,,,,,,,,,,,,,,,8.2
2024-04-17,,,,,,,,,,,,,,,,,,,,8.32
2024-04-18,,,,,,,,,,,,,,,,,,,,8.18
2024-04-19,,,,,,,,,,,,,,,,,,,,8.28
2024-04-22,,,,,,,,,,,,,,,,,,,,8.36
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,15264.0,0.02,0.0,0.0,0.0,8.48
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,15372.0,0.02,0.0,0.0,0.0,8.54
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,15444.0,0.02,0.0,0.0,0.0,8.58
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,15120.0,0.02,0.0,0.0,0.0,8.4
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,15048.0,0.02,0.0,0.0,0.0,8.36
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,14508.0,0.02,0.0,0.0,0.0,8.06
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,14508.0,0.02,0.0,0.0,0.0,
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,14688.0,0.01,0.0,0.0,0.0,8.16
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,15156.0,0.01,0.0,0.0,0.0,8.42
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16848.0,0.02,0.0,0.0,0.0,9.36
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16184.0,0.02,0.0,0.0,0.0,9.52
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15776.0,0.02,0.0,0.0,0.0,9.28
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15674.0,0.02,0.0,0.0,0.0,9.22
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16048.0,0.02,0.0,0.0,0.0,9.44
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15708.0,0.02,0.0,0.0,0.0,9.24
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15912.0,0.02,0.0,0.0,0.0,9.36
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15878.0,0.02,0.0,0.0,0.0,9.34
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16218.0,0.02,0.0,0.0,0.0,9.54
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15912.0,0.02,0.0,0.0,0.0,9.36
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15912.0,0.02,0.0,0.0,0.0,9.36
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15912.0,0.02,0.0,0.0,0.0,9.36
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16286.0,0.02,0.0,0.0,0.0,9.58
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16320.0,0.02,0.0,0.0,0.0,9.6
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16116.0,0.02,0.0,0.0,0.0,9.48
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16116.0,0.02,0.0,0.0,0.0,9.48
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16082.0,0.02,0.0,0.0,0.0,9.46
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,16150.0,0.02,0.0,0.0,0.0,9.5
