,ALMCE FP Equity_DX_SI_QTY,ALMCE FP Equity_DX_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMCE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMCE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMCE FP Equity_DX_SI_MV,ALMCE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMCE FP Equity_DX_SUPPLY_SI_QTY,ALMCE FP Equity_DX_BROKER_SI_QTY,ALMCE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMCE FP Equity_DX_SUPPLY_SI_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_UTILIZATION_QUANTITY,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMCE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMCE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMCE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMCE FP Equity_DX_BROKER_SI_CON_RATIO,ALMCE FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMCE FP Equity_PX_LAST
2023-05-30,,,,,,,,,,,,,,,,,,,,9.65
2023-05-31,,,,,,,,,,,,,,,,,,,,9.65
2023-06-01,,,,,,,,,,,,,,,,,,,,9.6
2023-06-02,,,,,,,,,,,,,,,,,,,,9.6
2023-06-05,,,,,,,,,,,,,,,,,,,,9.68
2023-06-06,,,,,,,,,,,,,,,,,,,,9.69
2023-06-07,,,,,,,,,,,,,,,,,,,,9.65
2023-06-08,,,,,,,,,,,,,,,,,,,,9.66
2023-06-09,,,,,,,,,,,,,,,,,,,,9.64
2023-06-12,,,,,,,,,,,,,,,,,,,,9.66
2023-06-13,,,,,,,,,,,,,,,,,,,,9.623
2023-06-14,,,,,,,,,,,,,,,,,,,,9.65
2023-06-15,,,,,,,,,,,,,,,,,,,,9.65
2023-06-16,,,,,,,,,,,,,,,,,,,,9.65
2023-06-19,,,,,,,,,,,,,,,,,,,,9.66
2023-06-20,,,,,,,,,,,,,,,,,,,,9.65
2023-06-21,,,,,,,,,,,,,,,,,,,,9.65
2023-06-22,,,,,,,,,,,,,,,,,,,,9.65
2023-06-23,,,,,,,,,,,,,,,,,,,,9.63
2023-06-26,,,,,,,,,,,,,,,,,,,,9.65
2023-06-27,,,,,,,,,,,,,,,,,,,,9.65
2023-06-28,,,,,,,,,,,,,,,,,,,,9.65
2023-06-29,,,,,,,,,,,,,,,,,,,,9.65
2023-06-30,,,,,,,,,,,,,,,,,,,,9.65
2023-07-03,,,,,,,,,,,,,,,,,,,,9.649
2023-07-04,,,,,,,,,,,,,,,,,,,,9.6
2023-07-05,,,,,,,,,,,,,,,,,,,,9.6
2023-07-06,,,,,,,,,,,,,,,,,,,,9.6
2023-07-07,,,,,,,,,,,,,,,,,,,,9.6
2023-07-10,,,,,,,,,,,,,,,,,,,,9.521
2023-07-11,,,,,,,,,,,,,,,,,,,,9.619
2023-07-12,,,,,,,,,,,,,,,,,,,,9.617
2023-07-13,,,,,,,,,,,,,,,,,,,,9.5
2023-07-14,,,,,,,,,,,,,,,,,,,,9.41
2023-07-17,,,,,,,,,,,,,,,,,,,,9.38
2023-07-18,,,,,,,,,,,,,,,,,,,,9.301
2023-07-19,,,,,,,,,,,,,,,,,,,,9.21
2023-07-20,,,,,,,,,,,,,,,,,,,,9.1
2023-07-21,,,,,,,,,,,,,,,,,,,,9.299
2023-07-24,,,,,,,,,,,,,,,,,,,,9.4
2023-07-25,,,,,,,,,,,,,,,,,,,,9.519
2023-07-26,,,,,,,,,,,,,,,,,,,,9.569
2023-07-27,,,,,,,,,,,,,,,,,,,,9.463
2023-07-28,,,,,,,,,,,,,,,,,,,,9.635
2023-07-31,,,,,,,,,,,,,,,,,,,,9.463
2023-08-01,,,,,,,,,,,,,,,,,,,,9.463
2023-08-02,,,,,,,,,,,,,,,,,,,,9.634
2023-08-03,,,,,,,,,,,,,,,,,,,,9.463
2023-08-04,,,,,,,,,,,,,,,,,,,,9.63
2023-08-07,,,,,,,,,,,,,,,,,,,,9.629
2023-08-08,,,,,,,,,,,,,,,,,,,,9.481
2023-08-09,,,,,,,,,,,,,,,,,,,,9.471
2023-08-10,,,,,,,,,,,,,,,,,,,,9.5
2023-08-11,,,,,,,,,,,,,,,,,,,,9.499
2023-08-14,,,,,,,,,,,,,,,,,,,,9.462
2023-08-15,,,,,,,,,,,,,,,,,,,,9.46
2023-08-16,,,,,,,,,,,,,,,,,,,,9.462
2023-08-17,,,,,,,,,,,,,,,,,,,,9.462
2023-08-18,,,,,,,,,,,,,,,,,,,,9.462
2023-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,4731.0,0.0,0.0,0.0,0.0,9.462
2023-08-22,,,,,,,,,,,,,,,,,,,,9.462
2023-08-23,,,,,,,,,,,,,,,,,,,,9.45
2023-08-24,,,,,,,,,,,,,,,,,,,,9.45
2023-08-25,,,,,,,,,,,,,,,,,,,,9.41
2023-08-28,,,,,,,,,,,,,,,,,,,,9.37
2023-08-29,,,,,,,,,,,,,,,,,,,,9.459
2023-08-30,,,,,,,,,,,,,,,,,,,,9.185
2023-08-31,,,,,,,,,,,,,,,,,,,,9.102
2023-09-01,,,,,,,,,,,,,,,,,,,,9.2
2023-09-04,,,,,,,,,,,,,,,,,,,,9.3
2023-09-05,,,,,,,,,,,,,,,,,,,,9.22
2023-09-06,,,,,,,,,,,,,,,,,,,,9.4
2023-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16920.0,0.02,0.0,0.0,0.0,9.4
2023-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,17082.0,0.02,0.0,0.0,0.0,9.49
2023-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16740.0,0.02,0.0,0.0,0.0,9.3
2023-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16740.0,0.02,0.0,0.0,0.0,9.3
2023-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16740.0,0.02,0.0,0.0,0.0,9.3
2023-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16416.0,0.02,0.0,0.0,0.0,9.12
2023-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16702.2,0.02,0.0,0.0,0.0,9.279
2023-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,16648.2,0.02,0.0,0.0,0.0,9.249
2023-09-19,,,,,,,,,,,,,,,,,,,,9.07
2023-09-20,,,,,,,,,,,,,,,,,,,,9.0
2023-09-21,,,,,,,,,,,,,,,,,,,,8.799
2023-09-22,,,,,,,,,,,,,,,,,,,,8.42
2023-09-25,,,,,,,,,,,,,,,,,,,,8.17
2023-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,12560.0,0.01,0.0,0.0,0.0,7.85
2023-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,13896.0,0.01,0.0,0.0,0.0,7.72
2023-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,13140.0,0.01,0.0,0.0,0.0,7.3
2023-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11880.0,0.01,0.0,0.0,0.0,6.6
2023-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12060.0,0.01,0.0,0.0,0.0,6.7
2023-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11719.8,0.01,0.0,0.0,0.0,6.511
2023-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11700.0,0.01,0.0,0.0,0.0,6.5
2023-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11950.2,0.01,0.0,0.0,0.0,6.639
2023-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11160.0,0.01,0.0,0.0,0.0,6.2
2023-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11160.0,0.01,0.0,0.0,0.0,6.2
2023-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11160.0,0.01,0.0,0.0,0.0,6.2
2023-10-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11340.0,0.01,0.0,0.0,0.0,6.3
2023-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11302.2,0.01,0.0,0.0,0.0,6.279
2023-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,10998.0,0.01,0.0,0.0,0.0,6.11
2023-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11250.0,0.01,0.0,0.0,0.0,6.25
2023-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11142.0,0.01,0.0,0.0,0.0,6.19
2023-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11304.0,0.01,0.0,0.0,0.0,6.28
2023-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11196.0,0.01,0.0,0.0,0.0,6.22
2023-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11160.0,0.01,0.0,0.0,0.0,6.2
2023-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11412.0,0.01,0.0,0.0,0.0,6.34
2023-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11232.0,0.01,0.0,0.0,0.0,6.24
2023-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11484.0,0.01,0.0,0.0,0.0,6.38
2023-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11538.0,0.01,0.0,0.0,0.0,6.41
2023-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11718.0,0.01,0.0,0.0,0.0,6.51
2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11592.0,0.01,0.0,0.0,0.0,6.44
2023-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11700.0,0.01,0.0,0.0,0.0,6.5
2023-11-01,,,,,,,,,,,,,,,,,,,,6.609
2023-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11646.0,0.01,0.0,0.0,0.0,6.47
2023-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11646.0,0.01,0.0,0.0,0.0,6.47
2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11952.0,0.01,0.0,0.0,0.0,6.64
2023-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,11790.0,0.01,0.0,0.0,0.0,6.55
2023-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12042.0,0.01,0.0,0.0,0.0,6.69
2023-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12096.0,0.01,0.0,0.0,0.0,6.72
2023-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12096.0,0.01,0.0,0.0,0.0,6.72
2023-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12096.0,0.01,0.0,0.0,0.0,6.72
2023-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12168.0,0.01,0.0,0.0,0.0,6.76
2023-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,12168.0,0.01,0.0,0.0,0.0,6.76
2023-11-16,,,,,,,,,,,,,,,,,,,,6.7
2023-11-17,,,,,,,,,,,,,,,,,,,,6.92
2023-11-20,,,,,,,,,,,,,,,,,,,,6.74
2023-11-21,,,,,,,,,,,,,,,,,,,,6.95
2023-11-22,,,,,,,,,,,,,,,,,,,,7.09
2023-11-23,,,,,,,,,,,,,,,,,,,,7.09
2023-11-24,,,,,,,,,,,,,,,,,,,,7.13
2023-11-27,,,,,,,,,,,,,,,,,,,,7.09
2023-11-28,,,,,,,,,,,,,,,,,,,,7.09
2023-11-29,,,,,,,,,,,,,,,,,,,,7.09
2023-11-30,,,,,,,,,,,,,,,,,,,,7.09
2023-12-01,,,,,,,,,,,,,,,,,,,,7.29
2023-12-04,,,,,,,,,,,,,,,,,,,,7.44
2023-12-05,,,,,,,,,,,,,,,,,,,,7.52
2023-12-06,,,,,,,,,,,,,,,,,,,,7.58
2023-12-07,,,,,,,,,,,,,,,,,,,,7.53
2023-12-08,,,,,,,,,,,,,,,,,,,,7.45
2023-12-11,,,,,,,,,,,,,,,,,,,,7.41
2023-12-12,,,,,,,,,,,,,,,,,,,,7.5
2023-12-13,,,,,,,,,,,,,,,,,,,,7.67
2023-12-14,,,,,,,,,,,,,,,,,,,,7.79
2023-12-15,,,,,,,,,,,,,,,,,,,,7.83
2023-12-18,,,,,,,,,,,,,,,,,,,,7.67
2023-12-19,,,,,,,,,,,,,,,,,,,,7.85
2023-12-20,,,,,,,,,,,,,,,,,,,,7.859
2023-12-21,,,,,,,,,,,,,,,,,,,,7.9
2023-12-22,,,,,,,,,,,,,,,,,,,,7.83
2023-12-27,,,,,,,,,,,,,,,,,,,,7.909
2023-12-28,,,,,,,,,,,,,,,,,,,,7.75
2023-12-29,,,,,,,,,,,,,,,,,,,,7.95
2024-01-02,,,,,,,,,,,,,,,,,,,,8.0
2024-01-03,,,,,,,,,,,,,,,,,,,,7.9
2024-01-04,,,,,,,,,,,,,,,,,,,,7.87
2024-01-05,,,,,,,,,,,,,,,,,,,,7.871
2024-01-08,,,,,,,,,,,,,,,,,,,,7.86
2024-01-09,,,,,,,,,,,,,,,,,,,,7.86
2024-01-10,,,,,,,,,,,,,,,,,,,,7.86
2024-01-11,,,,,,,,,,,,,,,,,,,,8.01
2024-01-12,,,,,,,,,,,,,,,,,,,,8.06
2024-01-15,,,,,,,,,,,,,,,,,,,,8.19
2024-01-16,,,,,,,,,,,,,,,,,,,,7.96
2024-01-17,,,,,,,,,,,,,,,,,,,,7.86
2024-01-18,,,,,,,,,,,,,,,,,,,,7.9
2024-01-19,,,,,,,,,,,,,,,,,,,,8.009
2024-01-22,,,,,,,,,,,,,,,,,,,,8.039
2024-01-23,,,,,,,,,,,,,,,,,,,,8.049
2024-01-24,,,,,,,,,,,,,,,,,,,,7.901
2024-01-25,,,,,,,,,,,,,,,,,,,,7.9
2024-01-26,,,,,,,,,,,,,,,,,,,,7.9
2024-01-29,,,,,,,,,,,,,,,,,,,,7.901
2024-01-30,,,,,,,,,,,,,,,,,,,,7.86
2024-01-31,,,,,,,,,,,,,,,,,,,,7.95
2024-02-01,,,,,,,,,,,,,,,,,,,,7.911
2024-02-02,,,,,,,,,,,,,,,,,,,,7.88
2024-02-05,,,,,,,,,,,,,,,,,,,,7.92
2024-02-06,,,,,,,,,,,,,,,,,,,,7.95
2024-02-07,,,,,,,,,,,,,,,,,,,,8.0
2024-02-08,,,,,,,,,,,,,,,,,,,,7.9
2024-02-09,,,,,,,,,,,,,,,,,,,,7.9
2024-02-12,,,,,,,,,,,,,,,,,,,,7.9
2024-02-13,,,,,,,,,,,,,,,,,,,,7.9
2024-02-14,,,,,,,,,,,,,,,,,,,,7.901
2024-02-15,,,,,,,,,,,,,,,,,,,,7.901
2024-02-16,,,,,,,,,,,,,,,,,,,,8.04
2024-02-19,,,,,,,,,,,,,,,,,,,,8.0
2024-02-20,,,,,,,,,,,,,,,,,,,,8.0
2024-02-21,,,,,,,,,,,,,,,,,,,,8.0
2024-02-22,,,,,,,,,,,,,,,,,,,,7.99
2024-02-23,,,,,,,,,,,,,,,,,,,,7.961
2024-02-26,,,,,,,,,,,,,,,,,,,,8.119
2024-02-27,,,,,,,,,,,,,,,,,,,,8.0
2024-02-28,,,,,,,,,,,,,,,,,,,,8.0
2024-02-29,,,,,,,,,,,,,,,,,,,,8.15
2024-03-01,,,,,,,,,,,,,,,,,,,,8.1
2024-03-04,,,,,,,,,,,,,,,,,,,,8.149
2024-03-05,,,,,,,,,,,,,,,,,,,,8.1
2024-03-06,,,,,,,,,,,,,,,,,,,,7.99
2024-03-07,,,,,,,,,,,,,,,,,,,,8.1
2024-03-08,,,,,,,,,,,,,,,,,,,,8.15
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,14401.8,0.01,0.0,0.0,0.0,8.001
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,14580.0,0.01,0.0,0.0,0.0,8.1
2024-03-13,,,,,,,,,,,,,,,,,,,,8.18
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,14724.0,0.01,0.0,0.0,0.0,8.18
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,14580.0,0.01,0.0,0.0,0.0,8.1
2024-03-18,,,,,,,,,,,,,,,,,,,,8.081
2024-03-19,,,,,,,,,,,,,,,,,,,,8.26
2024-03-20,,,,,,,,,,,,,,,,,,,,8.259
2024-03-21,,,,,,,,,,,,,,,,,,,,8.259
2024-03-22,,,,,,,,,,,,,,,,,,,,8.149
2024-03-25,,,,,,,,,,,,,,,,,,,,8.1
2024-03-26,,,,,,,,,,,,,,,,,,,,8.1
2024-03-27,,,,,,,,,,,,,,,,,,,,8.101
2024-03-28,,,,,,,,,,,,,,,,,,,,8.26
