,ISRC FP Equity_PX_LAST
2024-12-03,10.074
2024-12-04,10.072
2024-12-05,10.076
2024-12-06,10.086
2024-12-09,10.096
2024-12-10,10.102
2024-12-11,10.098
2024-12-12,10.096
2024-12-13,10.058
2024-12-16,10.06
2024-12-17,10.056
2024-12-18,10.052
2024-12-19,10.02
2024-12-20,10.032
2024-12-23,10.026
2024-12-24,10.024
2024-12-27,10.012
2024-12-30,10.018
2024-12-31,10.03
2025-01-02,10.02
2025-01-03,9.983
2025-01-06,9.971
2025-01-07,9.963
2025-01-08,9.957
2025-01-09,9.956
2025-01-10,9.934
2025-01-13,9.922
2025-01-14,9.916
2025-01-15,9.959
2025-01-16,9.974
2025-01-17,9.983
2025-01-20,9.991
2025-01-21,9.991
2025-01-22,9.997
2025-01-23,9.985
2025-01-24,9.972
2025-01-27,9.984
2025-01-28,9.988
2025-01-29,9.99
2025-01-30,10.02
2025-01-31,10.054
2025-02-03,10.07
2025-02-04,10.07
2025-02-05,10.09
2025-02-06,10.088
2025-02-07,10.076
2025-02-10,10.09
2025-02-11,10.062
2025-02-12,10.044
2025-02-13,10.08
2025-02-14,10.086
2025-02-17,10.062
2025-02-18,10.064
2025-02-19,10.046
2025-02-20,10.054
2025-02-21,10.082
2025-02-24,10.082
2025-02-25,10.082
2025-02-26,10.092
2025-02-27,10.102
2025-02-28,10.106
2025-03-03,10.076
2025-03-04,10.088
2025-03-05,9.989
2025-03-06,9.948
2025-03-07,9.981
2025-03-10,10.002
2025-03-11,9.98
2025-03-12,9.969
2025-03-13,9.946
2025-03-14,9.959
2025-03-17,9.976
2025-03-18,9.989
2025-03-19,9.978
2025-03-20,9.991
2025-03-21,9.989
2025-03-24,9.993
2025-03-25,9.992
2025-03-26,9.995
2025-03-27,9.997
2025-03-28,10.012
2025-03-31,9.969
2025-04-01,10.034
2025-04-02,10.024
2025-04-03,10.02
2025-04-04,10.054
2025-04-07,10.034
2025-04-08,9.978
2025-04-09,9.895
2025-04-10,9.941
2025-04-11,9.991
2025-04-14,10.022
2025-04-15,10.046
2025-04-16,10.058
2025-04-17,10.092
2025-04-22,10.114
2025-04-23,10.104
2025-04-24,10.128
2025-04-25,10.112
2025-04-28,10.1
2025-04-29,10.094
2025-04-30,10.104
2025-05-02,10.106
2025-05-05,10.088
2025-05-06,10.102
2025-05-07,10.112
2025-05-08,10.114
2025-05-09,10.09
2025-05-12,10.088
2025-05-13,10.092
2025-05-14,10.07
2025-05-15,10.09
2025-05-16,10.126
2025-05-19,10.108
2025-05-20,10.108
2025-05-21,10.112
2025-05-22,10.094
2025-05-23,10.13
2025-05-26,10.128
2025-05-27,10.152
2025-05-28,10.146
2025-05-29,10.158
2025-05-30,10.152
2025-06-02,10.136
2025-06-03,10.176
2025-06-04,10.162
2025-06-05,10.134
2025-06-06,10.152
2025-06-09,10.152
2025-06-10,10.172
2025-06-11,10.172
2025-06-12,10.184
2025-06-13,10.154
2025-06-16,10.174
2025-06-17,10.168
2025-06-18,10.172
2025-06-19,10.16
2025-06-20,10.174
2025-06-23,10.188
2025-06-24,10.162
2025-06-25,10.178
2025-06-26,10.198
2025-06-27,10.178
2025-06-30,10.186
2025-07-01,10.202
2025-07-02,10.174
2025-07-03,10.226
2025-07-04,10.232
2025-07-07,10.234
2025-07-08,10.208
2025-07-09,10.214
2025-07-10,10.202
2025-07-11,10.188
2025-07-14,10.192
2025-07-15,10.202
2025-07-16,10.204
2025-07-17,10.218
2025-07-18,10.216
2025-07-21,10.25
2025-07-22,10.266
2025-07-23,10.254
2025-07-24,10.23
2025-07-25,10.212
2025-07-28,10.246
2025-07-29,10.23
2025-07-30,10.246
2025-07-31,10.23
2025-08-01,10.22
2025-08-04,10.25
2025-08-05,10.252
2025-08-06,10.262
2025-08-07,10.266
2025-08-08,10.234
2025-08-11,10.246
2025-08-12,10.232
2025-08-13,10.266
2025-08-14,10.26
2025-08-15,10.222
2025-08-18,10.22
2025-08-19,10.228
2025-08-20,10.22
2025-08-21,10.216
2025-08-22,10.252
2025-08-25,10.21
2025-08-26,10.22
2025-08-27,10.234
2025-08-28,10.226
2025-08-29,10.22
