,AGEB FP Equity_PX_LAST
2010-12-07,97.69
2010-12-08,96.68
2010-12-09,96.71
2010-12-10,96.58
2010-12-13,96.07
2010-12-14,95.88
2010-12-15,95.44
2010-12-16,94.41
2010-12-17,94.54
2010-12-20,94.86
2010-12-21,94.97
2010-12-22,95.23
2010-12-23,95.23
2010-12-27,96.03
2010-12-28,95.51
2010-12-29,95.63
2010-12-30,95.67
2011-01-03,95.7
2011-01-04,96.34
2011-01-05,96.41
2011-01-06,96.09
2011-01-07,95.95
2011-01-10,95.86
2011-01-11,95.93
2011-01-12,95.99
2011-01-13,96.15
2011-01-14,96.31
2011-01-17,96.09
2011-01-18,96.07
2011-01-19,95.91
2011-01-20,95.58
2011-01-21,95.11
2011-01-24,95.33
2011-01-25,95.4
2011-01-26,95.55
2011-01-27,95.1
2011-01-28,94.63
2011-01-31,94.5
2011-02-01,95.04
2011-02-02,95.27
2011-02-03,95.23
2011-02-09,94.07
2011-02-10,94.3
2011-02-11,94.13
2011-02-14,93.98
2011-02-15,93.79
2011-02-16,93.99
2011-02-17,94.25
2011-02-18,94.22
2011-02-21,94.17
2011-02-22,94.08
2011-02-23,94.2
2011-02-24,94.22
2011-02-25,94.54
2011-02-28,94.74
2011-03-01,94.8
2011-03-02,94.96
2011-03-03,95.15
2011-03-04,95.02
2011-03-07,95.61
2011-03-08,95.3
2011-03-09,95.53
2011-03-10,95.57
2011-03-11,95.55
2011-03-14,95.7
2011-03-15,95.23
2011-03-16,95.28
2011-03-17,95.35
2011-03-18,95.45
2011-03-21,95.46
2011-03-22,95.49
2011-03-23,95.42
2011-03-24,95.5
2011-03-25,95.48
2011-03-28,95.34
2011-03-29,95.36
2011-03-30,95.36
2011-03-31,95.42
2011-04-01,95.56
2011-04-04,95.85
2011-04-05,95.78
2011-04-06,95.75
2011-04-07,95.69
2011-04-08,95.75
2011-04-11,95.66
2011-04-12,95.59
2011-04-13,95.64
2011-04-14,95.59
2011-04-15,95.69
2011-04-18,95.61
2011-04-19,95.65
2011-04-20,95.9
2011-04-21,95.86
2011-04-26,96.05
2011-04-27,96.12
2011-04-28,96.38
2011-04-29,96.64
2011-05-02,96.99
2011-05-03,97.1
2011-05-04,97.28
2011-05-05,97.31
2011-05-06,97.51
2011-05-09,97.6
2011-05-10,97.74
2011-05-11,97.79
2011-05-12,97.81
2011-05-13,97.83
2011-05-16,97.87
2011-05-17,98.09
2011-05-18,98.18
2011-05-19,98.09
2011-05-20,98.1
2011-05-23,97.99
2011-05-24,98.04
2011-05-25,97.98
2011-05-26,97.81
2011-05-27,97.9
2011-05-30,98.04
2011-05-31,98.23
2011-06-01,98.56
2011-06-02,98.68
2011-06-03,98.66
2011-06-06,98.53
2011-06-07,98.5
2011-06-08,98.67
2011-06-09,98.77
2011-06-10,98.76
2011-06-13,98.84
2011-06-14,98.78
2011-06-15,98.71
2011-06-16,98.73
2011-06-17,98.77
2011-06-20,98.7
2011-06-21,98.87
2011-06-22,98.98
2011-06-23,98.72
2011-06-24,98.65
2011-06-27,98.81
2011-06-28,98.93
2011-06-29,99.24
2011-06-30,99.28
2011-07-01,99.56
