,INDO FP Equity_DX_SI_QTY,INDO FP Equity_DX_SHORT_INTEREST_VALUE,INDO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,INDO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,INDO FP Equity_DX_SI_MV,INDO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,INDO FP Equity_DX_SUPPLY_SI_QTY,INDO FP Equity_DX_BROKER_SI_QTY,INDO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,INDO FP Equity_DX_BROKER_SI_MV_NEW_x,INDO FP Equity_DX_SUPPLY_SI_QTY_INC_x,INDO FP Equity_DX_BROKER_SI_MV_INC_x,INDO FP Equity_DX_BROKER_SI_QTY_ADD,INDO FP Equity_DX_BROKER_SI_QTY_NEW,INDO FP Equity_DX_SUPPLY_SI_MV_DEC,INDO FP Equity_DX_BROKER_SI_QTY_INC,INDO FP Equity_DX_SUPPLY_SI_QTY_DEC,INDO FP Equity_DX_BROKER_SI_MV_NEW_y,INDO FP Equity_DX_BROKER_SI_MV_INC_y,INDO FP Equity_DX_SUPPLY_SI_QTY_INC_y,INDO FP Equity_DX_BROKER_SI_MV_ADD,INDO FP Equity_DX_SUPPLY_SI_QTY_ADD,INDO FP Equity_DX_BROKER_SI_QTY_DEC,INDO FP Equity_DX_SUPPLY_SI_MV,INDO FP Equity_DX_BROKER_SI_MV_DEC,INDO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,INDO FP Equity_DX_UTILIZATION_QUANTITY,INDO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,INDO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,INDO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,INDO FP Equity_DX_ACTIVE_UTILIZATION_MV,INDO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,INDO FP Equity_DX_BROKER_SI_CON_RATIO,INDO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,INDO FP Equity_DX_DEMAND_SUPPLY_RATIO,INDO FP Equity_PX_LAST
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.05
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.05
2011-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.17
2011-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.44
2011-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.03
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.18
2011-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.38
2011-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.84
2011-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4
2011-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.41
2011-08-01,3000.0,323970.0,14.75,0.74,0.32,323970.0,0.0,3000.0,0.0,,,,3000.0,,,,,,,,0.32,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,107.99
2011-08-02,3000.0,324600.0,14.65,0.74,0.32,324600.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,108.2
2011-08-03,3000.0,317490.0,14.65,0.74,0.32,317490.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,105.83
2011-08-04,3000.0,316620.0,14.65,0.74,0.32,316620.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,105.54
2011-08-05,3000.0,306360.0,14.65,0.74,0.31,306360.0,0.0,3000.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,102.12
