,ALESA FP Equity_DX_SI_QTY,ALESA FP Equity_DX_SHORT_INTEREST_VALUE,ALESA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALESA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALESA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALESA FP Equity_DX_SI_MV,ALESA FP Equity_DX_DSS,ALESA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALESA FP Equity_DX_SUPPLY_SI_QTY,ALESA FP Equity_DX_BROKER_SI_QTY,ALESA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALESA FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALESA FP Equity_DX_BROKER_SI_MV_INC_x,ALESA FP Equity_DX_BROKER_SI_QTY_ADD,ALESA FP Equity_DX_SUPPLY_SI_MV_DEC,ALESA FP Equity_DX_BROKER_SI_QTY_INC,ALESA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALESA FP Equity_DX_BROKER_SI_MV_INC_y,ALESA FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALESA FP Equity_DX_BROKER_SI_MV_ADD,ALESA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALESA FP Equity_DX_BROKER_SI_QTY_DEC,ALESA FP Equity_DX_SUPPLY_SI_MV,ALESA FP Equity_DX_BROKER_SI_MV_DEC,ALESA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALESA FP Equity_DX_UTILIZATION_QUANTITY,ALESA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALESA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALESA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALESA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALESA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALESA FP Equity_DX_BROKER_SI_CON_RATIO,ALESA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALESA FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,183802.8,0.18,0.0,,0.0,,0.0
2018-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,188621.6,0.18,0.0,,0.0,,0.0
2018-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,184491.2,0.19,0.0,,0.0,,0.0
2018-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,188621.6,0.18,0.0,,0.0,,0.0
2018-05-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,189310.0,0.18,0.0,,0.0,,0.0
2018-05-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,185868.0,0.19,0.0,,0.0,,0.0
2018-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,186556.4,0.19,0.0,,0.0,,0.0
2018-05-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,192752.0,0.19,0.0,,0.0,,0.0
2018-05-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,203078.0,0.19,0.0,,0.0,,0.0
2018-05-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,201701.2,0.2,0.0,,0.0,,0.0
2018-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,199636.0,0.2,0.0,,0.0,,0.0
2018-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,199636.0,0.2,0.0,,0.0,,0.0
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,201701.2,0.2,0.0,,0.0,,0.0
2018-06-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,13768.0,212715.6,0.2,0.0,,0.0,,0.0
