,AWDSR FP Equity_PX_LAST
2024-11-12,10930.83
2024-11-13,10933.44
2024-11-14,10949.34
2024-11-15,10820.15
2024-11-18,10833.51
2024-11-19,10806.74
2024-11-20,10839.97
2024-11-21,10972.37
2024-11-22,11107.3
2024-11-25,11102.05
2024-11-26,11101.72
2024-11-27,11013.02
2024-11-28,11066.15
2024-11-29,11107.43
2024-12-02,11190.0
2024-12-03,11193.91
2024-12-04,11229.12
2024-12-05,11204.72
2024-12-06,11239.37
2024-12-09,11194.67
2024-12-10,11226.95
2024-12-11,11283.07
2024-12-12,11271.44
2024-12-13,11181.51
2024-12-16,11214.88
2024-12-17,11175.82
2024-12-18,11207.55
2024-12-19,11036.77
2024-12-20,11041.41
2024-12-23,10972.77
2024-12-24,10972.77
2024-12-27,11054.67
2024-12-30,10981.38
2024-12-31,10956.22
2025-01-02,11098.33
2025-01-03,11080.97
2025-01-06,11168.36
2025-01-07,11106.12
2025-01-08,11082.83
2025-01-09,11092.55
2025-01-10,11004.41
2025-01-13,10963.35
2025-01-14,10961.17
2025-01-15,11139.14
2025-01-16,11165.23
2025-01-17,11257.25
2025-01-20,11200.11
2025-01-21,11210.53
2025-01-22,11292.03
2025-01-23,11326.57
2025-01-24,11270.06
2025-01-27,11080.4
2025-01-28,11246.69
2025-01-29,11252.59
2025-01-30,11241.55
2025-01-31,11392.38
2025-02-03,11285.13
2025-02-04,11274.82
2025-02-05,11322.26
2025-02-06,11412.24
2025-02-07,11375.82
2025-02-10,11428.65
2025-02-11,11356.63
2025-02-12,11321.44
2025-02-13,11377.68
2025-02-14,11368.43
2025-02-17,11341.86
2025-02-18,11371.83
2025-02-19,11405.62
2025-02-20,11324.26
2025-02-21,11322.41
2025-02-24,11190.67
2025-02-25,11060.42
2025-02-26,11196.47
2025-02-27,11200.17
2025-02-28,11070.29
2025-03-03,11143.82
2025-03-04,10747.53
2025-03-05,10624.39
2025-03-06,10622.34
2025-03-07,10442.4
2025-03-10,10356.18
2025-03-11,10146.93
2025-03-12,10228.87
2025-03-13,10156.94
2025-03-14,10273.83
2025-03-17,10317.43
2025-03-18,10267.61
2025-03-19,10370.34
2025-03-20,10402.85
2025-03-21,10375.19
2025-03-24,10548.43
2025-03-25,10572.05
2025-03-26,10510.87
2025-03-27,10488.0
2025-03-28,10257.73
2025-03-31,10165.85
2025-04-01,10332.66
2025-04-02,10295.44
2025-04-03,9808.385
2025-04-04,9409.47
2025-04-07,9073.698
2025-04-08,9374.668
2025-04-09,8983.461
2025-04-10,9336.146
2025-04-11,9203.373
2025-04-14,9480.667
2025-04-15,9552.709
2025-04-16,9455.231
2025-04-17,9352.001
2025-04-22,9278.295
2025-04-23,9586.368
2025-04-24,9642.644
2025-04-25,9685.566
2025-04-28,9715.069
2025-04-29,9781.747
2025-04-30,9828.222
2025-05-02,9896.874
2025-05-05,10073.28
2025-05-06,10017.38
2025-05-07,9983.412
2025-05-08,10122.97
2025-05-09,10128.3
2025-05-12,10463.14
2025-05-13,10537.47
2025-05-14,10488.28
2025-05-15,10544.42
2025-05-16,10603.8
2025-05-19,10562.09
2025-05-20,10592.03
2025-05-21,10520.1
2025-05-22,10441.44
2025-05-23,10327.05
2025-05-26,10414.42
2025-05-27,10512.02
2025-05-28,10534.07
2025-05-29,10485.95
2025-05-30,10482.93
2025-06-02,10420.18
2025-06-03,10530.69
2025-06-04,10549.24
2025-06-05,10548.77
2025-06-06,10602.43
2025-06-09,10591.22
2025-06-10,10604.73
2025-06-11,10596.09
2025-06-12,10484.66
2025-06-13,10446.14
2025-06-16,10488.29
2025-06-17,10462.72
2025-06-18,10457.15
2025-06-19,10360.99
2025-06-20,10356.39
2025-06-23,10381.34
2025-06-24,10468.13
2025-06-25,10473.67
2025-06-26,10476.46
2025-06-27,10549.84
2025-06-30,10537.6
2025-07-01,10566.0
2025-07-02,10554.37
2025-07-03,10639.63
2025-07-04,10572.65
2025-07-07,10607.47
2025-07-08,10620.6
2025-07-09,10628.04
2025-07-10,10704.25
2025-07-11,10629.2
2025-07-14,10645.48
2025-07-15,10703.66
2025-07-16,10583.84
2025-07-17,10757.14
2025-07-18,10726.78
2025-07-21,10737.91
2025-07-22,10674.36
2025-07-23,10765.6
2025-07-24,10810.73
2025-07-25,10822.87
2025-07-28,10899.05
2025-07-29,10962.25
2025-07-30,11005.0
2025-07-31,11029.4
2025-08-01,10708.53
2025-08-04,10829.17
2025-08-05,10810.47
2025-08-06,10799.98
2025-08-07,10847.93
2025-08-08,10887.82
2025-08-11,10941.78
2025-08-12,10940.52
2025-08-13,10964.43
2025-08-14,11011.84
2025-08-15,10985.24
2025-08-18,11002.43
2025-08-19,11002.37
2025-08-20,10938.48
2025-08-21,10980.29
2025-08-22,11042.16
2025-08-25,11033.48
2025-08-26,11015.81
2025-08-27,11112.43
2025-08-28,11074.88
2025-08-29,10991.59
