,ALVG FP Equity_DX_SI_QTY,ALVG FP Equity_DX_SHORT_INTEREST_VALUE,ALVG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVG FP Equity_DX_SI_MV,ALVG FP Equity_DX_DSS,ALVG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVG FP Equity_DX_SUPPLY_SI_QTY,ALVG FP Equity_DX_BROKER_SI_QTY,ALVG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALVG FP Equity_DX_BROKER_SI_MV_INC_x,ALVG FP Equity_DX_BROKER_SI_QTY_ADD,ALVG FP Equity_DX_SUPPLY_SI_MV_DEC,ALVG FP Equity_DX_BROKER_SI_QTY_INC,ALVG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALVG FP Equity_DX_BROKER_SI_MV_INC_y,ALVG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALVG FP Equity_DX_BROKER_SI_MV_ADD,ALVG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALVG FP Equity_DX_BROKER_SI_QTY_DEC,ALVG FP Equity_DX_SUPPLY_SI_MV,ALVG FP Equity_DX_BROKER_SI_MV_DEC,ALVG FP Equity_DX_SUPPLY_SI_MV_RMV,ALVG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVG FP Equity_DX_UTILIZATION_QUANTITY,ALVG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALVG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALVG FP Equity_DX_BROKER_SI_CON_RATIO,ALVG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALVG FP Equity_DX_DEMAND_SUPPLY_RATIO
2014-09-08,15413.0,275892.7,0.98,7.13,0.43,0.27,0.0,275892.7,0.0,15413.0,0.0,,,15413.0,,,,,,0.27,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,0.0
2014-09-09,15413.0,283753.33,0.98,6.18,0.43,0.28,0.0,283753.33,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-10,15413.0,285140.5,0.98,6.14,0.43,0.28,0.0,285140.5,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-11,15413.0,285757.02,0.98,6.12,0.43,0.29,0.0,285757.02,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-12,15413.0,285140.5,0.98,6.11,0.43,0.29,0.0,285140.5,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-15,15413.0,288223.1,0.98,6.25,0.43,0.29,0.0,288223.1,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-16,15413.0,282057.9,0.98,5.9,0.43,0.29,0.0,282057.9,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-17,15413.0,285140.5,0.98,5.81,0.43,0.28,0.0,285140.5,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-18,15413.0,283599.2,0.98,5.89,0.43,0.29,0.0,283599.2,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2014-09-19,15413.0,283599.2,0.98,5.83,0.43,0.28,0.0,283599.2,0.0,15413.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
