,ALBI FP Equity_DX_SI_QTY,ALBI FP Equity_DX_SHORT_INTEREST_VALUE,ALBI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALBI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALBI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALBI FP Equity_DX_SI_MV,ALBI FP Equity_DX_DSS,ALBI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALBI FP Equity_DX_SUPPLY_SI_QTY,ALBI FP Equity_DX_BROKER_SI_QTY,ALBI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALBI FP Equity_DX_BROKER_SI_MV_NEW_x,ALBI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALBI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALBI FP Equity_DX_BROKER_SI_MV_INC_x,ALBI FP Equity_DX_SUPPLY_SI_MV_NEW,ALBI FP Equity_DX_BROKER_SI_QTY_ADD,ALBI FP Equity_DX_BROKER_SI_QTY_NEW,ALBI FP Equity_DX_SUPPLY_SI_MV_DEC,ALBI FP Equity_DX_BROKER_SI_QTY_INC,ALBI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALBI FP Equity_DX_BROKER_SI_MV_NEW_y,ALBI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALBI FP Equity_DX_BROKER_SI_MV_INC_y,ALBI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALBI FP Equity_DX_BROKER_SI_MV_ADD,ALBI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALBI FP Equity_DX_BROKER_SI_QTY_DEC,ALBI FP Equity_DX_SUPPLY_SI_MV,ALBI FP Equity_DX_BROKER_SI_MV_DEC,ALBI FP Equity_DX_SUPPLY_SI_MV_RMV,ALBI FP Equity_DX_BROKER_SI_MV_RMV,ALBI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALBI FP Equity_DX_UTILIZATION_QUANTITY,ALBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALBI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALBI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALBI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALBI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALBI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALBI FP Equity_DX_BROKER_SI_CON_RATIO,ALBI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALBI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALBI FP Equity_PX_LAST
1991-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3951
1991-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0902
1991-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2427
1991-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2427
1991-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1991-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9378
1991-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1084
1991-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1991-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5657
1991-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1991-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7853
1991-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.2427
1991-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1991-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.7
1991-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3951
1991-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.7853
1991-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1755
1991-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3643
1991-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9741
1991-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2608
1991-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2608
1991-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.651
1991-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0231
1991-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.2608
