,CF1 FP Equity_DX_SI_QTY,CF1 FP Equity_DX_SHORT_INTEREST_VALUE,CF1 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CF1 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CF1 FP Equity_DX_SI_MV,CF1 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CF1 FP Equity_DX_SUPPLY_SI_QTY,CF1 FP Equity_DX_BROKER_SI_QTY,CF1 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CF1 FP Equity_DX_BROKER_SI_MV_INC_x,CF1 FP Equity_DX_BROKER_SI_QTY_ADD,CF1 FP Equity_DX_SUPPLY_SI_MV_DEC,CF1 FP Equity_DX_BROKER_SI_QTY_INC,CF1 FP Equity_DX_SUPPLY_SI_QTY_DEC,CF1 FP Equity_DX_BROKER_SI_MV_INC_y,CF1 FP Equity_DX_BROKER_SI_MV_ADD,CF1 FP Equity_DX_SUPPLY_SI_QTY_ADD,CF1 FP Equity_DX_BROKER_SI_QTY_DEC,CF1 FP Equity_DX_SUPPLY_SI_MV,CF1 FP Equity_DX_BROKER_SI_MV_DEC,CF1 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CF1 FP Equity_DX_UTILIZATION_QUANTITY,CF1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CF1 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CF1 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CF1 FP Equity_DX_ACTIVE_UTILIZATION_MV,CF1 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CF1 FP Equity_DX_BROKER_SI_CON_RATIO,CF1 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CF1 FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-11-18,800.0,107264.0,1.0,0.57,0.11,107264.0,0.0,800.0,0.0,,800.0,,,,,0.11,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2010-11-19,800.0,107088.0,1.0,0.57,0.11,107088.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-11-22,800.0,106112.0,1.0,0.57,0.11,106112.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-11-23,800.0,103608.0,1.0,0.57,0.11,103608.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-11-24,800.0,104440.0,1.0,0.57,0.1,104440.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-11-25,800.0,104752.0,1.0,0.57,0.1,104752.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-11-26,800.0,103952.0,1.0,0.57,0.1,103952.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-11-29,800.0,101600.0,1.0,0.57,0.1,101600.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-11-30,800.0,100968.0,1.12,0.57,0.1,100968.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-01,800.0,102600.0,1.08,0.57,0.1,102600.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-02,800.0,104872.0,1.08,0.57,0.1,104872.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-03,800.0,104872.0,1.08,0.57,0.1,104872.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-06,800.0,104936.0,0.99,0.57,0.1,104936.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-07,800.0,106624.0,0.99,0.57,0.1,106624.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-08,800.0,107072.0,1.03,0.57,0.11,107072.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-09,800.0,107672.0,1.03,0.57,0.11,107672.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-10,800.0,107696.0,1.03,0.57,0.11,107696.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-13,800.0,108632.0,1.02,0.57,0.11,108632.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-14,800.0,108904.0,1.01,0.57,0.11,108904.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-15,800.0,108296.0,1.0,0.57,0.11,108296.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-16,800.0,108512.0,1.0,0.57,0.11,108512.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-17,800.0,108136.0,1.0,0.57,0.11,108136.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-20,800.0,108568.0,1.0,0.57,0.11,108568.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-21,800.0,109712.0,1.0,0.57,0.11,109712.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-22,800.0,109624.0,1.0,0.57,0.11,109624.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-23,800.0,109384.0,1.0,0.57,0.11,109384.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-24,800.0,109384.0,1.0,0.57,0.11,109384.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-27,800.0,108000.0,1.89,0.57,0.11,108000.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-28,800.0,107936.0,3.39,0.57,0.11,107936.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-29,800.0,108792.0,3.38,0.57,0.11,108792.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-30,800.0,107704.0,3.38,0.57,0.11,107704.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2010-12-31,800.0,106944.0,3.38,0.57,0.11,106944.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-03,800.0,109032.0,3.38,0.57,0.11,109032.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-04,800.0,109488.0,3.38,0.57,0.11,109488.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-05,800.0,109184.0,3.38,0.57,0.11,109184.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-06,800.0,109224.0,3.34,0.57,0.11,109224.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-07,800.0,108200.0,3.34,0.57,0.11,108200.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-10,800.0,106560.0,3.34,0.57,0.11,106560.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-11,800.0,108216.0,3.58,0.57,0.11,108216.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-12,800.0,110224.0,4.09,0.57,0.11,110224.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-13,800.0,110848.0,4.09,0.57,0.11,110848.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-14,800.0,111024.0,4.09,0.57,0.11,111024.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-17,800.0,110816.0,27.71,0.57,0.11,110816.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-18,800.0,111800.0,27.71,0.57,0.11,111800.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-19,800.0,110848.0,27.71,0.57,0.11,110848.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-20,800.0,110376.0,27.71,0.57,0.11,110376.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-21,800.0,111760.0,27.71,0.57,0.11,111760.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-24,800.0,112040.0,3.02,0.57,0.11,112040.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-25,800.0,111768.0,3.08,0.57,0.11,111768.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-26,800.0,112552.0,2.11,0.57,0.11,112552.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-27,800.0,112912.0,1.58,0.57,0.11,112912.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-28,800.0,111344.0,1.05,0.57,0.11,111344.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-01-31,800.0,111360.0,0.9,0.57,0.11,111360.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-02-01,800.0,113168.0,0.9,0.57,0.11,113168.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-02-02,800.0,113040.0,0.9,0.57,0.11,113040.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-02-03,800.0,112280.0,0.9,0.57,0.11,112280.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-02-04,800.0,112608.0,0.9,0.57,0.11,112608.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2011-02-07,800.0,113880.0,0.9,0.57,0.11,113880.0,0.0,800.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
