,BTC0 FP Equity_PX_LAST
2021-12-15,41.66
2021-12-16,42.83
2021-12-17,41.8
2021-12-20,40.88
2021-12-21,43.07
2021-12-22,43.3
2021-12-23,43.06
2021-12-24,45.09
2021-12-27,45.35
2021-12-28,42.87
2021-12-29,42.04
2021-12-30,41.77
2021-12-31,42.37
2022-01-03,41.13
2022-01-04,41.37
2022-01-05,41.06
2022-01-06,37.85
2022-01-07,36.74
2022-01-10,36.74
2022-01-11,37.45
2022-01-12,38.14
2022-01-13,37.79
2022-01-14,37.74
2022-01-17,37.04
2022-01-18,36.54
2022-01-19,36.82
2022-01-20,38.19
2022-01-24,30.29
2022-01-25,32.6
2022-01-26,33.78
2022-01-27,32.89
2022-01-28,33.24
2022-01-31,33.88
2022-02-01,34.69
2022-02-02,32.93
2022-02-03,32.22
2022-02-04,35.18
2022-02-07,38.36
2022-02-08,38.26
2022-02-09,38.42
2022-02-10,39.45
2022-02-15,38.85
2022-02-16,38.28
2022-02-17,38.61
2022-02-21,34.27
2022-02-22,33.2
2022-02-23,34.17
2022-02-24,32.39
2022-02-25,34.99
2022-02-28,36.57
2022-03-01,39.1
2022-03-02,39.91
2022-03-03,38.5
2022-03-04,37.23
2022-03-07,36.2
2022-03-08,35.16
2022-03-09,38.31
2022-03-14,35.43
2022-03-15,35.79
2022-03-16,36.57
2022-03-17,36.7
2022-03-18,37.32
2022-03-21,37.11
2022-03-22,38.67
2022-03-23,38.76
2022-03-24,39.92
2022-03-25,40.45
2022-03-28,43.38
2022-03-29,43.2
2022-03-30,42.12
2022-03-31,41.92
2022-04-01,42.09
2022-04-04,41.59
2022-04-05,41.88
2022-04-06,40.32
2022-04-07,39.54
2022-04-08,40.4
2022-04-11,37.49
2022-04-12,37.06
2022-04-13,38.0
2022-04-14,37.39
2022-04-19,38.4
2022-04-20,37.97
2022-04-21,39.07
2022-04-22,37.59
2022-04-25,36.62
2022-04-26,36.73
2022-04-27,36.46
2022-04-28,37.69
2022-04-29,37.02
2022-05-02,36.87
2022-05-03,36.42
2022-05-04,36.69
2022-05-05,37.31
2022-05-06,34.13
2022-05-09,30.52
2022-05-10,29.62
2022-05-11,29.58
2022-05-13,29.17
2022-05-17,28.59
2022-05-18,27.59
2022-05-19,28.77
2022-05-20,27.67
2022-05-24,27.33
2022-05-25,27.74
2022-05-26,27.27
2022-05-27,26.91
2022-05-30,28.33
2022-05-31,29.46
2022-06-01,28.95
2022-06-02,28.18
2022-06-03,27.52
2022-06-06,29.3
2022-06-07,27.87
2022-06-08,28.37
2022-06-09,28.28
2022-06-10,27.95
