,C3M FP Equity_DX_SI_QTY,C3M FP Equity_DX_SHORT_INTEREST_VALUE,C3M FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,C3M FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,C3M FP Equity_DX_SI_MV,C3M FP Equity_DX_DSS,C3M FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,C3M FP Equity_DX_SUPPLY_SI_QTY,C3M FP Equity_DX_BROKER_SI_QTY,C3M FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,C3M FP Equity_DX_BROKER_SI_MV_NEW_x,C3M FP Equity_DX_SUPPLY_SI_QTY_NEW_x,C3M FP Equity_DX_SUPPLY_SI_QTY_INC_x,C3M FP Equity_DX_BROKER_SI_MV_INC_x,C3M FP Equity_DX_SUPPLY_SI_MV_NEW,C3M FP Equity_DX_BROKER_SI_QTY_ADD,C3M FP Equity_DX_BROKER_SI_QTY_NEW,C3M FP Equity_DX_SUPPLY_SI_MV_DEC,C3M FP Equity_DX_BROKER_SI_QTY_INC,C3M FP Equity_DX_SUPPLY_SI_QTY_DEC,C3M FP Equity_DX_BROKER_SI_MV_NEW_y,C3M FP Equity_DX_SUPPLY_SI_QTY_NEW_y,C3M FP Equity_DX_BROKER_SI_MV_INC_y,C3M FP Equity_DX_SUPPLY_SI_QTY_INC_y,C3M FP Equity_DX_BROKER_SI_MV_ADD,C3M FP Equity_DX_SUPPLY_SI_QTY_ADD,C3M FP Equity_DX_BROKER_SI_QTY_DEC,C3M FP Equity_DX_SUPPLY_SI_MV,C3M FP Equity_DX_BROKER_SI_MV_DEC,C3M FP Equity_DX_SUPPLY_SI_MV_RMV,C3M FP Equity_DX_BROKER_SI_MV_RMV,C3M FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,C3M FP Equity_DX_UTILIZATION_QUANTITY,C3M FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,C3M FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,C3M FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,C3M FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,C3M FP Equity_DX_ACTIVE_UTILIZATION_MV,C3M FP Equity_DX_BROKER_SI_MARKET_SHARE_2,C3M FP Equity_DX_BROKER_SI_CON_RATIO,C3M FP Equity_DX_BROKER_SI_MARKET_SHARE_1,C3M FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-09-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3405.0,406250.55,,0.41,0.0,0.0,0.0,0.0,0.0
2011-09-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3405.0,406420.8,,0.41,0.0,0.0,0.0,0.0,0.0
2011-09-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3405.0,406318.65,,0.41,0.0,,0.0,,0.0
2011-09-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5105.0,609205.18,,0.61,0.0,,0.0,,0.0
2011-09-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5105.0,609205.18,,0.61,0.0,,0.0,,0.0
2011-09-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,5105.0,609256.23,,0.61,0.0,,0.0,,0.0
2011-09-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1605.0,191572.8,,0.19,0.0,,0.0,,0.0
2011-09-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1605.0,191548.73,,0.19,0.0,,0.0,,0.0
2011-09-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1605.0,191548.73,,0.19,0.0,,0.0,,0.0
2011-09-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3605.0,430274.78,,0.43,0.0,,0.0,,0.0
2011-09-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3605.0,430328.85,,0.43,0.0,,0.0,,0.0
