,WLD FP Equity_DX_SI_QTY,WLD FP Equity_DX_SHORT_INTEREST_VALUE,WLD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WLD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WLD FP Equity_DX_SI_MV,WLD FP Equity_DX_DSS,WLD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WLD FP Equity_DX_SUPPLY_SI_QTY,WLD FP Equity_DX_BROKER_SI_QTY,WLD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WLD FP Equity_DX_BROKER_SI_MV_NEW_x,WLD FP Equity_DX_SUPPLY_SI_QTY_NEW_x,WLD FP Equity_DX_SUPPLY_SI_QTY_INC_x,WLD FP Equity_DX_BROKER_SI_MV_INC_x,WLD FP Equity_DX_SUPPLY_SI_MV_NEW,WLD FP Equity_DX_BROKER_SI_QTY_ADD,WLD FP Equity_DX_BROKER_SI_QTY_NEW,WLD FP Equity_DX_SUPPLY_SI_MV_DEC,WLD FP Equity_DX_BROKER_SI_QTY_INC,WLD FP Equity_DX_SUPPLY_SI_QTY_DEC,WLD FP Equity_DX_BROKER_SI_MV_NEW_y,WLD FP Equity_DX_SUPPLY_SI_QTY_NEW_y,WLD FP Equity_DX_BROKER_SI_MV_INC_y,WLD FP Equity_DX_SUPPLY_SI_QTY_INC_y,WLD FP Equity_DX_BROKER_SI_MV_ADD,WLD FP Equity_DX_SUPPLY_SI_QTY_ADD,WLD FP Equity_DX_BROKER_SI_QTY_DEC,WLD FP Equity_DX_SUPPLY_SI_MV,WLD FP Equity_DX_BROKER_SI_MV_DEC,WLD FP Equity_DX_SUPPLY_SI_MV_RMV,WLD FP Equity_DX_BROKER_SI_MV_RMV,WLD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WLD FP Equity_DX_UTILIZATION_QUANTITY,WLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WLD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WLD FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,WLD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WLD FP Equity_DX_ACTIVE_UTILIZATION_MV,WLD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WLD FP Equity_DX_BROKER_SI_CON_RATIO,WLD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WLD FP Equity_DX_DEMAND_SUPPLY_RATIO,WLD FP Equity_PX_LAST
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.14
2006-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.66
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.65
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.07
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.69
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.26
2006-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.98
2006-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.34
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.91
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.11
2006-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.7
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.91
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.05
2006-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.59
2006-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.91
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.39
2006-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.47
2006-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
2006-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.55
2006-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.38
