,ALCLS FP Equity_DX_SI_QTY,ALCLS FP Equity_DX_SHORT_INTEREST_VALUE,ALCLS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCLS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCLS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCLS FP Equity_DX_SI_MV,ALCLS FP Equity_DX_DSS,ALCLS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCLS FP Equity_DX_SUPPLY_SI_QTY,ALCLS FP Equity_DX_BROKER_SI_QTY,ALCLS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCLS FP Equity_DX_BROKER_SI_MV_NEW_x,ALCLS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALCLS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCLS FP Equity_DX_BROKER_SI_MV_INC_x,ALCLS FP Equity_DX_SUPPLY_SI_MV_NEW,ALCLS FP Equity_DX_BROKER_SI_QTY_ADD,ALCLS FP Equity_DX_BROKER_SI_QTY_NEW,ALCLS FP Equity_DX_SUPPLY_SI_MV_DEC,ALCLS FP Equity_DX_BROKER_SI_QTY_INC,ALCLS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCLS FP Equity_DX_BROKER_SI_MV_NEW_y,ALCLS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALCLS FP Equity_DX_BROKER_SI_MV_INC_y,ALCLS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCLS FP Equity_DX_BROKER_SI_MV_ADD,ALCLS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCLS FP Equity_DX_BROKER_SI_QTY_DEC,ALCLS FP Equity_DX_SUPPLY_SI_MV,ALCLS FP Equity_DX_BROKER_SI_MV_DEC,ALCLS FP Equity_DX_SUPPLY_SI_MV_RMV,ALCLS FP Equity_DX_BROKER_SI_MV_RMV,ALCLS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCLS FP Equity_DX_UTILIZATION_QUANTITY,ALCLS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCLS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCLS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALCLS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCLS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCLS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCLS FP Equity_DX_BROKER_SI_CON_RATIO,ALCLS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCLS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCLS FP Equity_PX_LAST
2007-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25
2007-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76
2007-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.98
2007-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32
2007-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8
2007-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2007-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2007-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2007-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2007-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2007-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
2007-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
2007-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2007-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74
2007-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2007-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.49
2007-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.51
2007-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24
2007-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55
2007-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2007-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
2007-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4
