,ALSTI FP Equity_DX_SI_QTY,ALSTI FP Equity_DX_SHORT_INTEREST_VALUE,ALSTI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSTI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSTI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSTI FP Equity_DX_SI_MV,ALSTI FP Equity_DX_DSS,ALSTI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSTI FP Equity_DX_SUPPLY_SI_QTY,ALSTI FP Equity_DX_BROKER_SI_QTY,ALSTI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSTI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSTI FP Equity_DX_BROKER_SI_MV_INC_x,ALSTI FP Equity_DX_BROKER_SI_QTY_ADD,ALSTI FP Equity_DX_SUPPLY_SI_MV_DEC,ALSTI FP Equity_DX_BROKER_SI_QTY_INC,ALSTI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSTI FP Equity_DX_BROKER_SI_MV_INC_y,ALSTI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSTI FP Equity_DX_BROKER_SI_MV_ADD,ALSTI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSTI FP Equity_DX_BROKER_SI_QTY_DEC,ALSTI FP Equity_DX_SUPPLY_SI_MV,ALSTI FP Equity_DX_BROKER_SI_MV_DEC,ALSTI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSTI FP Equity_DX_UTILIZATION_QUANTITY,ALSTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSTI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSTI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSTI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSTI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSTI FP Equity_DX_BROKER_SI_CON_RATIO,ALSTI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSTI FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-04-19,1600.0,18064.0,0.09,0.21,0.03,0.02,0.0,9032.0,800.0,800.0,9032.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-04-22,1600.0,18336.0,0.09,0.21,0.03,0.02,0.0,9168.0,800.0,800.0,9168.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-04-23,1600.0,18236.8,0.09,0.2,0.03,0.02,0.0,9118.4,800.0,800.0,9118.4,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-04-24,1600.0,17596.8,0.09,0.2,0.03,0.02,0.0,8798.4,800.0,800.0,8798.4,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,300.0,3264.6,0.0,0.0,,0.0,,0.0
2024-05-02,1000.0,11138.0,0.06,0.12,0.02,0.01,0.0,5569.0,500.0,500.0,5569.0,,,500.0,,,,,,0.01,500.0,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-05-03,1000.0,11200.0,0.06,0.12,0.02,0.01,0.0,5600.0,500.0,500.0,5600.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2024-05-06,1000.0,10900.0,0.06,0.12,0.02,0.01,0.0,5450.0,500.0,500.0,5450.0,,,,,,,,,,,,0.01,,100.0,31.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.625
2024-05-07,1000.0,11028.0,0.06,0.12,0.02,0.01,0.0,5514.0,500.0,500.0,5514.0,,,,,,,,,,,,0.01,,100.0,31.25,0.0,0.0,0.0,100.0,,1.0,100.0,0.625
2024-05-08,1000.0,11088.0,0.06,0.12,0.02,0.01,0.0,5544.0,500.0,500.0,5544.0,,,,,,,,,,,,0.01,,100.0,27.78,0.0,0.0,0.0,100.0,,1.0,100.0,0.5556
