,CMU FP Equity_DX_DSS,CMU FP Equity_PX_LAST
2008-10-06,,110.05
2008-10-14,,104.25
2008-10-15,,101.46
2008-12-01,,84.55
2008-12-04,,87.12
2008-12-29,,87.85
2009-01-02,,91.55
2009-01-05,,92.89
2009-01-08,,92.2
2009-01-15,,83.6
2009-01-19,,85.83
2009-01-28,,85.46
2009-02-02,,81.43
2009-02-03,,81.82
2009-02-05,,84.23
2009-02-13,,83.14
2009-02-19,,78.96
2009-03-02,,72.02
2009-03-04,,72.9
2009-03-05,,69.79
2009-03-06,,68.54
2009-03-09,,68.29
2009-03-10,,71.97
2009-03-11,,72.43
2009-03-12,,73.37
2009-03-13,,73.57
2009-03-16,,75.53
2009-03-17,,74.93
2009-03-19,,75.83
2009-03-20,,76.07
2009-03-23,,78.37
2009-03-24,,78.54
2009-03-25,,79.42
2009-03-26,,79.72
2009-03-27,,78.55
2009-03-30,,75.13
2009-03-31,,77.26
2009-04-01,,76.8
2009-04-02,,82.45
2009-04-03,,82.02
2009-04-06,,81.45
2009-04-07,,80.92
2009-04-08,,81.7
2009-04-09,,83.83
2009-04-14,,84.9
2009-04-15,,84.57
2009-04-16,,86.1
2009-04-17,,87.57
2009-04-20,,84.42
2009-04-21,,84.38
2009-04-22,,85.87
2009-04-23,,85.47
2009-04-24,,87.52
2009-04-27,,87.51
2009-04-28,,86.2
2009-04-29,,88.06
2009-04-30,,89.66
2009-05-04,,91.74
2009-05-05,,91.65
2009-05-06,,92.88
2009-05-07,,92.08
2009-05-08,,93.9
2009-05-11,,92.6
2009-05-12,,92.2
2009-05-13,,89.74
2009-05-14,,89.74
2009-05-15,,90.29
2009-05-18,,92.39
2009-05-19,,93.93
2009-05-20,,95.12
2009-05-21,,92.81
2009-05-22,,93.16
2009-05-25,,93.37
2009-05-26,,94.14
2009-05-27,,94.76
2009-05-28,,93.85
2009-05-29,,93.92
2009-06-01,,96.63
2009-06-02,,96.91
2009-06-03,,94.93
2009-06-04,,95.18
2009-06-05,,95.56
2009-06-08,,94.25
2009-06-09,,94.62
2009-06-10,,95.57
2009-06-11,,96.27
2009-06-12,,95.92
2009-06-15,,93.21
2009-06-16,,92.91
2009-06-17,,91.05
2009-06-18,,91.81
2009-06-19,,92.75
2009-06-22,,90.07
2009-06-23,,89.98
2009-06-24,,92.19
2009-06-25,,91.79
2009-06-26,,91.44
2009-06-29,,93.07
2009-06-30,,92.14
2009-07-01,,93.92
2009-07-02,,91.37
2009-07-03,,91.37
2009-07-06,,90.22
2009-07-07,,89.45
2009-07-08,,88.32
2009-07-09,,89.05
2009-07-10,,87.85
2009-07-13,,89.93
2009-07-14,,90.91
2009-07-15,,93.74
2009-07-16,,94.16
2009-07-17,,94.54
2009-07-20,,95.62
2009-07-21,,96.43
2009-07-22,,96.75
2009-07-23,,98.7
2009-07-24,,98.62
2009-07-27,,99.12
2009-07-28,,98.15
2009-07-29,,99.16
2009-07-30,,101.21
2009-07-31,,100.93
2009-08-03,,102.34
2009-08-04,,102.3
2009-08-05,,101.35
2009-08-06,,102.04
2009-08-07,,103.36
2009-08-10,,103.0
2009-08-11,,101.4
2009-08-12,,102.66
2009-08-13,,103.47
2009-08-14,,102.45
2009-08-17,,100.22
2009-08-18,,101.01
2009-08-19,,100.97
2009-08-20,,102.48
2009-08-21,,105.19
2009-08-24,,106.45
2009-08-25,,107.29
2009-08-26,,107.04
2009-08-27,,106.57
2009-08-28,,107.6
2009-08-31,,106.53
2009-09-01,,104.47
2009-09-02,,103.72
2009-09-03,,103.66
2009-09-04,,105.12
2009-09-07,,106.98
2009-09-08,,107.18
2009-09-09,,108.57
2009-09-10,,108.59
2009-09-11,,109.27
2009-09-14,,109.07
2009-09-15,,109.74
2009-09-16,,111.28
2009-09-17,,111.83
2009-09-18,,111.71
2009-09-21,,111.07
2009-09-22,,111.29
2009-09-23,,111.46
2009-09-24,,109.82
2009-09-25,,109.69
2009-09-28,,111.74
2009-09-29,,111.66
2009-09-30,,110.87
2009-10-01,,109.13
2009-10-02,,106.94
2009-10-05,,108.0
2009-10-06,,110.81
2009-10-07,,110.62
2009-10-08,,111.95
2009-10-09,,111.86
2009-10-12,,113.15
2009-10-13,,111.81
2009-10-14,,114.18
2009-10-15,,113.96
2009-10-16,,112.79
2009-10-19,,114.09
2009-10-20,,113.16
2009-10-21,,113.84
2009-10-22,,112.61
2009-10-23,,112.1
2009-10-26,,109.98
2009-10-27,,109.62
2009-10-28,,107.07
2009-10-29,,108.95
2009-10-30,,106.25
2009-11-02,,106.64
2009-11-03,,105.17
2009-11-04,,107.33
2009-11-05,,108.35
2009-11-06,,108.31
2009-11-09,,110.64
2009-11-10,,110.56
2009-11-11,,111.38
2009-11-12,,111.15
2009-11-13,,111.52
2009-11-16,,112.83
