,TKO FP Equity_DX_SI_QTY,TKO FP Equity_DX_SHORT_INTEREST_VALUE,TKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TKO FP Equity_DX_SI_MV,TKO FP Equity_DX_DSS,TKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TKO FP Equity_DX_SUPPLY_SI_QTY,TKO FP Equity_DX_BROKER_SI_QTY,TKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TKO FP Equity_DX_BROKER_SI_MV_NEW_x,TKO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,TKO FP Equity_DX_SUPPLY_SI_QTY_INC_x,TKO FP Equity_DX_BROKER_SI_MV_INC_x,TKO FP Equity_DX_SUPPLY_SI_MV_NEW,TKO FP Equity_DX_BROKER_SI_QTY_ADD,TKO FP Equity_DX_BROKER_SI_QTY_NEW,TKO FP Equity_DX_SUPPLY_SI_MV_DEC,TKO FP Equity_DX_BROKER_SI_QTY_INC,TKO FP Equity_DX_SUPPLY_SI_QTY_DEC,TKO FP Equity_DX_BROKER_SI_MV_NEW_y,TKO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,TKO FP Equity_DX_BROKER_SI_MV_INC_y,TKO FP Equity_DX_SUPPLY_SI_QTY_INC_y,TKO FP Equity_DX_BROKER_SI_MV_ADD,TKO FP Equity_DX_SUPPLY_SI_QTY_ADD,TKO FP Equity_DX_BROKER_SI_QTY_DEC,TKO FP Equity_DX_SUPPLY_SI_MV,TKO FP Equity_DX_BROKER_SI_MV_DEC,TKO FP Equity_DX_SUPPLY_SI_MV_RMV,TKO FP Equity_DX_BROKER_SI_MV_RMV,TKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TKO FP Equity_DX_UTILIZATION_QUANTITY,TKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TKO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,TKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TKO FP Equity_DX_ACTIVE_UTILIZATION_MV,TKO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TKO FP Equity_DX_BROKER_SI_CON_RATIO,TKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TKO FP Equity_DX_DEMAND_SUPPLY_RATIO,TKO FP Equity_PX_LAST
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.05
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.75
2017-03-09,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1998666.0,49966650.0,,47.47,0.0,0.0,0.0,0.0,0.0,25.0
2017-03-10,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1998666.0,49666850.1,,49.97,0.0,,0.0,,0.0,24.85
2017-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1998666.0,49367050.2,,49.67,0.0,,0.0,,0.0,24.7
2017-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1998666.0,49666850.1,,49.37,0.0,,0.0,,0.0,24.85
2017-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10200809.0,255020225.0,,253.49,0.0,,0.0,,0.0,25.0
2017-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10200809.0,256550346.35,,255.02,0.0,,0.0,,0.0,25.15
2017-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10200809.0,255020225.0,,256.55,0.0,,0.0,,0.0,25.0
2017-03-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10200809.0,258080467.7,,255.02,0.0,,0.0,,0.0,25.3
2017-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10200809.0,257570427.25,,258.08,0.0,,0.0,,0.0,25.25
2017-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,10200809.0,258080467.7,,257.57,0.0,,0.0,,0.0,25.3
