,C1U FP Equity_DX_SI_QTY,C1U FP Equity_DX_SHORT_INTEREST_VALUE,C1U FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,C1U FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,C1U FP Equity_DX_SI_MV,C1U FP Equity_DX_DSS,C1U FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,C1U FP Equity_DX_SUPPLY_SI_QTY,C1U FP Equity_DX_BROKER_SI_QTY,C1U FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,C1U FP Equity_DX_BROKER_SI_MV_INC_x,C1U FP Equity_DX_BROKER_SI_QTY_ADD,C1U FP Equity_DX_SUPPLY_SI_MV_DEC,C1U FP Equity_DX_BROKER_SI_QTY_INC,C1U FP Equity_DX_SUPPLY_SI_QTY_DEC,C1U FP Equity_DX_BROKER_SI_MV_INC_y,C1U FP Equity_DX_BROKER_SI_MV_ADD,C1U FP Equity_DX_SUPPLY_SI_QTY_ADD,C1U FP Equity_DX_BROKER_SI_QTY_DEC,C1U FP Equity_DX_SUPPLY_SI_MV,C1U FP Equity_DX_BROKER_SI_MV_DEC,C1U FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,C1U FP Equity_DX_UTILIZATION_QUANTITY,C1U FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,C1U FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,C1U FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,C1U FP Equity_DX_ACTIVE_UTILIZATION_MV,C1U FP Equity_DX_BROKER_SI_MARKET_SHARE_2,C1U FP Equity_DX_BROKER_SI_CON_RATIO,C1U FP Equity_DX_BROKER_SI_MARKET_SHARE_1,C1U FP Equity_DX_DEMAND_SUPPLY_RATIO,C1U FP Equity_PX_LAST
2009-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.86
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.28
2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.32
2009-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.71
2009-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.61
2009-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.29
2009-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.51
2009-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.79
2009-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.43
2009-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.95
2009-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.24
2009-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.36
2009-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.55
2009-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.72
2009-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.08
2009-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.6
2009-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.94
2009-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.58
2009-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.29
2009-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.34
2009-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.17
2009-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.99
2009-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.72
2009-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.35
2009-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.22
2009-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.97
2009-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.05
2009-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.6
2009-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.55
2009-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.23
2009-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.02
2009-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.16
2009-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.8
2009-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.93
