,MAAT FP Equity_DX_SI_QTY,MAAT FP Equity_DX_SHORT_INTEREST_VALUE,MAAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MAAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MAAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MAAT FP Equity_DX_SI_MV,MAAT FP Equity_DX_DSS,MAAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MAAT FP Equity_DX_SUPPLY_SI_QTY,MAAT FP Equity_DX_BROKER_SI_QTY,MAAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MAAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,MAAT FP Equity_DX_BROKER_SI_MV_INC_x,MAAT FP Equity_DX_BROKER_SI_QTY_ADD,MAAT FP Equity_DX_SUPPLY_SI_MV_DEC,MAAT FP Equity_DX_BROKER_SI_QTY_INC,MAAT FP Equity_DX_SUPPLY_SI_QTY_DEC,MAAT FP Equity_DX_BROKER_SI_MV_INC_y,MAAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,MAAT FP Equity_DX_BROKER_SI_MV_ADD,MAAT FP Equity_DX_SUPPLY_SI_QTY_ADD,MAAT FP Equity_DX_BROKER_SI_QTY_DEC,MAAT FP Equity_DX_SUPPLY_SI_MV,MAAT FP Equity_DX_BROKER_SI_MV_DEC,MAAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MAAT FP Equity_DX_UTILIZATION_QUANTITY,MAAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MAAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MAAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MAAT FP Equity_DX_ACTIVE_UTILIZATION_MV,MAAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MAAT FP Equity_DX_BROKER_SI_CON_RATIO,MAAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MAAT FP Equity_DX_DEMAND_SUPPLY_RATIO,MAAT FP Equity_PX_LAST
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.95
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.55
2021-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,270000.0,0.27,0.0,,0.0,,0.0,13.5
2021-11-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,270000.0,0.27,0.0,,0.0,,0.0,13.5
2021-11-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,270000.0,0.27,0.0,,0.0,,0.0,13.5
2021-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,20000.0,270000.0,0.27,0.0,,0.0,,0.0,13.5
2021-11-18,2000.0,27000.0,0.08,0.64,0.02,0.03,0.0,13500.0,1000.0,1000.0,13500.0,,,1000.0,,,,,,0.01,1000.0,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,49.44,0.5001,50.56,0.1,13.5
2021-11-19,2000.0,26900.0,0.08,0.6,0.02,0.03,0.0,13450.0,1000.0,1000.0,13450.0,,,,,,,,,,,,0.01,,100.0,5.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,0.1,13.45
2021-11-22,4000.0,53600.0,0.17,1.11,0.04,0.05,0.0,26800.0,2000.0,2000.0,26800.0,1000.0,,1000.0,,,,,1000.0,0.01,,,0.03,,100.0,10.0,0.0,0.0,0.0,100.0,25.0,0.375,50.0,0.2,13.4
2021-11-23,4000.0,53800.0,0.17,1.08,0.04,0.05,0.0,26900.0,2000.0,2000.0,26900.0,,,,,,,,,,,,0.03,,100.0,10.0,0.0,0.0,0.0,100.0,24.99,0.3751,50.03,0.2,13.45
