,ALAT FP Equity_DX_SI_QTY,ALAT FP Equity_DX_SHORT_INTEREST_VALUE,ALAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAT FP Equity_DX_SI_MV,ALAT FP Equity_DX_DSS,ALAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAT FP Equity_DX_SUPPLY_SI_QTY,ALAT FP Equity_DX_BROKER_SI_QTY,ALAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAT FP Equity_DX_BROKER_SI_MV_NEW_x,ALAT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALAT FP Equity_DX_BROKER_SI_MV_INC_x,ALAT FP Equity_DX_SUPPLY_SI_MV_NEW,ALAT FP Equity_DX_BROKER_SI_QTY_ADD,ALAT FP Equity_DX_BROKER_SI_QTY_NEW,ALAT FP Equity_DX_SUPPLY_SI_MV_DEC,ALAT FP Equity_DX_BROKER_SI_QTY_INC,ALAT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAT FP Equity_DX_BROKER_SI_MV_NEW_y,ALAT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALAT FP Equity_DX_BROKER_SI_MV_INC_y,ALAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALAT FP Equity_DX_BROKER_SI_MV_ADD,ALAT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAT FP Equity_DX_BROKER_SI_QTY_DEC,ALAT FP Equity_DX_SUPPLY_SI_MV,ALAT FP Equity_DX_BROKER_SI_MV_DEC,ALAT FP Equity_DX_SUPPLY_SI_MV_RMV,ALAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAT FP Equity_DX_UTILIZATION_QUANTITY,ALAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALAT FP Equity_DX_BROKER_SI_CON_RATIO,ALAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAT FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAT FP Equity_PX_LAST
2011-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2011-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.07
2011-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11
2011-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46
2011-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2011-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2011-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.52
2011-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47
2011-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.32
2011-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39
2011-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21
2011-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46
2011-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.38
2011-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43
2011-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3
2011-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2011-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54
2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.54
2011-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.72
2011-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.68
2011-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55
2011-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.41
2011-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48
