,MMB FP Equity_DX_SI_QTY,MMB FP Equity_DX_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MMB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MMB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MMB FP Equity_DX_SI_MV,MMB FP Equity_DX_DSS,MMB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY,MMB FP Equity_DX_BROKER_SI_QTY,MMB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MMB FP Equity_DX_BROKER_SI_MV_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_x,MMB FP Equity_DX_BROKER_SI_MV_INC_x,MMB FP Equity_DX_SUPPLY_SI_MV_NEW,MMB FP Equity_DX_BROKER_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_NEW,MMB FP Equity_DX_SUPPLY_SI_MV_DEC,MMB FP Equity_DX_BROKER_SI_QTY_INC,MMB FP Equity_DX_SUPPLY_SI_QTY_DEC,MMB FP Equity_DX_BROKER_SI_MV_NEW_y,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MMB FP Equity_DX_BROKER_SI_MV_INC_y,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_y,MMB FP Equity_DX_BROKER_SI_MV_ADD,MMB FP Equity_DX_SUPPLY_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_DEC,MMB FP Equity_DX_SUPPLY_SI_MV,MMB FP Equity_DX_BROKER_SI_MV_DEC,MMB FP Equity_DX_SUPPLY_SI_MV_RMV,MMB FP Equity_DX_BROKER_SI_MV_RMV,MMB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MMB FP Equity_DX_UTILIZATION_QUANTITY,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MMB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MMB FP Equity_DX_ACTIVE_UTILIZATION_MV,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MMB FP Equity_DX_BROKER_SI_CON_RATIO,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MMB FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,7043638.0,153952409.56,5.16,9.84,4.96,454.07,1.0,105537155.89,4739353.0,4828541.0,103587778.66,,,11770.0,0.93,,,,3.16,13541.0,66180.0,,,0.93,11770.0,,,98726.0,306.97,4.71,,,44.77,44.77,5845512.0,127765035.28,,380.17,44.67,20.57,0.2256,39.28,0.6654
2006-01-11,7132037.0,158364523.01,5.23,10.21,5.02,459.3,2.0,109274173.67,4842042.0,4921225.0,107515941.34,,,32274.0,34.99,,125000.0,,5.14,527227.0,80443.0,,,34.99,32274.0,6.0,150858.0,559542.0,314.22,35.7,,,46.0,46.0,5684329.0,126218645.63,,370.86,45.87,20.14,0.1834,31.27,0.6775
2006-01-18,7691502.0,163400486.52,5.64,11.81,5.41,493.87,2.0,114001397.69,4968550.0,5366214.0,105553309.0,,,11883.0,35.6,,,,5.13,563487.0,71322.0,,,35.6,11883.0,,185948.0,118498.0,320.07,7.37,,,45.06,45.06,6058766.0,128714172.09,,390.18,45.06,18.92,0.212,36.99,0.6975
2006-01-25,6831897.0,146270035.45,5.01,11.24,4.81,441.64,1.0,88441330.79,4856147.0,4130867.0,103969482.24,,189215.0,52314.0,,12.14,,,14.15,,233773.0,,189215.0,,52314.0,,72894.0,1235347.0,313.31,76.25,12.4,,44.84,44.84,5974096.0,127904626.44,193053.0,385.13,44.86,14.62,0.2285,40.77,0.6308
2006-02-01,6663147.0,146077359.97,4.88,12.58,4.69,439.77,1.0,89190154.12,4887964.0,4068304.0,107159706.48,,3000.0,36586.0,8.99,0.2,11874.0,,0.07,131484.0,7769.0,,3000.0,8.99,36586.0,0.78,,205922.0,322.28,9.83,,,44.18,44.18,6175766.0,135392419.39,,407.48,44.16,14.96,0.2278,40.18,0.6023
2006-02-08,6577723.0,146382911.52,4.82,12.72,4.63,438.44,1.0,95056983.16,4938055.0,4271390.0,109893175.52,,,63856.0,14.61,,389893.0,,0.47,188193.0,15589.0,,,14.61,63856.0,24.38,1824.0,375000.0,330.12,23.9,,,44.14,44.14,6248646.0,139059518.7,,417.9,44.13,15.13,0.2489,43.74,0.588
2006-02-15,6583169.0,148684229.34,4.82,11.97,4.63,443.43,1.0,95808840.15,4939145.0,4242049.0,111553108.83,,12456.0,75807.0,7.96,0.84,,,6.49,112012.0,97514.0,,12456.0,7.96,75807.0,,10342.0,141353.0,334.03,7.31,,,44.34,44.34,6200567.0,140042968.04,,420.19,44.29,16.1,0.2437,42.7,0.591
2006-02-22,6556240.0,143625058.61,4.8,11.5,4.62,433.07,1.0,94692613.82,4762018.0,4322557.0,104319718.98,,,6927.0,6.93,,,,20.34,102962.0,238419.0,,,6.93,6927.0,,66820.0,22454.0,314.88,5.69,0.84,,43.53,43.53,6177946.0,135337915.68,12456.0,408.61,43.52,17.24,0.2386,41.61,0.5993
2006-03-01,6762966.0,146809928.57,4.96,12.01,4.76,440.3,1.0,98454385.04,4899661.0,4535413.0,106361451.68,,164134.0,31151.0,16.09,10.68,,,6.39,259234.0,57642.0,,164134.0,16.09,31151.0,,,46378.0,318.78,5.99,,,43.56,43.56,6349106.0,137825888.57,,413.65,43.52,19.61,0.2323,39.98,0.6012
2006-03-08,6853606.0,149798890.56,5.02,12.74,4.83,451.81,1.0,101698857.75,4880750.0,4652931.0,106678285.14,,,69901.0,17.12,,,,6.48,218758.0,104532.0,,,17.12,69901.0,,15721.0,101240.0,322.31,6.19,,,43.69,43.69,6290062.0,137481540.25,,415.66,43.68,18.74,0.2381,41.33,0.6135
