,ALMAS FP Equity_DX_SI_QTY,ALMAS FP Equity_DX_SHORT_INTEREST_VALUE,ALMAS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMAS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMAS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMAS FP Equity_DX_SI_MV,ALMAS FP Equity_DX_DSS,ALMAS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMAS FP Equity_DX_SUPPLY_SI_QTY,ALMAS FP Equity_DX_BROKER_SI_QTY,ALMAS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMAS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMAS FP Equity_DX_BROKER_SI_MV_INC_x,ALMAS FP Equity_DX_BROKER_SI_QTY_ADD,ALMAS FP Equity_DX_SUPPLY_SI_MV_DEC,ALMAS FP Equity_DX_BROKER_SI_QTY_INC,ALMAS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMAS FP Equity_DX_BROKER_SI_MV_INC_y,ALMAS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMAS FP Equity_DX_BROKER_SI_MV_ADD,ALMAS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMAS FP Equity_DX_BROKER_SI_QTY_DEC,ALMAS FP Equity_DX_SUPPLY_SI_MV,ALMAS FP Equity_DX_BROKER_SI_MV_DEC,ALMAS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMAS FP Equity_DX_UTILIZATION_QUANTITY,ALMAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMAS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMAS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMAS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMAS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMAS FP Equity_DX_BROKER_SI_CON_RATIO,ALMAS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMAS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMAS FP Equity_PX_LAST
2006-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12
2006-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.58
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2006-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49
2006-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2006-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13
2006-05-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,6.06
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2006-06-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,0.0,6.08
