,PALAT FP Equity_DX_SI_QTY,PALAT FP Equity_DX_SHORT_INTEREST_VALUE,PALAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PALAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PALAT FP Equity_DX_SI_MV,PALAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PALAT FP Equity_DX_SUPPLY_SI_QTY,PALAT FP Equity_DX_BROKER_SI_QTY,PALAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PALAT FP Equity_DX_SUPPLY_SI_MV,PALAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PALAT FP Equity_DX_UTILIZATION_QUANTITY,PALAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PALAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PALAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PALAT FP Equity_DX_ACTIVE_UTILIZATION_MV,PALAT FP Equity_DX_BROKER_SI_CON_RATIO,PALAT FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,5529.6,0.01,0.0,0.0,0.0
2022-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3801.6,0.0,0.0,0.0,0.0
2022-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3799.2,0.0,0.0,0.0,0.0
2022-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3894.0,0.0,0.0,0.0,0.0
2022-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3914.6,0.0,0.0,0.0,0.0
2025-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3448.4,0.0,0.0,0.0,0.0
