,ISRU FP Equity_PX_LAST
2024-12-03,10.108
2024-12-04,10.137
2024-12-05,10.121
2024-12-06,10.129
2024-12-09,10.028
2024-12-10,10.082
2024-12-11,10.121
2024-12-12,10.13
2024-12-13,10.078
2024-12-16,10.119
2024-12-17,10.066
2024-12-18,10.093
2024-12-19,9.912
2024-12-20,9.951
2024-12-23,9.92
2024-12-24,10.015
2024-12-27,9.964
2024-12-30,9.913
2024-12-31,9.925
2025-01-02,10.043
2025-01-03,10.04
2025-01-06,10.114
2025-01-07,10.05
2025-01-08,10.035
2025-01-09,10.01
2025-01-10,10.277
2025-01-13,9.953
2025-01-14,9.946
2025-01-15,10.115
2025-01-16,10.172
2025-01-17,10.268
2025-01-20,10.174
2025-01-21,10.228
2025-01-22,10.333
2025-01-23,10.351
2025-01-24,10.281
2025-01-27,9.998
2025-01-28,10.098
2025-01-29,10.146
2025-01-30,10.144
2025-01-31,10.298
2025-02-03,10.203
2025-02-04,10.148
2025-02-05,10.114
2025-02-06,10.253
2025-02-07,10.257
2025-02-10,10.294
2025-02-11,10.26
2025-02-12,10.166
2025-02-13,10.191
2025-02-14,10.16
2025-02-17,10.201
2025-02-18,10.221
2025-02-19,10.286
2025-02-20,10.18
2025-02-21,10.173
2025-02-24,10.016
2025-02-25,9.857
2025-02-26,9.988
2025-02-27,10.0
2025-02-28,9.855
2025-03-03,9.871
2025-03-04,9.502
2025-03-05,9.338
2025-03-06,9.325
2025-03-07,9.115
2025-03-10,9.118
2025-03-11,8.899
2025-03-12,8.982
2025-03-13,8.882
2025-03-14,9.005
2025-03-17,9.03
2025-03-18,8.961
2025-03-19,9.08
2025-03-20,9.118
2025-03-21,9.132
2025-03-24,9.277
2025-03-25,9.281
2025-03-26,9.224
2025-03-27,9.203
2025-03-28,8.985
2025-03-31,8.917
2025-04-01,9.065
2025-04-02,9.057
2025-04-03,8.573
2025-04-04,8.208
2025-04-07,7.96
2025-04-08,8.304
2025-04-09,7.914
2025-04-10,8.177
2025-04-11,8.103
2025-04-14,8.319
2025-04-15,8.393
2025-04-16,8.274
2025-04-17,8.151
2025-04-22,8.023
2025-04-23,8.322
2025-04-24,8.38
2025-04-25,8.418
2025-04-28,8.419
2025-04-29,8.481
2025-04-30,8.504
2025-05-02,8.781
2025-05-05,8.826
2025-05-06,8.775
2025-05-07,8.724
2025-05-08,8.904
2025-05-09,8.875
2025-05-12,9.215
2025-05-13,9.279
2025-05-14,9.261
2025-05-15,9.306
2025-05-16,9.411
2025-05-19,9.341
2025-05-20,9.358
2025-05-21,9.287
2025-05-22,9.199
2025-05-23,9.093
2025-05-26,9.138
2025-05-27,9.262
2025-05-28,9.287
2025-05-29,9.239
2025-05-30,9.268
2025-06-02,9.144
2025-06-03,9.314
2025-06-04,9.314
2025-06-05,9.303
2025-06-06,9.351
2025-06-09,9.325
2025-06-10,9.342
2025-06-11,9.359
2025-06-12,9.255
2025-06-13,9.21
2025-06-16,9.257
2025-06-17,9.255
2025-06-18,9.245
2025-06-19,9.165
2025-06-20,9.193
2025-06-23,9.194
2025-06-24,9.306
2025-06-25,9.322
2025-06-26,9.311
2025-06-27,9.372
2025-06-30,9.369
2025-07-01,9.35
2025-07-02,9.29
2025-07-03,9.489
2025-07-04,9.422
2025-07-07,9.461
2025-07-08,9.446
2025-07-09,9.45
2025-07-10,9.521
2025-07-11,9.472
2025-07-14,9.483
2025-07-15,9.561
2025-07-16,9.452
2025-07-17,9.63
2025-07-18,9.61
2025-07-21,9.611
2025-07-22,9.542
2025-07-23,9.59
2025-07-24,9.619
2025-07-25,9.659
2025-07-28,9.765
2025-07-29,9.832
2025-07-30,9.881
2025-07-31,9.927
2025-08-01,9.624
2025-08-04,9.735
2025-08-05,9.692
2025-08-06,9.681
2025-08-07,9.647
2025-08-08,9.684
2025-08-11,9.748
2025-08-12,9.765
2025-08-13,9.759
2025-08-14,9.799
2025-08-15,9.739
2025-08-18,9.778
2025-08-19,9.78
2025-08-20,9.709
2025-08-21,9.763
2025-08-22,9.815
2025-08-25,9.834
2025-08-26,9.821
2025-08-27,9.918
2025-08-28,9.87
2025-08-29,9.799
