,LIN FP Equity_DX_SI_QTY,LIN FP Equity_DX_SHORT_INTEREST_VALUE,LIN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LIN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LIN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LIN FP Equity_DX_SI_MV,LIN FP Equity_DX_DSS,LIN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LIN FP Equity_DX_SUPPLY_SI_QTY,LIN FP Equity_DX_BROKER_SI_QTY,LIN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LIN FP Equity_DX_BROKER_SI_MV_NEW_x,LIN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LIN FP Equity_DX_SUPPLY_SI_QTY_INC_x,LIN FP Equity_DX_BROKER_SI_MV_INC_x,LIN FP Equity_DX_SUPPLY_SI_MV_NEW,LIN FP Equity_DX_BROKER_SI_QTY_ADD,LIN FP Equity_DX_BROKER_SI_QTY_NEW,LIN FP Equity_DX_SUPPLY_SI_MV_DEC,LIN FP Equity_DX_BROKER_SI_QTY_INC,LIN FP Equity_DX_SUPPLY_SI_QTY_DEC,LIN FP Equity_DX_BROKER_SI_MV_NEW_y,LIN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LIN FP Equity_DX_BROKER_SI_MV_INC_y,LIN FP Equity_DX_SUPPLY_SI_QTY_INC_y,LIN FP Equity_DX_BROKER_SI_MV_ADD,LIN FP Equity_DX_SUPPLY_SI_QTY_ADD,LIN FP Equity_DX_BROKER_SI_QTY_DEC,LIN FP Equity_DX_SUPPLY_SI_MV,LIN FP Equity_DX_BROKER_SI_MV_DEC,LIN FP Equity_DX_SUPPLY_SI_MV_RMV,LIN FP Equity_DX_BROKER_SI_MV_RMV,LIN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LIN FP Equity_DX_UTILIZATION_QUANTITY,LIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LIN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LIN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LIN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LIN FP Equity_DX_ACTIVE_UTILIZATION_MV,LIN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LIN FP Equity_DX_BROKER_SI_CON_RATIO,LIN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LIN FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82909.0,1282767.07,,1.91,0.0,,0.0,,0.0
2006-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,113197.0,1811408.34,,2.7,0.0,,0.0,,0.0
2006-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,135439.0,2114602.03,,3.14,0.0,,0.0,,0.0
2006-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,148969.0,2369842.28,,3.51,0.0,,0.0,,0.0
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,159974.0,2630817.27,,3.91,0.0,,0.0,,0.0
2006-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,178432.0,2818187.38,,4.15,0.0,,0.0,,0.0
2006-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,221129.0,3428726.76,,5.1,0.0,,0.0,,0.0
2006-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,231566.0,3575014.64,,5.33,0.0,,0.0,,0.0
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,225909.0,3487679.47,,5.19,0.0,,0.0,,0.0
2006-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,256435.0,4105262.0,,6.09,0.0,,0.0,,0.0
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,258685.0,4202055.73,,6.28,0.0,,0.0,,0.0
