,MLONL FP Equity_DX_SI_QTY,MLONL FP Equity_DX_SHORT_INTEREST_VALUE,MLONL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLONL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLONL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLONL FP Equity_DX_SI_MV,MLONL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLONL FP Equity_DX_SUPPLY_SI_QTY,MLONL FP Equity_DX_BROKER_SI_QTY,MLONL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLONL FP Equity_DX_SUPPLY_SI_MV,MLONL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLONL FP Equity_DX_UTILIZATION_QUANTITY,MLONL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLONL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLONL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLONL FP Equity_DX_ACTIVE_UTILIZATION_MV,MLONL FP Equity_DX_BROKER_SI_CON_RATIO,MLONL FP Equity_DX_DEMAND_SUPPLY_RATIO,MLONL FP Equity_PX_LAST
2011-10-03,,,,,,,,,,,,,,,,,,,,2.77
2011-10-05,,,,,,,,,,,,,,,,,,,,2.95
2011-10-06,,,,,,,,,,,,,,,,,,,,2.95
2011-10-07,,,,,,,,,,,,,,,,,,,,2.97
2011-10-10,,,,,,,,,,,,,,,,,,,,3.2
2011-10-11,,,,,,,,,,,,,,,,,,,,3.3
2011-10-12,,,,,,,,,,,,,,,,,,,,3.25
2011-10-13,,,,,,,,,,,,,,,,,,,,2.97
2011-10-14,,,,,,,,,,,,,,,,,,,,2.96
2011-10-17,,,,,,,,,,,,,,,,,,,,3.23
2011-11-09,,,,,,,,,,,,,,,,,,,,3.4
2011-12-06,,,,,,,,,,,,,,,,,,,,2.99
2011-12-09,,,,,,,,,,,,,,,,,,,,2.4
2011-12-15,,,,,,,,,,,,,,,,,,,,2.39
2011-12-19,,,,,,,,,,,,,,,,,,,,2.4
2012-01-03,,,,,,,,,,,,,,,,,,,,2.29
2012-02-22,,,,,,,,,,,,,,,,,,,,2.09
2012-03-02,,,,,,,,,,,,,,,,,,,,2.09
2012-03-13,,,,,,,,,,,,,,,,,,,,2.29
2012-03-15,,,,,,,,,,,,,,,,,,,,2.51
2012-03-16,,,,,,,,,,,,,,,,,,,,2.76
2012-03-20,,,,,,,,,,,,,,,,,,,,2.99
2012-03-21,,,,,,,,,,,,,,,,,,,,3.1
2012-03-22,,,,,,,,,,,,,,,,,,,,3.41
2012-05-07,,,,,,,,,,,,,,,,,,,,3.29
2012-05-22,,,,,,,,,,,,,,,,,,,,3.3
2012-05-24,,,,,,,,,,,,,,,,,,,,3.3
2012-06-01,,,,,,,,,,,,,,,,,,,,3.4
2012-07-02,,,,,,,,,,,,,,,,,,,,3.5
2012-07-03,,,,,,,,,,,,,,,,,,,,3.59
2012-07-04,,,,,,,,,,,,,,,,,,,,3.75
2012-07-05,,,,,,,,,,,,,,,,,,,,3.8
2012-07-06,,,,,,,,,,,,,,,,,,,,3.95
2012-07-09,,,,,,,,,,,,,,,,,,,,4.1
2012-07-10,,,,,,,,,,,,,,,,,,,,4.25
2012-07-11,,,,,,,,,,,,,,,,,,,,4.55
2012-07-12,,,,,,,,,,,,,,,,,,,,4.75
2013-07-23,,,,,,,,,,,,,,,,,,,,4.2
2013-08-16,,,,,,,,,,,,,,,,,,,,2.0
2013-08-29,,,,,,,,,,,,,,,,,,,,2.66
2013-09-17,,,,,,,,,,,,,,,,,,,,2.66
2013-11-19,,,,,,,,,,,,,,,,,,,,2.0
2013-11-20,,,,,,,,,,,,,,,,,,,,2.0
2014-01-03,,,,,,,,,,,,,,,,,,,,2.2
2014-01-08,,,,,,,,,,,,,,,,,,,,2.42
2014-01-09,,,,,,,,,,,,,,,,,,,,2.66
2014-04-14,,,,,,,,,,,,,,,,,,,,2.5
2015-01-19,,,,,,,,,,,,,,,,,,,,3.1
2015-01-20,,,,,,,,,,,,,,,,,,,,3.35
2015-01-21,,,,,,,,,,,,,,,,,,,,3.5
2015-01-22,,,,,,,,,,,,,,,,,,,,3.58
2015-01-23,,,,,,,,,,,,,,,,,,,,3.8
2015-01-26,,,,,,,,,,,,,,,,,,,,4.0
2015-02-05,,,,,,,,,,,,,,,,,,,,4.0
2015-02-11,,,,,,,,,,,,,,,,,,,,4.1
2015-04-16,,,,,,,,,,,,,,,,,,,,4.1
2015-05-22,,,,,,,,,,,,,,,,,,,,4.1
2015-06-10,,,,,,,,,,,,,,,,,,,,4.48
2015-07-08,,,,,,,,,,,,,,,,,,,,4.49
2015-07-09,,,,,,,,,,,,,,,,,,,,4.48
2015-07-22,,,,,,,,,,,,,,,,,,,,4.75
