,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_y,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity
,DX_SI_QTY,DX_SHORT_INTEREST_VALUE,DX_SHORT_INTEREST_PCT_FREE_FLOAT,DX_SHORT_INT_RATIO_DAYS_TO_COVER,DX_SHORT_INTEREST_PCT_SHARES_OUT,DX_SI_MV,DX_DSS,DX_BROKER_SHORT_INTEREST_VALUE,DX_SUPPLY_SI_QTY,DX_BROKER_SI_QTY,DX_SUPPLY_SIDE_SHORT_INT_VAL,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_MV_NEW,DX_BROKER_SI_QTY_ADD,DX_BROKER_SI_QTY_NEW,DX_SUPPLY_SI_MV_DEC,DX_BROKER_SI_QTY_INC,DX_SUPPLY_SI_QTY_DEC,DX_BROKER_SI_MV_NEW,DX_SUPPLY_SI_QTY_NEW,DX_BROKER_SI_MV_INC,DX_SUPPLY_SI_QTY_INC,DX_BROKER_SI_MV_ADD,DX_SUPPLY_SI_QTY_ADD,DX_BROKER_SI_QTY_DEC,DX_SUPPLY_SI_MV,DX_BROKER_SI_MV_DEC,DX_SUPPLY_SI_MV_RMV,DX_BROKER_SI_MV_RMV,DX_ACTIVE_UTILIZATION_QUANTITY,DX_UTILIZATION_QUANTITY,DX_ACTIVE_AVAIL_SUPPLY_QTY,DX_ACTIVE_AVAILABILITY_VALUE,DX_SUPPLY_SI_QTY_MV_RMV,DX_ACTIVE_AVAIL_SUPPLY_MV,DX_ACTIVE_UTILIZATION_MV,DX_BROKER_SI_MARKET_SHARE_2,DX_BROKER_SI_CON_RATIO,DX_BROKER_SI_MARKET_SHARE_1,DX_DEMAND_SUPPLY_RATIO
2006-01-04,157798.0,5801079.05,2.25,8.64,1.15,4.62,1.0,5724318.56,2087.0,155710.0,76723.74,0.73,,2.0,,,,19210.0,0.07,,2348.0,0.73,,,2.0,,,13222.0,0.06,0.47,,,0.31,0.31,671348.0,24680558.82,,19.64,0.31,15.91,0.7125,82.89,0.2343
2006-01-11,153052.0,6189993.44,2.18,8.84,1.11,4.52,1.0,6182349.57,275.0,152863.0,11122.03,,,89.0,,,65.0,,0.06,,1902.0,,,,89.0,0.0,,2912.0,0.01,0.05,,,0.04,0.04,703956.0,28470604.89,,20.77,0.04,15.2,0.7413,84.74,0.2173
2006-01-18,158323.0,6539056.67,2.26,9.22,1.15,4.85,1.0,6530589.76,669.0,158118.0,27631.04,,,394.0,0.24,,,,,5255.0,,,,0.24,394.0,,,,0.02,,,,0.09,0.09,771642.0,31870358.49,,23.64,0.09,16.16,0.6515,78.93,0.205
2006-01-25,9455.0,442536.4,0.13,0.34,0.07,0.47,0.0,442536.4,434.0,9455.0,20313.15,,,,0.04,,,,0.0,135.0,236.0,,,0.04,,,,148798.0,0.02,4.41,,,0.08,0.08,518234.0,24255674.92,,25.74,0.08,41.48,0.5145,58.52,0.0182
2006-02-01,15511.0,754384.72,0.23,0.56,0.11,0.77,0.0,754384.72,3026.0,15511.0,147170.92,,,31.0,0.16,,2500.0,,,3556.0,,,,0.16,31.0,0.13,2561.0,,0.15,,,,0.55,0.55,549106.0,26706026.29,,27.49,0.54,26.42,0.417,56.35,0.0281
2006-02-08,182908.0,8686502.53,2.69,6.01,1.33,6.35,1.0,8686502.53,3150.0,182908.0,149596.97,,,186.0,0.31,,161124.0,,0.0,6273.0,61.0,,,0.31,186.0,5.27,,,0.15,,,,0.43,0.43,724140.0,34390206.8,,27.69,0.53,7.67,0.7005,83.0,0.2515
2006-02-15,432380.0,22554636.41,6.36,13.02,3.15,18.18,1.0,19288548.95,123426.0,369768.0,6438384.18,0.57,29612.0,3500.0,5.27,1.26,85654.0,10388.0,0.0,104376.0,105.0,0.57,29612.0,5.27,3500.0,3.65,87269.0,3793.0,5.85,0.19,,0.49,16.98,16.98,603442.0,31477901.16,,26.9,17.87,10.92,0.4475,64.88,0.5949
2006-02-22,224598.0,12069317.49,3.3,5.71,1.63,8.82,1.0,10295982.57,33000.0,191598.0,1773334.92,,,,,,7932.0,,2.78,,60814.0,,,,,0.45,,186102.0,1.87,8.67,1.26,,6.57,6.57,469169.0,25211932.52,29612.0,20.61,8.3,11.56,0.4232,62.57,0.4473
2006-03-01,218098.0,11844815.99,3.21,5.52,1.59,8.46,1.0,10052599.06,33000.0,185098.0,1792216.93,,,,0.06,,,,,1000.0,,,,0.06,,,,7500.0,1.87,0.42,,,4.33,3.93,728560.0,39567805.02,,2.31,44.79,12.08,0.4658,65.85,0.2597
