,ALTHE FP Equity_DX_SI_QTY,ALTHE FP Equity_DX_SHORT_INTEREST_VALUE,ALTHE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTHE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTHE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTHE FP Equity_DX_SI_MV,ALTHE FP Equity_DX_DSS,ALTHE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTHE FP Equity_DX_SUPPLY_SI_QTY,ALTHE FP Equity_DX_BROKER_SI_QTY,ALTHE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTHE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALTHE FP Equity_DX_BROKER_SI_MV_INC_x,ALTHE FP Equity_DX_BROKER_SI_QTY_ADD,ALTHE FP Equity_DX_SUPPLY_SI_MV_DEC,ALTHE FP Equity_DX_BROKER_SI_QTY_INC,ALTHE FP Equity_DX_SUPPLY_SI_QTY_DEC,ALTHE FP Equity_DX_BROKER_SI_MV_INC_y,ALTHE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALTHE FP Equity_DX_BROKER_SI_MV_ADD,ALTHE FP Equity_DX_SUPPLY_SI_QTY_ADD,ALTHE FP Equity_DX_BROKER_SI_QTY_DEC,ALTHE FP Equity_DX_SUPPLY_SI_MV,ALTHE FP Equity_DX_BROKER_SI_MV_DEC,ALTHE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTHE FP Equity_DX_UTILIZATION_QUANTITY,ALTHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTHE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTHE FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTHE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTHE FP Equity_DX_BROKER_SI_CON_RATIO,ALTHE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTHE FP Equity_DX_DEMAND_SUPPLY_RATIO
2019-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,214000.0,171200.0,0.17,0.0,,0.0,,0.0
2019-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,214000.0,158788.0,0.17,0.0,,0.0,,0.0
2019-03-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,214000.0,162212.0,0.16,0.0,,0.0,,0.0
2019-03-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,214000.0,161784.0,0.16,0.0,,0.0,,0.0
2019-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,214000.0,162212.0,0.16,0.0,,0.0,,0.0
2019-03-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,214000.0,159644.0,0.16,0.0,,0.0,,0.0
2019-03-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,212647.0,152255.25,0.16,0.0,,0.0,,0.0
2019-03-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,208281.0,166208.24,0.15,0.0,,0.0,,0.0
2019-03-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,204720.0,154768.32,0.16,0.0,,0.0,,0.0
2019-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,193511.0,137005.79,0.15,0.0,,0.0,,0.0
2019-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,188773.0,132141.1,0.13,0.0,,0.0,,0.0
2019-03-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,186849.0,133036.49,0.13,0.0,,0.0,,0.0
2019-03-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,183999.0,130639.29,0.13,0.0,,0.0,,0.0
2019-03-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,176375.0,127342.75,0.13,0.0,,0.0,,0.0
2019-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,116440.0,0.12,0.0,,0.0,,0.0
2019-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,119720.0,0.12,0.0,,0.0,,0.0
2019-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,130544.0,0.12,0.0,,0.0,,0.0
2019-04-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,138744.0,0.13,0.0,,0.0,,0.0
2019-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,139072.0,0.14,0.0,,0.0,,0.0
2019-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,152520.0,0.14,0.0,,0.0,,0.0
2019-04-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,169740.0,0.15,0.0,,0.0,,0.0
2019-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,178760.0,0.17,0.0,,0.0,,0.0
2019-04-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,183680.0,0.18,0.0,,0.0,,0.0
2019-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,242720.0,0.18,0.0,,0.0,,0.0
2019-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,221400.0,0.24,0.0,,0.0,,0.0
2019-04-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,219760.0,0.22,0.0,,0.0,,0.0
2019-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,242720.0,0.22,0.0,,0.0,,0.0
2019-04-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164000.0,278800.0,0.24,0.0,,0.0,,0.0
2019-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,148489.0,274704.65,0.25,0.0,,0.0,,0.0
2019-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,148489.0,274704.65,0.25,0.0,,0.0,,0.0
2019-04-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,71484.0,132245.4,0.13,0.0,,0.0,,0.0
2019-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,71484.0,137249.28,0.13,0.0,,0.0,,0.0
